measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2019-06-01,212434.58,2618969.0,2618969.0,0.0,190.0,190.0,1333.424,16439.0,16439.0,0.0,0.0,0.0
2019-07-01,587425.32,6697919.0,6697919.0,23.0,282.0,282.0,2077.68,23690.0,23690.0,0.0,0.0,0.0
2019-08-01,377919.98,4458224.0,4458224.0,43.0,496.0,496.0,1620.024,19111.0,19111.0,0.0,0.0,0.0
2019-09-01,215131.43,2512336.0,2512336.0,0.0,161.0,161.0,1299.574,15177.0,15177.0,0.0,0.0,0.0
2019-10-01,50705.951,779911.0,779911.0,12.0,115.0,115.0,112.049,1723.0,1723.0,0.0,0.0,0.0
2019-11-01,227500.37,2459455.0,2459455.0,9.0,86.0,86.0,1006.629,10882.0,10882.0,0.0,0.0,0.0
2019-12-01,297471.02,3801102.0,3801102.0,0.0,0.0,0.0,1613.985,20624.0,20624.0,0.0,0.0,0.0
2020-01-01,478292.77,5143641.0,5143641.0,0.0,0.0,0.0,2141.233,23027.0,23027.0,0.0,0.0,0.0
2020-02-01,223584.22,2718365.0,2718365.0,0.0,0.0,0.0,2186.784,26587.0,26587.0,0.0,0.0,0.0
2020-03-01,83754.0,1081359.0,1081359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,-8125.778,0.0,0.0,3.0,29.0,29.0,-36.222,0.0,0.0,0.0,0.0,0.0
2020-05-01,-3074.679,87850.0,87850.0,3.0,24.0,24.0,-157.321,4495.0,4495.0,0.0,0.0,0.0
2020-06-01,501546.37,5932889.0,5932889.0,20.0,151.0,151.0,2068.628,24470.0,24470.0,0.0,0.0,0.0
2020-07-01,475167.56,5378503.0,5378503.0,0.0,0.0,0.0,2682.44,30363.0,30363.0,0.0,0.0,0.0
2020-08-01,688688.86,7748874.0,7748874.0,2.0,52.0,52.0,1503.142,16913.0,16913.0,0.0,0.0,0.0
2020-09-01,577477.6,7299407.0,7299407.0,3.0,23.0,23.0,575.404,7273.0,7273.0,0.0,0.0,0.0
2020-10-01,663412.78,7340836.0,7340836.0,10.0,122.0,122.0,894.222,9895.0,9895.0,0.0,0.0,0.0
2020-11-01,591968.5,6719504.0,6719504.0,9.0,116.0,116.0,1631.504,18519.0,18519.0,0.0,0.0,0.0
2020-12-01,508863.09,5730457.0,5730457.0,23.0,249.0,249.0,2359.906,26576.0,26576.0,0.0,0.0,0.0
2021-01-01,274536.76,3597014.0,3597014.0,24.0,267.0,267.0,1998.241,26181.0,26181.0,0.0,0.0,0.0
2021-02-01,625077.29,6894957.0,6894957.0,68.0,725.0,725.0,1562.712,17238.0,17238.0,0.0,0.0,0.0
2021-03-01,457679.4,4622702.0,4622702.0,14.0,151.0,151.0,2398.6,24227.0,24227.0,0.0,0.0,0.0
2021-04-01,318939.61,3980915.0,3980915.0,0.0,0.0,0.0,1981.393,24731.0,24731.0,0.0,0.0,0.0
2021-05-01,598861.59,6555900.0,6555900.0,15.0,145.0,145.0,860.415,9419.0,9419.0,0.0,0.0,0.0
2021-06-01,390321.46,4665698.0,4665698.0,84.0,771.0,771.0,1754.536,20973.0,20973.0,0.0,0.0,0.0
2021-07-01,550724.24,6300406.0,6300406.0,7.0,128.0,128.0,1543.764,17661.0,17661.0,0.0,0.0,0.0
2021-08-01,315960.24,3227873.0,3227873.0,2.0,29.0,29.0,2998.765,30636.0,30636.0,0.0,0.0,0.0
2021-09-01,345539.52,4380356.0,4380356.0,3.0,35.0,35.0,1497.484,18983.0,18983.0,0.0,0.0,0.0
2021-10-01,14158.182,301877.0,301877.0,3.0,35.0,35.0,315.818,6734.0,6734.0,0.0,0.0,0.0
2021-11-01,172715.98,2422743.0,2422743.0,2.0,52.0,52.0,1835.019,25740.0,25740.0,0.0,0.0,0.0
2021-12-01,570314.39,6506656.0,6506656.0,3.0,23.0,23.0,2252.611,25700.0,25700.0,0.0,0.0,0.0
2022-01-01,666969.85,7203143.0,7203143.0,14.0,104.0,104.0,2017.148,21785.0,21785.0,0.0,0.0,0.0
2022-02-01,485337.42,5515713.0,5515713.0,0.0,0.0,0.0,2641.584,30021.0,30021.0,0.0,0.0,0.0
2022-03-01,251535.33,2844750.0,2844750.0,0.0,0.0,0.0,785.673,8886.0,8886.0,0.0,0.0,0.0
2022-04-01,322844.45,3612540.0,3612540.0,3.0,87.0,87.0,1146.552,12830.0,12830.0,0.0,0.0,0.0
2022-05-01,351560.93,4043654.0,4043654.0,13.0,238.0,238.0,1725.074,19842.0,19842.0,0.0,0.0,0.0
2022-06-01,552549.31,5777488.0,5777488.0,373.0,4257.0,4257.0,1715.694,17939.0,17939.0,0.0,0.0,0.0
2022-07-01,382674.97,4273539.0,4273539.0,24.0,238.0,238.0,1932.028,21576.0,21576.0,0.0,0.0,0.0
2022-08-01,578209.9,6071790.0,6071790.0,86.0,1003.0,1003.0,1579.105,16582.0,16582.0,0.0,0.0,0.0
2022-09-01,322353.12,3703720.0,3703720.0,5.0,104.0,104.0,1984.885,22806.0,22806.0,0.0,0.0,0.0
2022-10-01,449931.71,4866842.0,4866842.0,8.0,75.0,75.0,1737.29,18792.0,18792.0,0.0,0.0,0.0
2022-11-01,486264.4,5409635.0,5409635.0,3.0,46.0,46.0,1711.604,19041.0,19041.0,0.0,0.0,0.0
2022-12-01,385410.14,4686356.0,4686356.0,2.0,52.0,52.0,1495.863,18189.0,18189.0,0.0,0.0,0.0
2023-01-01,244034.89,2948540.0,2948540.0,7.0,58.0,58.0,3676.108,44416.0,44416.0,0.0,0.0,0.0
2023-02-01,398079.64,4207556.0,4207556.0,2.0,58.0,58.0,2154.36,22771.0,22771.0,0.0,0.0,0.0
2023-03-01,169608.74,2266470.0,2266470.0,0.0,0.0,0.0,2607.258,34841.0,34841.0,0.0,0.0,0.0
2023-04-01,84263.307,1084352.0,1084352.0,5.0,41.0,41.0,281.693,3625.0,3625.0,0.0,0.0,0.0
2023-05-01,-5092.04,0.0,0.0,0.0,0.0,0.0,-19.96,0.0,0.0,0.0,0.0,0.0
2023-06-01,-1837.796,0.0,0.0,0.0,0.0,0.0,-7.204,0.0,0.0,0.0,0.0,0.0
2023-07-01,-1530.002,0.0,0.0,0.0,0.0,0.0,-5.998,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
