measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-01-01,0.0,0.0,0.0,,,,-12.219,618.0,618.0,,,,0.0,0.0,0.0,,,,,,
2019-02-01,0.0,0.0,0.0,,,,-14.623,750.0,750.0,,,,0.0,0.0,0.0,,,,,,
2019-03-01,0.0,0.0,0.0,,,,-15.003,768.0,768.0,,,,0.0,0.0,0.0,,,,,,
2019-04-01,0.0,0.0,0.0,,,,-15.544,797.0,797.0,,,,0.0,0.0,0.0,,,,,,
2019-05-01,0.0,0.0,0.0,,,,-9.006,462.0,462.0,,,,0.0,0.0,0.0,,,,,,
2019-06-01,0.0,0.0,0.0,,,,-16.409,843.0,843.0,,,,0.0,0.0,0.0,,,,,,
2019-07-01,0.0,0.0,0.0,,,,-14.163,727.0,727.0,,,,0.0,0.0,0.0,,,,,,
2019-08-01,0.0,0.0,0.0,,,,-8.093,416.0,416.0,,,,0.0,0.0,0.0,,,,,,
2019-09-01,0.0,0.0,0.0,,,,-7.633,392.0,392.0,,,,0.0,0.0,0.0,,,,,,
2019-10-01,0.0,0.0,0.0,,,,-6.947,358.0,358.0,,,,0.0,0.0,0.0,,,,,,
2019-11-01,0.0,0.0,0.0,,,,-21.73,1114.0,1114.0,,,,0.0,0.0,0.0,,,,,,
2019-12-01,0.0,0.0,0.0,,,,-12.63,646.0,646.0,,,,0.0,0.0,0.0,,,,,,
2020-01-01,0.0,0.0,0.0,,,,-4.248,440.0,440.0,,,,0.0,0.0,0.0,,,,,,
2020-02-01,0.0,0.0,0.0,,,,-5.384,558.0,558.0,,,,0.0,0.0,0.0,,,,,,
2020-03-01,0.0,0.0,0.0,,,,-3.293,341.0,341.0,,,,0.0,0.0,0.0,,,,,,
2020-04-01,0.0,0.0,0.0,,,,-3.651,378.0,378.0,,,,0.0,0.0,0.0,,,,,,
2020-05-01,0.0,0.0,0.0,,,,-4.828,502.0,502.0,,,,0.0,0.0,0.0,,,,,,
2020-06-01,0.0,0.0,0.0,,,,-5.29,552.0,552.0,,,,0.0,0.0,0.0,,,,,,
2020-07-01,0.0,0.0,0.0,,,,-7.659,794.0,794.0,,,,0.0,0.0,0.0,,,,,,
2020-08-01,0.0,0.0,0.0,,,,-4.569,477.0,477.0,,,,0.0,0.0,0.0,,,,,,
2020-09-01,0.0,0.0,0.0,,,,-2.82,291.0,291.0,,,,0.0,0.0,0.0,,,,,,
2020-10-01,0.0,0.0,0.0,,,,-6.189,645.0,645.0,,,,0.0,0.0,0.0,,,,,,
2020-11-01,0.0,0.0,0.0,,,,-4.48,465.0,465.0,,,,0.0,0.0,0.0,,,,,,
2020-12-01,0.0,0.0,0.0,,,,-3.589,372.0,372.0,,,,0.0,0.0,0.0,,,,,,
2021-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2021-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2021-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2021-04-01,0.0,0.0,0.0,,,,-22.272,543.0,543.0,,,,0.0,0.0,0.0,,,,,,
2021-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2021-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2021-07-01,0.0,0.0,0.0,,,,-148.358,3636.0,3636.0,,,,0.0,0.0,0.0,,,,,,
2021-08-01,0.0,0.0,0.0,,,,-23.178,566.0,566.0,,,,0.0,0.0,0.0,,,,,,
2021-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2021-10-01,0.0,0.0,0.0,,,,-20.192,497.0,497.0,,,,0.0,0.0,0.0,,,,,,
2021-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2021-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-03-01,0.0,0.0,0.0,,,,-18.001,122.0,122.0,,,,0.0,0.0,0.0,,,,,,
2022-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-06-01,0.0,0.0,0.0,,,,-65.667,452.0,452.0,,,,0.0,0.0,0.0,,,,,,
2022-07-01,0.0,0.0,0.0,,,,-129.75,899.0,899.0,,,,0.0,0.0,0.0,,,,,,
2022-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-11-01,0.0,0.0,0.0,,,,-162.583,1125.0,1125.0,,,,0.0,0.0,0.0,,,,,,
2022-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2023-01-01,0.0,0.0,0.0,,,,-29.672,89.0,89.0,,,,0.0,0.0,0.0,,,,,,
2023-02-01,0.0,0.0,0.0,,,,-11.556,41.0,41.0,,,,0.0,0.0,0.0,,,,,,
2023-03-01,0.0,0.0,0.0,,,,-24.367,83.0,83.0,,,,0.0,0.0,0.0,,,,,,
2023-04-01,0.0,0.0,0.0,,,,-29.608,100.0,100.0,,,,0.0,0.0,0.0,,,,,,
2023-05-01,0.0,0.0,0.0,,,,-53.69,183.0,183.0,,,,0.0,0.0,0.0,,,,,,
2023-06-01,0.0,0.0,0.0,,,,-33.3,112.0,112.0,,,,0.0,0.0,0.0,,,,,,
2023-07-01,0.0,0.0,0.0,,,,-32.599,112.0,112.0,,,,0.0,0.0,0.0,,,,,,
2023-08-01,0.0,0.0,0.0,,,,-20.901,71.0,71.0,,,,0.0,0.0,0.0,,,,,,
2023-09-01,0.0,0.0,0.0,,,,-25.641,89.0,89.0,,,,0.0,0.0,0.0,,,,,,
2023-10-01,0.0,0.0,0.0,,,,-42.591,142.0,142.0,,,,0.0,0.0,0.0,,,,,,
2023-11-01,0.0,0.0,0.0,,,,-27.523,94.0,94.0,,,,0.0,0.0,0.0,,,,,,
2023-12-01,0.0,0.0,0.0,,,,-44.552,148.0,148.0,,,,0.0,0.0,0.0,,,,,,
2024-01-01,0.0,0.0,0.0,,,,-3.437,12.0,12.0,,,,0.0,0.0,0.0,,,,,,
2024-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2024-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2024-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2024-05-01,0.0,0.0,0.0,,,,-267.824,1004.0,1004.0,,,,0.0,0.0,0.0,,,,,,
2024-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2024-07-01,0.0,0.0,0.0,,,,-206.221,773.0,773.0,,,,0.0,0.0,0.0,,,,,,
2024-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2024-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2024-10-01,0.0,0.0,0.0,,,,-9.518,35.0,35.0,,,,0.0,0.0,0.0,,,,,,
2024-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2024-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
