measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2018-12-01,6053.384,68847.0,841991.0,16903.34,172127.0,172127.0,1585.966,18038.0,220599.0,27254.65,309976.0,3790963.0
2019-01-01,16222.947,198079.0,792268.0,21123.957,217162.0,217162.0,9082.977,110901.0,443579.0,7955.757,97138.0,388530.0
2019-02-01,14984.86,182962.0,711614.0,16986.8,174632.0,174632.0,7777.509,94962.0,369345.0,7457.993,91061.0,354171.0
2019-03-01,19143.832,233743.0,747678.0,19270.197,198106.0,198106.0,8661.681,105758.0,338289.0,2683.119,32760.0,104791.0
2019-04-01,18235.099,222647.0,742075.0,22310.5,229362.0,229362.0,9854.651,120323.0,401034.0,2138.996,26117.0,87046.0
2019-05-01,15152.096,185004.0,772305.0,24183.354,248616.0,248616.0,4962.857,60596.0,252958.0,8610.367,105131.0,438872.0
2019-06-01,14640.101,178753.0,739256.0,25746.249,264683.0,264683.0,5942.492,72557.0,300068.0,7581.968,92574.0,382854.0
2019-07-01,14566.176,177850.0,774915.0,27137.473,278985.0,278985.0,5710.799,69728.0,303812.0,6355.284,77597.0,338099.0
2019-08-01,15256.524,186279.0,739952.0,27327.065,280934.0,280934.0,5751.057,70219.0,278930.0,7077.804,86419.0,343279.0
2019-09-01,15357.602,187513.0,728677.0,23934.523,246057.0,246057.0,6058.254,73970.0,287448.0,6998.345,85449.0,332053.0
2019-10-01,14145.904,172719.0,675688.0,20587.879,211653.0,211653.0,6465.066,78937.0,308808.0,7992.324,97585.0,381759.0
2019-11-01,14567.527,177867.0,838924.0,18612.838,191348.0,191348.0,5424.123,66228.0,312368.0,7497.581,91544.0,431775.0
2019-12-01,14188.526,173239.0,804959.0,18910.905,194413.0,194413.0,6791.963,82929.0,385329.0,6316.854,77128.0,358375.0
2020-01-01,13594.357,165985.0,787791.0,20257.375,212269.0,212269.0,7291.495,89028.0,422541.0,7607.527,92887.0,440855.0
2020-02-01,14183.493,173178.0,740706.0,20151.148,211157.0,211157.0,8803.165,107485.0,459729.0,7650.081,93406.0,399511.0
2020-03-01,16499.391,201455.0,810596.0,21157.28,221700.0,221700.0,8994.366,109820.0,441883.0,7916.962,96665.0,388951.0
2020-04-01,13848.497,169088.0,700188.0,19454.218,203854.0,203854.0,10720.495,130895.0,542034.0,3992.385,48746.0,201857.0
2020-05-01,14960.603,182666.0,764208.0,20402.039,213786.0,213786.0,8379.55,102313.0,428039.0,7057.193,86167.0,360491.0
2020-06-01,14319.411,174837.0,734512.0,22525.437,236037.0,236037.0,7120.738,86943.0,365257.0,6634.99,81012.0,340341.0
2020-07-01,12633.696,154255.0,696464.0,26270.737,275283.0,275283.0,6061.592,74011.0,334160.0,5953.827,72695.0,328220.0
2020-08-01,11031.32,134690.0,591797.0,23819.872,249601.0,249601.0,6883.865,84051.0,369299.0,5064.698,61839.0,271706.0
2020-09-01,6844.861,83574.0,441020.0,20012.662,209706.0,209706.0,4921.618,60092.0,317104.0,2405.225,29367.0,154971.0
2020-10-01,13476.801,164549.0,691128.0,21589.366,226228.0,226228.0,6999.176,85459.0,358937.0,7390.507,90237.0,379006.0
2020-11-01,11368.327,138805.0,692891.0,20176.251,211420.0,211420.0,5206.822,63574.0,317352.0,6313.448,77086.0,384800.0
2020-12-01,12181.475,148734.0,665886.0,21171.955,221853.0,221853.0,8415.504,102752.0,460024.0,6009.199,73371.0,328486.0
2021-01-01,14850.405,181321.0,708270.0,20411.029,216976.0,216976.0,4065.734,49642.0,193910.0,10602.811,129458.0,505686.0
2021-02-01,8936.502,109113.0,548468.0,18696.941,198757.0,198757.0,2756.792,33660.0,169195.0,5772.162,70477.0,354260.0
2021-03-01,15715.049,191878.0,726364.0,18576.854,197480.0,197480.0,2797.701,34159.0,129312.0,9328.585,113900.0,431176.0
2021-04-01,15231.872,185978.0,723532.0,18452.466,196158.0,196158.0,1468.596,17931.0,69760.0,8848.467,108038.0,420313.0
2021-05-01,15786.906,192755.0,737665.0,20485.995,217775.0,217775.0,2301.439,28100.0,107538.0,6900.764,84257.0,322448.0
2021-06-01,15733.1,192098.0,751617.0,23976.844,254884.0,254884.0,770.906,9413.0,36828.0,7507.969,91671.0,358678.0
2021-07-01,16896.864,206308.0,768932.0,26471.815,281406.0,281406.0,635.783,7763.0,28933.0,7266.438,88722.0,330676.0
2021-08-01,16769.52,204753.0,736960.0,25236.389,268274.0,268274.0,759.389,9272.0,33372.0,8076.847,98617.0,354948.0
2021-09-01,14561.722,177796.0,689467.0,16845.627,179076.0,179076.0,2221.331,27122.0,105175.0,5883.849,71841.0,278588.0
2021-10-01,16574.901,202376.0,756206.0,22194.8,235940.0,235940.0,958.627,11705.0,43736.0,7721.056,94273.0,352262.0
2021-11-01,15370.102,187666.0,717812.0,19173.226,203820.0,203820.0,1792.27,21883.0,83702.0,9247.261,112907.0,431864.0
2021-12-01,12685.456,154887.0,618898.0,18873.314,200632.0,200632.0,2492.202,30429.0,121590.0,7387.711,90203.0,360432.0
2022-01-01,16222.947,198079.0,792268.0,22180.198,232419.0,232419.0,9082.977,110901.0,443579.0,7955.757,97138.0,388530.0
2022-02-01,15191.322,185483.0,711614.0,18509.355,193953.0,193953.0,7884.668,96270.0,369345.0,7560.749,92315.0,354171.0
2022-03-01,19089.854,233084.0,747678.0,17706.369,185539.0,185539.0,8637.258,105459.0,338289.0,2761.52,33718.0,108158.0
2022-04-01,18235.099,222647.0,742075.0,19889.124,208411.0,208411.0,9854.651,120323.0,401034.0,2138.996,26117.0,87046.0
2022-05-01,14856.306,181393.0,772305.0,22872.004,239668.0,239668.0,4865.975,59413.0,252958.0,8442.28,103079.0,438872.0
2022-06-01,14593.619,178185.0,739256.0,24745.97,259305.0,259305.0,5923.625,72326.0,300068.0,7557.895,92281.0,382854.0
2022-07-01,14566.176,177850.0,774915.0,27699.405,290253.0,290253.0,5710.799,69728.0,303812.0,6355.284,77597.0,338099.0
2022-08-01,15256.524,186279.0,739952.0,25155.888,263600.0,263600.0,5751.057,70219.0,278930.0,7077.804,86419.0,343279.0
2022-09-01,15357.602,187513.0,728677.0,20300.304,212721.0,212721.0,6058.254,73970.0,287448.0,6998.345,85449.0,332053.0
2022-10-01,14145.904,172719.0,675688.0,19053.008,199650.0,199650.0,6465.066,78937.0,308808.0,7992.324,97585.0,381759.0
2022-11-01,14567.527,177867.0,838924.0,18329.629,192070.0,192070.0,5424.123,66228.0,312368.0,7497.581,91544.0,431775.0
2022-12-01,14188.526,173239.0,804959.0,20547.086,215306.0,215306.0,6791.963,82929.0,385329.0,6316.854,77128.0,358375.0
2023-01-01,12553.723,153279.0,672626.0,13707.519,145915.0,145915.0,6851.52,83656.0,367103.0,7279.18,88877.0,390017.0
2023-02-01,8519.667,104024.0,507604.0,16359.375,174146.0,174146.0,6632.5,80982.0,395166.0,5607.973,68472.0,334125.0
2023-03-01,5344.986,65261.0,287552.0,16744.099,178241.0,178241.0,8532.067,104175.0,459013.0,172.626,2108.0,9287.0
2023-04-01,12904.112,157557.0,711393.0,14885.001,158451.0,158451.0,6336.567,77368.0,349330.0,7352.458,89772.0,405335.0
2023-05-01,12278.844,149922.0,720522.0,18019.12,191814.0,191814.0,7125.955,87007.0,418151.0,6249.395,76304.0,366714.0
2023-06-01,11504.718,140470.0,683704.0,19785.45,210616.0,210616.0,5353.736,65368.0,318163.0,6128.881,74833.0,364228.0
2023-07-01,9749.919,119045.0,615531.0,20658.537,219910.0,219910.0,5706.171,69671.0,360241.0,4806.633,58688.0,303452.0
2023-08-01,11232.101,137142.0,678971.0,21025.529,223817.0,223817.0,4877.07,59548.0,294815.0,6290.393,76805.0,380249.0
2023-09-01,12067.901,147347.0,695501.0,18656.239,198596.0,198596.0,5486.562,66990.0,316203.0,6237.68,76161.0,359492.0
2023-10-01,11629.683,141996.0,659135.0,17722.726,188659.0,188659.0,6785.441,82849.0,384578.0,4643.004,56690.0,263151.0
