measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2019-11-01,21.009,144.0,1050.0,14261.873,97449.0,712784.0,643.144,4394.0,32143.0,4722.672,32269.0,236031.0
2019-12-01,9.047,62.0,400.0,16397.259,112039.0,725014.0,958.957,6552.0,42401.0,6822.773,46619.0,301673.0
2020-01-01,12.282,84.0,550.0,15214.255,103956.0,681326.0,1801.789,12311.0,80688.0,6597.935,45082.0,295469.0
2020-02-01,23.58,161.0,850.0,19698.796,134598.0,710081.0,2021.799,13815.0,72880.0,8826.976,60313.0,318185.0
2020-03-01,8.539,58.0,325.0,19273.99,131695.0,733548.0,1965.811,13432.0,74817.0,7958.224,54377.0,302882.0
2020-04-01,22.942,157.0,875.0,17620.95,120400.0,672061.0,1464.663,10008.0,55862.0,8964.855,61255.0,341919.0
2020-05-01,0.0,0.0,0.0,9348.202,63874.0,352680.0,2643.818,18065.0,99744.0,6962.382,47573.0,262670.0
2020-06-01,48.991,335.0,1700.0,10702.063,73125.0,371363.0,2160.286,14761.0,74962.0,6817.063,46580.0,236553.0
2020-07-01,2.2,15.0,75.0,19934.335,136207.0,679452.0,1640.204,11207.0,55906.0,7802.679,53314.0,265950.0
2020-08-01,28.469,195.0,975.0,19392.504,132505.0,664159.0,1162.961,7946.0,39829.0,7357.915,50275.0,251996.0
2020-09-01,62.793,429.0,2225.0,19313.465,131965.0,684357.0,1647.107,11254.0,58364.0,7180.646,49064.0,254440.0
2020-10-01,23.133,158.0,975.0,15760.969,107692.0,664290.0,2166.259,14802.0,91303.0,5163.1,35278.0,217613.0
2020-11-01,0.0,0.0,0.0,20174.608,137849.0,672377.0,628.023,4291.0,20931.0,8504.765,58111.0,283446.0
2020-12-01,0.0,0.0,0.0,15788.621,107880.0,543768.0,2454.081,16768.0,84520.0,7661.391,52349.0,263862.0
2021-01-01,18.026,123.0,650.0,18779.52,128317.0,677163.0,872.399,5961.0,31457.0,9008.454,61553.0,324832.0
2021-02-01,76.938,526.0,2825.0,17066.104,116609.0,626630.0,1194.165,8159.0,43847.0,8173.795,55850.0,300124.0
2021-03-01,0.0,0.0,0.0,19668.374,134390.0,693273.0,163.643,1118.0,5768.0,10200.406,69697.0,359545.0
2021-04-01,16.68,114.0,650.0,17641.958,120544.0,687474.0,157.274,1075.0,6129.0,7011.685,47909.0,273232.0
2021-05-01,0.0,0.0,0.0,12095.51,82646.0,440894.0,1836.263,12547.0,66934.0,6510.133,44482.0,237301.0
2021-06-01,9.854,67.0,325.0,20761.664,141860.0,684749.0,251.111,1716.0,8282.0,8881.113,60683.0,292912.0
2021-07-01,0.0,0.0,0.0,21173.053,144671.0,721951.0,230.509,1575.0,7860.0,9643.897,65895.0,328834.0
2021-08-01,23.594,161.0,825.0,21083.008,144056.0,737211.0,489.503,3345.0,17116.0,7788.115,53215.0,272327.0
2021-09-01,9.907,68.0,350.0,19390.816,132494.0,685065.0,1489.642,10178.0,52628.0,6496.431,44389.0,229515.0
2021-10-01,13.779,94.0,500.0,19996.667,136633.0,725646.0,1187.98,8117.0,43110.0,7214.93,49298.0,261818.0
2021-11-01,0.0,0.0,0.0,18900.833,129146.0,641759.0,563.986,3854.0,19150.0,9169.406,62653.0,311338.0
2021-12-01,35.067,240.0,1325.0,18201.92,124370.0,687757.0,525.704,3592.0,19864.0,8802.72,60147.0,332610.0
2022-01-01,16.806,115.0,650.0,18730.24,127980.0,724403.0,1966.695,13438.0,76063.0,7501.794,51258.0,290136.0
2022-02-01,3.893,27.0,150.0,17133.21,117068.0,660213.0,1101.236,7525.0,42435.0,7248.023,49524.0,279296.0
2022-03-01,0.0,0.0,0.0,19561.901,133663.0,720904.0,744.253,5085.0,27428.0,7973.72,54483.0,293851.0
2022-04-01,0.0,0.0,0.0,16482.595,112622.0,618935.0,1760.805,12031.0,66120.0,7541.615,51530.0,283194.0
2022-05-01,0.0,0.0,0.0,16853.915,115159.0,661423.0,514.182,3513.0,20179.0,8125.948,55523.0,318899.0
2022-06-01,0.0,0.0,0.0,19685.843,134509.0,691812.0,322.09,2201.0,11319.0,9101.641,62190.0,319856.0
2022-07-01,0.0,0.0,0.0,11325.509,77385.0,362948.0,1964.408,13422.0,62953.0,5729.785,39150.0,183622.0
2022-08-01,0.0,0.0,0.0,5991.869,40941.0,204048.0,3166.95,21639.0,107848.0,4676.223,31952.0,159245.0
2022-09-01,5.719,39.0,175.0,20255.049,138399.0,619829.0,760.639,5197.0,23276.0,10889.362,74405.0,333227.0
2022-10-01,12.567,86.0,475.0,18243.109,124652.0,689534.0,2545.726,17394.0,96221.0,5038.35,34426.0,190434.0
2022-11-01,23.465,160.0,825.0,18338.741,125305.0,644757.0,1789.051,12224.0,62900.0,8169.911,55823.0,287239.0
2022-12-01,34.411,235.0,1125.0,21756.832,148660.0,711290.0,1154.189,7886.0,37734.0,8874.108,60635.0,290119.0
2023-01-01,3.847,26.0,144.0,19256.779,131578.0,720870.0,1274.423,8708.0,47708.0,8283.554,56600.0,310092.0
2023-02-01,0.0,0.0,0.0,13720.891,93752.0,523264.0,3036.816,20750.0,115813.0,6261.644,42785.0,238796.0
2023-03-01,0.0,0.0,0.0,16310.041,111443.0,629973.0,969.558,6625.0,37449.0,8067.52,55124.0,311607.0
2023-04-01,13.351,91.0,480.0,15207.975,103913.0,546778.0,559.01,3820.0,20098.0,5608.426,38321.0,201642.0
2023-05-01,0.0,0.0,0.0,6956.221,47530.0,482421.0,508.843,3477.0,35289.0,4028.767,27528.0,279399.0
2023-06-01,26.938,184.0,984.0,15586.292,106498.0,569351.0,320.442,2190.0,11705.0,6513.34,44504.0,237926.0
2023-07-01,26.992,184.0,1008.0,15529.377,106109.0,579942.0,255.595,1746.0,9545.0,6935.623,47390.0,259010.0
2023-08-01,0.0,0.0,0.0,15498.422,105898.0,551418.0,766.5,5237.0,27271.0,6654.558,45469.0,236762.0
2023-09-01,1.861,13.0,72.0,17608.305,120314.0,681314.0,242.805,1659.0,9395.0,9387.859,64145.0,363242.0
2023-10-01,15.671,107.0,600.0,18511.831,126488.0,708748.0,1537.262,10504.0,58856.0,4769.554,32589.0,182608.0
2023-11-01,7.27,50.0,216.0,20480.684,139940.0,608536.0,117.802,805.0,3500.0,10610.716,72501.0,315273.0
2023-12-01,0.0,0.0,0.0,16348.382,111705.0,507222.0,428.956,2931.0,13309.0,10585.45,72328.0,328422.0
2024-01-01,1.925,13.0,72.0,17128.736,117037.0,640506.0,739.745,5055.0,27662.0,9409.796,64295.0,351866.0
2024-02-01,0.0,0.0,0.0,18117.041,123790.0,649583.0,88.926,608.0,3188.0,7067.208,48289.0,253393.0
2024-03-01,0.0,0.0,0.0,18833.297,128684.0,622270.0,417.422,2852.0,13792.0,9070.449,61977.0,299696.0
2024-04-01,0.0,0.0,0.0,15510.783,105982.0,556644.0,338.484,2313.0,12147.0,6567.016,44871.0,235674.0
2024-05-01,0.0,0.0,0.0,8685.535,59347.0,396055.0,1082.189,7394.0,49347.0,3716.808,25396.0,169484.0
2024-06-01,21.066,144.0,744.0,14374.952,98221.0,507694.0,479.131,3274.0,16922.0,8288.247,56632.0,292724.0
2024-07-01,100.836,689.0,3360.0,18688.581,127695.0,622732.0,187.952,1284.0,6263.0,7663.274,52362.0,255352.0
2024-08-01,5.827,40.0,192.0,18449.561,126062.0,607904.0,221.708,1515.0,7305.0,7624.561,52097.0,251226.0
2024-09-01,3.093,21.0,120.0,15051.167,102842.0,583979.0,17.008,116.0,660.0,6111.029,41755.0,237105.0
2024-10-01,2.35,16.0,96.0,16781.073,114662.0,685454.0,939.22,6418.0,38364.0,3688.206,25201.0,150652.0
2024-11-01,5.033,34.0,144.0,21864.426,149395.0,625614.0,230.904,1578.0,6607.0,11676.269,79782.0,334097.0
2024-12-01,7.383,50.0,264.0,15530.857,106119.0,555357.0,882.776,6032.0,31567.0,7895.701,53950.0,282337.0
