measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2018-02-01,0.0,0.0,0.0,1483.867,5819.0,14138.0,,,,,,,2022.496,7932.0,19268.0
2018-03-01,0.0,0.0,0.0,1967.799,7717.0,18749.0,,,,,,,2117.542,8305.0,20175.0
2018-04-01,0.0,0.0,0.0,1637.834,6423.0,15605.0,,,,,,,1940.069,7609.0,18488.0
2018-05-01,0.0,0.0,0.0,1788.056,7012.0,17036.0,,,,,,,2326.044,9122.0,22163.0
2018-06-01,0.0,0.0,0.0,1564.042,6134.0,14902.0,,,,,,,2194.49,8606.0,20910.0
2018-07-01,0.0,0.0,0.0,1724.163,6762.0,16427.0,,,,,,,2227.723,8737.0,21225.0
2018-08-01,0.0,0.0,0.0,1790.525,7022.0,17060.0,,,,,,,2272.58,8913.0,21653.0
2018-09-01,0.0,0.0,0.0,1488.185,5836.0,14179.0,,,,,,,1947.526,7638.0,18555.0
2018-10-01,0.0,0.0,0.0,1410.0,5530.0,13434.0,,,,,,,1864.683,7313.0,17768.0
2018-11-01,0.0,0.0,0.0,1254.356,4919.0,11951.0,,,,,,,2322.361,9108.0,22125.0
2018-12-01,0.0,0.0,0.0,1381.511,5418.0,13163.0,,,,,,,2330.823,9141.0,22208.0
2019-01-01,0.0,0.0,0.0,3421.045,13417.0,143161.0,,,,,,,876.226,3436.0,36653.0
2019-02-01,0.0,0.0,0.0,2925.047,11472.0,122404.0,,,,,,,738.634,2897.0,30915.0
2019-03-01,0.0,0.0,0.0,3134.342,12292.0,131162.0,,,,,,,807.379,3166.0,33791.0
2019-04-01,0.0,0.0,0.0,3235.47,12689.0,135394.0,,,,,,,733.284,2876.0,30686.0
2019-05-01,0.0,0.0,0.0,3064.309,12018.0,128232.0,,,,,,,669.083,2624.0,27999.0
2019-06-01,0.0,0.0,0.0,3191.104,12515.0,133538.0,,,,,,,721.74,2831.0,30200.0
2019-07-01,0.0,0.0,0.0,4356.194,17084.0,182293.0,,,,,,,837.394,3284.0,35046.0
2019-08-01,0.0,0.0,0.0,4079.764,16000.0,170725.0,,,,,,,823.528,3230.0,34466.0
2019-09-01,0.0,0.0,0.0,3236.851,12694.0,135452.0,,,,,,,709.832,2784.0,29700.0
2019-10-01,0.0,0.0,0.0,3810.248,14943.0,159447.0,,,,,,,758.887,2976.0,31752.0
2019-11-01,0.0,0.0,0.0,3457.822,13561.0,144699.0,,,,,,,752.529,2951.0,31496.0
2019-12-01,0.0,0.0,0.0,3631.536,14242.0,151968.0,,,,,,,744.752,2921.0,31172.0
2020-01-01,0.0,0.0,0.0,745.131,3013.0,163383.0,,,,,,,18.689,76.0,4081.0
2020-02-01,0.0,0.0,0.0,655.852,2652.0,143809.0,,,,,,,18.742,76.0,4114.0
2020-03-01,0.0,0.0,0.0,624.078,2523.0,136842.0,,,,,,,19.395,78.0,4257.0
2020-04-01,0.0,0.0,0.0,555.204,2245.0,121740.0,,,,,,,19.172,78.0,4202.0
2020-05-01,0.0,0.0,0.0,562.571,2275.0,123355.0,,,,,,,16.841,68.0,3696.0
2020-06-01,0.0,0.0,0.0,613.477,2480.0,134517.0,,,,,,,17.305,70.0,3795.0
2020-07-01,0.0,0.0,0.0,825.453,3337.0,180997.0,,,,,,,20.157,81.0,4422.0
2020-08-01,0.0,0.0,0.0,659.345,2666.0,144575.0,,,,,,,19.499,79.0,4279.0
2020-09-01,0.0,0.0,0.0,571.438,2310.0,125299.0,,,,,,,17.171,69.0,3762.0
2020-10-01,0.0,0.0,0.0,625.07,2527.0,137059.0,,,,,,,19.599,79.0,4301.0
2020-11-01,0.0,0.0,0.0,477.98,1933.0,104807.0,,,,,,,20.263,82.0,4444.0
2020-12-01,0.0,0.0,0.0,594.971,2406.0,130459.0,,,,,,,19.317,78.0,4235.0
2021-01-01,0.0,0.0,0.0,2676.551,10497.0,133207.0,,,,,,,481.669,1889.0,23948.0
2021-02-01,0.0,0.0,0.0,2823.648,11074.0,140526.0,,,,,,,493.334,1935.0,24559.0
2021-03-01,0.0,0.0,0.0,1840.241,7217.0,91585.0,,,,,,,446.543,1751.0,22217.0
2021-04-01,0.0,0.0,0.0,2242.092,8793.0,111584.0,,,,,,,396.551,1555.0,19735.0
2021-05-01,0.0,0.0,0.0,1942.823,7619.0,96690.0,,,,,,,404.264,1585.0,20119.0
2021-06-01,0.0,0.0,0.0,2689.374,10547.0,133844.0,,,,,,,466.27,1829.0,23213.0
2021-07-01,0.0,0.0,0.0,2889.034,11330.0,143781.0,,,,,,,507.576,1991.0,25259.0
2021-08-01,0.0,0.0,0.0,2995.71,11749.0,149089.0,,,,,,,517.715,2030.0,25766.0
2021-09-01,0.0,0.0,0.0,2396.331,9398.0,119260.0,,,,,,,452.668,1775.0,22532.0
2021-10-01,0.0,0.0,0.0,2327.322,9127.0,115825.0,,,,,,,456.926,1792.0,22741.0
2021-11-01,0.0,0.0,0.0,2548.146,9993.0,126816.0,,,,,,,445.585,1748.0,22182.0
2021-12-01,0.0,0.0,0.0,2360.95,9259.0,117499.0,,,,,,,427.677,1677.0,21291.0
2022-01-01,0.0,0.0,0.0,2177.316,8539.0,109806.0,,,,,,,401.325,1574.0,20224.0
2022-02-01,0.0,0.0,0.0,1777.993,6973.0,89669.0,,,,,,,345.113,1353.0,17410.0
2022-03-01,0.0,0.0,0.0,1824.492,7155.0,92014.0,,,,,,,401.031,1573.0,20224.0
2022-04-01,0.0,0.0,0.0,1602.638,6285.0,80825.0,,,,,,,391.567,1536.0,19752.0
2022-05-01,0.0,0.0,0.0,1514.137,5938.0,76362.0,,,,,,,428.502,1681.0,21605.0
2022-06-01,0.0,0.0,0.0,2373.715,9309.0,119713.0,,,,,,,458.919,1800.0,23144.0
2022-07-01,0.0,0.0,0.0,3174.101,12448.0,160079.0,,,,,,,400.245,1570.0,20189.0
2022-08-01,0.0,0.0,0.0,2896.965,11361.0,146101.0,,,,,,,409.931,1608.0,20679.0
2022-09-01,0.0,0.0,0.0,2560.674,10043.0,129142.0,,,,,,,391.932,1537.0,19770.0
2022-10-01,0.0,0.0,0.0,2485.273,9747.0,125339.0,,,,,,,420.632,1650.0,21221.0
2022-11-01,0.0,0.0,0.0,1691.109,6632.0,85287.0,,,,,,,407.328,1597.0,20539.0
2022-12-01,0.0,0.0,0.0,2308.078,9052.0,116403.0,,,,,,,467.984,1835.0,23598.0
2023-01-01,0.0,0.0,0.0,2554.061,10017.0,108548.0,,,,,,,794.988,3118.0,33789.0
2023-02-01,0.0,0.0,0.0,2496.722,9792.0,106112.0,,,,,,,716.385,2810.0,30450.0
2023-03-01,0.0,0.0,0.0,2787.517,10932.0,118470.0,,,,,,,793.065,3110.0,33701.0
2023-04-01,0.0,0.0,0.0,2707.856,10620.0,115085.0,,,,,,,645.673,2532.0,27444.0
2023-05-01,0.0,0.0,0.0,2484.935,9746.0,105610.0,,,,,,,599.759,2352.0,25486.0
2023-06-01,0.0,0.0,0.0,2845.675,11160.0,120943.0,,,,,,,642.209,2519.0,27286.0
2023-07-01,0.0,0.0,0.0,3462.733,13580.0,147167.0,,,,,,,756.401,2966.0,32146.0
2023-08-01,0.0,0.0,0.0,3345.18,13119.0,142172.0,,,,,,,758.317,2974.0,32233.0
2023-09-01,0.0,0.0,0.0,3051.249,11967.0,129679.0,,,,,,,742.178,2911.0,31551.0
2023-10-01,0.0,0.0,0.0,2689.175,10547.0,114291.0,,,,,,,737.694,2893.0,31359.0
2023-11-01,0.0,0.0,0.0,2610.526,10238.0,110949.0,,,,,,,795.948,3122.0,33824.0
2023-12-01,0.0,0.0,0.0,3086.131,12103.0,131162.0,,,,,,,783.623,3073.0,33299.0
