measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,67343.0,819744.0,819744.0,27460.0,0.0,0.0,,,,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,20701.0,242462.0,242462.0,8140.0,0.0,0.0,,,,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,13582.0,13582.0,367.0,0.0,0.0,,,,,,
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,50836.0,623410.0,623410.0,20226.0,0.0,0.0,,,,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,3963.0,37678.0,37678.0,801.0,0.0,0.0,,,,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,25021.0,299586.0,299586.0,8948.0,0.0,0.0,,,,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4692.0,54816.0,54816.0,1608.0,0.0,0.0,,,,,,
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25869.0,308345.0,308345.0,7407.0,0.0,0.0,,,,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,12183.0,154684.0,154684.0,7514.0,0.0,0.0,,,,,,
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,11248.0,130757.0,130757.0,3112.0,0.0,0.0,,,,,,
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19790.0,238387.0,238387.0,7236.0,0.0,0.0,,,,,,
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,23288.0,291144.0,291144.0,9042.0,0.0,0.0,,,,,,
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,23893.0,304798.0,304798.0,9138.0,0.0,0.0,,,,,,
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10227.0,127074.0,127074.0,3733.0,0.0,0.0,,,,,,
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,16534.0,213692.0,213692.0,5488.0,0.0,0.0,,,,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,18748.0,215468.0,215468.0,6637.0,0.0,0.0,,,,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,11540.0,140425.0,140425.0,3399.0,0.0,0.0,,,,,,
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,13900.0,161957.0,161957.0,4419.0,0.0,0.0,,,,,,
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,13594.0,145085.0,145085.0,4451.0,0.0,0.0,,,,,,
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1864.0,23137.0,23137.0,613.0,0.0,0.0,,,,,,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3604.0,44281.0,44281.0,1385.0,0.0,0.0,,,,,,
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,26223.0,328652.0,328652.0,9921.0,0.0,0.0,,,,,,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,42691.0,551428.0,551428.0,18882.0,0.0,0.0,,,,,,
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,55294.0,701780.0,701780.0,26630.0,0.0,0.0,,,,,,
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,60298.0,771385.0,771385.0,26965.0,0.0,0.0,,,,,,
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,41227.0,523656.0,523656.0,18231.0,0.0,0.0,,,,,,
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,15877.0,192659.0,192659.0,5351.0,0.0,0.0,,,,,,
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,44184.0,528380.0,528380.0,16552.0,0.0,0.0,,,,,,
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,18913.0,185642.0,185642.0,6513.0,0.0,0.0,,,,,,
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,11441.0,147663.0,147663.0,3711.0,0.0,0.0,,,,,,
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18345.0,204608.0,204608.0,6607.0,0.0,0.0,,,,,,
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,20278.0,239437.0,239437.0,7385.0,0.0,0.0,,,,,,
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,21254.0,258247.0,258247.0,7813.0,0.0,0.0,,,,,,
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20780.0,257736.0,257736.0,6778.0,0.0,0.0,,,,,,
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,43433.0,547824.0,547824.0,18320.0,0.0,0.0,,,,,,
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,41020.0,512447.0,512447.0,18866.0,0.0,0.0,,,,,,
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,49477.0,623539.0,623539.0,23097.0,0.0,0.0,,,,,,
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,21763.0,275754.0,275754.0,8711.0,0.0,0.0,,,,,,
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14972.0,181274.0,181274.0,5837.0,0.0,0.0,,,,,,
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13726.0,170659.0,170659.0,3090.0,0.0,0.0,,,,,,
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,13088.0,141875.0,141875.0,4739.0,0.0,0.0,,,,,,
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,43851.0,403690.0,403690.0,15469.0,0.0,0.0,,,,,,
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,24460.0,24460.0,720.0,0.0,0.0,,,,,,
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,21363.0,260294.0,260294.0,8418.0,0.0,0.0,,,,,,
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,52750.0,660047.0,660047.0,23588.0,0.0,0.0,,,,,,
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,43173.0,540650.0,540650.0,19394.0,0.0,0.0,,,,,,
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,26007.0,326426.0,326426.0,10730.0,0.0,0.0,,,,,,
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,44763.0,588293.0,588293.0,21673.0,0.0,0.0,,,,,,
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,52476.0,667250.0,667250.0,24931.0,0.0,0.0,,,,,,
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,17190.0,231921.0,231921.0,7973.0,0.0,0.0,,,,,,
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,29380.0,365266.0,365266.0,12301.0,0.0,0.0,,,,,,
2024-11-01,226.363,3040.0,3040.0,0.0,0.0,0.0,2804.637,37662.0,37662.0,0.0,0.0,0.0,,,,,,
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3212.0,39099.0,39099.0,0.0,0.0,0.0,,,,,,
