measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2014-03-01,205327.95,2205970.0,2205970.0,18.07,194.0,194.0,123.377,1326.0,1326.0,134.602,1446.0,1446.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-04-01,94345.497,1072089.0,1072089.0,101.503,1153.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-05-01,139942.32,1624262.0,1624262.0,90.029,1045.0,1045.0,0.0,0.0,0.0,382.656,4441.0,4441.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-06-01,240506.69,2593538.0,2593538.0,99.547,1073.0,1073.0,0.0,0.0,0.0,196.761,2122.0,2122.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-07-01,226087.0,2517113.0,2517113.0,329.777,3672.0,3672.0,0.0,0.0,0.0,92.145,1026.0,1026.0,0.0,0.0,0.0,,,,916.074,10199.0,10199.0
2014-08-01,232645.25,2566734.0,2566734.0,318.291,3512.0,3512.0,0.0,0.0,0.0,90.464,998.0,998.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-09-01,177074.6,1974811.0,1974811.0,279.55,3118.0,3118.0,0.0,0.0,0.0,616.85,6879.0,6879.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-10-01,183565.98,2031423.0,2031423.0,53.661,594.0,594.0,0.0,0.0,0.0,489.291,5415.0,5415.0,0.0,0.0,0.0,,,,154.069,1705.0,1705.0
2014-11-01,184846.3,2018428.0,2018428.0,39.742,434.0,434.0,15.001,164.0,164.0,708.205,7733.0,7733.0,0.0,0.0,0.0,,,,1220.753,13330.0,13330.0
2014-12-01,206279.29,2231191.0,2231191.0,191.629,2073.0,2073.0,0.0,0.0,0.0,545.265,5898.0,5898.0,0.0,0.0,0.0,,,,816.818,8835.0,8835.0
2015-01-01,233065.28,2551819.0,2551819.0,93.351,1022.0,1022.0,31.532,345.0,345.0,416.837,4564.0,4564.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,225712.08,2619906.0,2619906.0,104.29,1211.0,1211.0,4.776,55.0,55.0,35.85,416.0,416.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,251812.86,2698707.0,2698707.0,43.689,468.0,468.0,0.0,0.0,0.0,418.454,4485.0,4485.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,220299.65,2394833.0,2394833.0,172.285,1873.0,1873.0,0.0,0.0,0.0,98.065,1066.0,1066.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-05-01,224749.02,2426975.0,2426975.0,424.075,4579.0,4579.0,0.0,0.0,0.0,439.905,4750.0,4750.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-06-01,206387.78,2261361.0,2261361.0,416.387,4562.0,4562.0,0.0,0.0,0.0,328.83,3603.0,3603.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-07-01,206779.68,2316384.0,2316384.0,488.314,5470.0,5470.0,0.0,0.0,0.0,97.003,1087.0,1087.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-08-01,175272.25,1968299.0,1968299.0,246.095,2764.0,2764.0,0.0,0.0,0.0,712.657,8003.0,8003.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-09-01,195420.33,2138141.0,2138141.0,61.582,674.0,674.0,0.0,0.0,0.0,127.088,1391.0,1391.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-10-01,144381.34,1587975.0,1587975.0,342.647,3769.0,3769.0,0.0,0.0,0.0,190.014,2090.0,2090.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-11-01,84477.423,1020452.0,1020452.0,83.195,1005.0,1005.0,0.0,0.0,0.0,134.382,1623.0,1623.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-01,125883.35,1376385.0,1376385.0,130.036,1422.0,1422.0,0.0,0.0,0.0,342.617,3746.0,3746.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-01-01,192272.8,2119384.0,2119384.0,23.829,263.0,263.0,19.89,219.0,219.0,698.484,7699.0,7699.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-02-01,136779.21,1494182.0,1494182.0,113.949,1245.0,1245.0,0.0,0.0,0.0,256.839,2806.0,2806.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-03-01,122709.72,1393696.0,1393696.0,297.122,3375.0,3375.0,4.881,55.0,55.0,2498.627,28379.0,28379.0,0.0,0.0,0.0,,,,13.647,155.0,155.0
2016-04-01,181600.64,2000636.0,2000636.0,154.973,1707.0,1707.0,5.032,55.0,55.0,1025.355,11296.0,11296.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-05-01,114725.97,1292276.0,1292276.0,173.368,1953.0,1953.0,43.849,494.0,494.0,1779.818,20048.0,20048.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-06-01,185134.53,2090320.0,2090320.0,55.629,628.0,628.0,75.215,849.0,849.0,2074.63,23424.0,23424.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-07-01,172338.92,1980632.0,1980632.0,186.811,2147.0,2147.0,14.253,164.0,164.0,1101.012,12654.0,12654.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-08-01,191571.35,2240220.0,2240220.0,311.039,3637.0,3637.0,0.0,0.0,0.0,971.61,11362.0,11362.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-09-01,174327.93,2037796.0,2037796.0,196.855,2301.0,2301.0,0.0,0.0,0.0,1744.211,20389.0,20389.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-10-01,134051.19,1582327.0,1582327.0,355.548,4197.0,4197.0,0.0,0.0,0.0,1179.266,13920.0,13920.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-11-01,151004.76,1742309.0,1742309.0,10.887,126.0,126.0,9.61,111.0,111.0,1465.089,16904.0,16904.0,0.0,0.0,0.0,,,,577.651,6665.0,6665.0
2016-12-01,180143.0,2009325.0,2009325.0,192.994,2153.0,2153.0,14.685,164.0,164.0,1128.525,12588.0,12588.0,0.0,0.0,0.0,,,,27.793,310.0,310.0
2017-01-01,189020.56,2113351.0,2113351.0,172.109,1924.0,1924.0,19.609,219.0,219.0,1198.999,13405.0,13405.0,0.0,0.0,0.0,,,,27.727,310.0,310.0
2017-02-01,79355.785,981962.0,981962.0,290.71,3597.0,3597.0,13.237,164.0,164.0,929.268,11499.0,11499.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-03-01,183822.88,2050294.0,2050294.0,57.337,640.0,640.0,4.971,55.0,55.0,507.814,5664.0,5664.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-04-01,191559.14,2151795.0,2151795.0,59.474,668.0,668.0,6.057,68.0,68.0,633.328,7114.0,7114.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-05-01,157811.59,1806958.0,1806958.0,297.715,3409.0,3409.0,7.043,81.0,81.0,358.653,4107.0,4107.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-06-01,143719.86,1761213.0,1761213.0,136.99,1679.0,1679.0,0.0,0.0,0.0,428.155,5247.0,5247.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-07-01,184909.31,2232855.0,2232855.0,166.92,2016.0,2016.0,0.0,0.0,0.0,203.775,2461.0,2461.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-08-01,147177.62,1766285.0,1766285.0,154.157,1850.0,1850.0,9.239,111.0,111.0,122.988,1476.0,1476.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-09-01,77930.0,906942.0,906942.0,340.503,3963.0,3963.0,0.0,0.0,0.0,299.497,3486.0,3486.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-10-01,109211.32,1504775.0,1504775.0,55.117,759.0,759.0,11.888,164.0,164.0,595.937,8211.0,8211.0,0.0,0.0,0.0,,,,114.743,1581.0,1581.0
2017-11-01,142824.1,1645541.0,1645541.0,179.406,2067.0,2067.0,19.029,219.0,219.0,257.468,2966.0,2966.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-12-01,164807.67,1840843.0,1840843.0,280.653,3135.0,3135.0,14.665,164.0,164.0,136.016,1519.0,1519.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-01-01,191755.58,2227132.0,2227132.0,320.051,3717.0,3717.0,14.103,164.0,164.0,170.271,1978.0,1978.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-02-01,102147.75,1177725.0,1177725.0,628.962,7252.0,7252.0,4.808,55.0,55.0,416.48,4802.0,4802.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-03-01,104999.18,1195926.0,1195926.0,427.629,4871.0,4871.0,4.867,55.0,55.0,609.326,6940.0,6940.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-04-01,199573.14,2169123.0,2169123.0,125.56,1365.0,1365.0,15.071,164.0,164.0,365.23,3970.0,3970.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-05-01,179002.98,2057178.0,2057178.0,150.048,1724.0,1724.0,0.219,3.0,3.0,467.749,5376.0,5376.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-06-01,207986.55,2374570.0,2374570.0,111.03,1268.0,1268.0,132.435,1512.0,1512.0,167.984,1918.0,1918.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-07-01,189797.15,2180192.0,2180192.0,107.37,1233.0,1233.0,9.653,111.0,111.0,405.832,4662.0,4662.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-08-01,191112.72,2306724.0,2306724.0,179.769,2170.0,2170.0,4.593,55.0,55.0,539.92,6517.0,6517.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-09-01,175603.25,2094409.0,2094409.0,506.516,6041.0,6041.0,9.297,111.0,111.0,347.941,4150.0,4150.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-10-01,192134.73,2210455.0,2210455.0,272.479,3135.0,3135.0,14.238,164.0,164.0,630.549,7254.0,7254.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-11-01,228203.83,2605961.0,2605961.0,201.51,2301.0,2301.0,19.199,219.0,219.0,494.46,5646.0,5646.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-12-01,239115.89,2665998.0,2665998.0,399.466,4454.0,4454.0,9.945,111.0,111.0,197.697,2204.0,2204.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-01-01,191955.48,2226772.0,2226772.0,324.374,3763.0,3763.0,14.12,164.0,164.0,235.026,2726.0,2726.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-02-01,166566.98,1933820.0,1933820.0,346.735,4026.0,4026.0,14.109,164.0,164.0,416.175,4832.0,4832.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-03-01,231606.94,2671862.0,2671862.0,438.538,5059.0,5059.0,14.199,164.0,164.0,87.32,1007.0,1007.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-04-01,57079.895,740145.0,740145.0,823.463,10678.0,10678.0,4.276,55.0,55.0,167.366,2170.0,2170.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-05-01,182607.82,2149702.0,2149702.0,137.751,1622.0,1622.0,28.256,333.0,333.0,177.175,2086.0,2086.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-06-01,85849.325,1023519.0,1023519.0,19.157,228.0,228.0,36.778,438.0,438.0,239.74,2858.0,2858.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-07-01,118809.29,1358472.0,1358472.0,7.491,86.0,86.0,14.326,164.0,164.0,229.889,2629.0,2629.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-08-01,113689.99,1291794.0,1291794.0,7.538,86.0,86.0,19.295,219.0,219.0,161.175,1831.0,1831.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-09-01,131563.29,1479012.0,1479012.0,46.729,525.0,525.0,9.863,111.0,111.0,296.123,3329.0,3329.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-10-01,97919.676,1079721.0,1079721.0,0.0,0.0,0.0,10.056,111.0,111.0,502.268,5538.0,5538.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-11-01,125745.51,1340216.0,1340216.0,0.0,0.0,0.0,15.369,164.0,164.0,77.118,822.0,822.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-12-01,96442.807,1067657.0,1067657.0,69.632,771.0,771.0,19.804,219.0,219.0,64.757,717.0,717.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-01-01,107960.4,1182308.0,1182308.0,39.626,434.0,434.0,0.0,0.0,0.0,175.972,1927.0,1927.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-02-01,85121.263,965646.0,965646.0,0.0,0.0,0.0,9.774,111.0,111.0,100.963,1145.0,1145.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-03-01,45781.855,514028.0,514028.0,209.527,2353.0,2353.0,9.876,111.0,111.0,142.742,1603.0,1603.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-04-01,92182.029,1047557.0,1047557.0,64.818,737.0,737.0,19.292,219.0,219.0,409.861,4658.0,4658.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-05-01,118477.54,1277453.0,1277453.0,0.0,0.0,0.0,0.0,0.0,0.0,167.46,1806.0,1806.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
