measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2018-01-01,18262.423,105613.0,992715.0,5012.666,28989.0,272480.0,11063.911,63983.0,601416.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,18764.501,108516.0,1036633.0,3798.785,21969.0,209861.0,10464.714,60518.0,578117.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,21877.746,126520.0,1128518.0,4435.152,25649.0,228778.0,11285.102,65262.0,582119.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,15822.506,91502.0,879578.0,4998.78,28908.0,277884.0,7813.714,45187.0,434367.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,22740.208,131508.0,1136626.0,4165.899,24092.0,208224.0,10582.893,61201.0,528966.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,20039.941,115892.0,1029066.0,4929.149,28506.0,253116.0,8427.91,48739.0,432780.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,23374.188,135174.0,1117892.0,4534.268,26222.0,216856.0,9685.544,56012.0,463220.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,23176.622,134032.0,1136557.0,4236.551,24500.0,207756.0,10855.827,62780.0,532358.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,19092.868,110415.0,948336.0,4729.944,27354.0,234935.0,8769.188,50713.0,435563.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,21417.819,123860.0,1132325.0,4000.968,23138.0,211525.0,9291.213,53732.0,491211.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,20590.228,119074.0,1056126.0,4431.992,25630.0,227328.0,10709.78,61935.0,549332.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,21957.433,126981.0,1094110.0,5359.918,30997.0,267078.0,11895.649,68793.0,592745.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,21970.647,136402.0,862164.0,4.995,31.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,13455.481,83537.0,528015.0
2019-02-01,20267.106,125826.0,777819.0,6.644,41.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,11172.454,69363.0,428781.0
2019-03-01,22475.817,139538.0,848347.0,5.935,37.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,13606.072,84472.0,513560.0
2019-04-01,20556.235,127621.0,803793.0,4.91,30.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,12503.991,77630.0,488933.0
2019-05-01,21623.087,134244.0,862362.0,4.463,28.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,12737.947,79082.0,508009.0
2019-06-01,21992.759,136539.0,839779.0,7.254,45.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,9465.753,58767.0,361444.0
2019-07-01,21174.998,131462.0,832996.0,1.601,10.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,12941.122,80343.0,509087.0
2019-08-01,22885.307,142081.0,891673.0,3.029,19.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,11461.327,71156.0,446564.0
2019-09-01,10007.004,62127.0,356709.0,8.332,52.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.939,37405.0,214764.0
2019-10-01,20400.753,126656.0,748023.0,10.173,63.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,9656.672,59952.0,354076.0
2019-11-01,25053.958,155545.0,867036.0,12.974,81.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,9017.255,55983.0,312058.0
2019-12-01,28274.746,175540.0,905885.0,14.857,92.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,7631.484,47379.0,244503.0
2020-01-01,29116.643,180767.0,1128681.0,13.905,86.0,539.0,7148.232,44379.0,277095.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,27786.902,172512.0,1027194.0,15.852,98.0,586.0,5321.066,33035.0,196703.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,27846.86,172884.0,1116038.0,13.574,84.0,544.0,7481.266,46447.0,299832.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,29391.106,182471.0,1047995.0,17.248,107.0,615.0,4420.604,27445.0,157625.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,26330.54,163470.0,961116.0,16.301,101.0,595.0,3847.44,23886.0,140439.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,23132.091,143613.0,1033044.0,8.061,50.0,360.0,9538.415,59218.0,425971.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,17885.896,111042.0,792152.0,5.78,36.0,256.0,10394.911,64536.0,460382.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,23839.055,148002.0,1104805.0,4.877,30.0,226.0,11346.866,70446.0,525863.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,16381.112,101700.0,678765.0,8.785,55.0,364.0,8565.678,53179.0,354926.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,18839.046,116960.0,1096713.0,4.088,25.0,238.0,9152.828,56824.0,532831.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,20413.03,126732.0,1043356.0,6.182,38.0,316.0,10224.048,63475.0,522574.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,26075.013,161884.0,1100354.0,14.052,87.0,593.0,6694.761,41564.0,282516.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,15779.304,97964.0,896902.0,9167.685,56916.0,521095.0,6553.242,40685.0,372489.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,9996.339,62061.0,632878.0,6212.054,38567.0,393291.0,5693.755,35349.0,360477.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,17164.1,106561.0,788966.0,9600.064,59601.0,441277.0,10091.209,62650.0,463853.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,13578.415,84300.0,808746.0,9091.044,56441.0,541473.0,3499.849,21728.0,208455.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,19821.31,123058.0,1129514.0,8583.444,53289.0,489126.0,2828.139,17558.0,161161.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,16399.303,101813.0,893816.0,6422.729,39875.0,350060.0,7771.858,48251.0,423592.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,19000.86,117965.0,1042601.0,5227.784,32456.0,286855.0,9008.818,55930.0,494325.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,20003.23,124188.0,1111277.0,6344.9,39392.0,352490.0,6948.016,43136.0,385996.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,19675.052,122150.0,1058607.0,5176.609,32138.0,278525.0,9069.515,56307.0,487981.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,19294.178,119786.0,1099610.0,4817.288,29908.0,274546.0,7898.291,49036.0,450138.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,18104.981,112403.0,1058163.0,4955.963,30769.0,289656.0,9075.495,56344.0,530426.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,18580.367,115354.0,1045076.0,5141.515,31920.0,289191.0,10365.099,64350.0,582998.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,17975.626,111600.0,1005294.0,6655.475,41320.0,372210.0,10518.712,65304.0,588263.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,15505.683,96265.0,881262.0,6242.057,38753.0,354766.0,7346.45,45610.0,417534.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,15752.483,97797.0,911399.0,6248.666,38794.0,361532.0,9375.194,58205.0,542425.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,19261.271,119581.0,1082283.0,4060.092,25207.0,228135.0,9448.49,58660.0,530907.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,17961.832,111514.0,1032211.0,3829.96,23778.0,220096.0,9768.054,60644.0,561340.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,17155.41,106507.0,1000521.0,4540.2,28187.0,264789.0,7977.967,49530.0,465283.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,14869.953,92318.0,1055432.0,6981.704,43345.0,495544.0,2573.9,15980.0,182689.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,19387.271,120364.0,1085136.0,5138.519,31902.0,287611.0,9140.158,56746.0,511589.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,18689.988,116035.0,1068597.0,5017.854,31153.0,286895.0,8375.503,51998.0,478868.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,11141.362,69170.0,743467.0,6352.357,39438.0,423895.0,7395.721,45915.0,493519.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,19119.443,118701.0,1084581.0,5833.471,36216.0,330913.0,8740.979,54267.0,495846.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,13260.06,82323.0,790586.0,7429.149,46123.0,442938.0,8601.526,53402.0,512837.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,15252.721,94695.0,745990.0,10520.658,65316.0,514551.0,0.0,0.0,0.0,0.0,0.0,0.0,8515.736,52869.0,416493.0
2023-02-01,11773.088,73092.0,500847.0,10059.266,62452.0,427938.0,0.0,0.0,0.0,0.0,0.0,0.0,7418.326,46056.0,315588.0
2023-03-01,19264.595,119602.0,865074.0,9711.844,60295.0,436109.0,0.0,0.0,0.0,0.0,0.0,0.0,7392.696,45897.0,331968.0
2023-04-01,14859.195,92252.0,696015.0,9438.905,58600.0,442125.0,0.0,0.0,0.0,0.0,0.0,0.0,6831.398,42412.0,319988.0
2023-05-01,15832.274,98293.0,842404.0,6164.218,38270.0,327986.0,0.0,0.0,0.0,0.0,0.0,0.0,6591.898,40925.0,350742.0
2023-06-01,16856.589,104652.0,810172.0,6643.585,41246.0,319308.0,0.0,0.0,0.0,0.0,0.0,0.0,6978.211,43323.0,335391.0
2023-07-01,16289.556,101132.0,734646.0,7407.4,45988.0,334068.0,0.0,0.0,0.0,0.0,0.0,0.0,6410.697,39800.0,289118.0
2023-08-01,18093.366,112331.0,832901.0,10239.515,63571.0,471361.0,0.0,0.0,0.0,0.0,0.0,0.0,4599.984,28558.0,211754.0
2023-09-01,16436.547,102044.0,724438.0,7365.404,45727.0,324629.0,0.0,0.0,0.0,0.0,0.0,0.0,8540.348,53022.0,376415.0
2023-10-01,6093.867,37833.0,307656.0,11085.676,68824.0,559674.0,0.0,0.0,0.0,0.0,0.0,0.0,4383.542,27215.0,221309.0
2023-11-01,18274.164,113453.0,803644.0,8380.39,52029.0,368545.0,0.0,0.0,0.0,0.0,0.0,0.0,7585.192,47092.0,333575.0
2023-12-01,19596.938,121665.0,849181.0,8983.359,55772.0,389270.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.856,51647.0,360476.0
2024-01-01,14020.696,87046.0,630698.0,10766.133,66840.0,484297.0,8114.365,50377.0,365012.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,17380.958,107908.0,778954.0,7002.89,43477.0,313845.0,7864.37,48825.0,352454.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,10486.023,65101.0,818686.0,4592.811,28514.0,358579.0,3093.624,19206.0,241532.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,7579.7,47058.0,661804.0,3503.738,21753.0,305921.0,3137.635,19480.0,273956.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,14560.181,90395.0,837812.0,6059.594,37620.0,348677.0,4667.411,28977.0,268569.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,7633.201,47390.0,340035.0,9864.145,61240.0,439417.0,2383.466,14797.0,106176.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,13758.051,85415.0,777517.0,9497.196,58962.0,536721.0,2210.785,13725.0,124940.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,18166.08,112782.0,807514.0,7826.619,48591.0,347907.0,7866.067,48836.0,349661.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,19104.287,118607.0,795775.0,6420.349,39860.0,267435.0,8395.609,52123.0,349713.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,17581.896,109155.0,771368.0,9621.867,59736.0,422139.0,5127.359,31833.0,224952.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,16341.421,101454.0,723604.0,8696.022,53988.0,385063.0,7355.157,45664.0,325689.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,20917.661,129865.0,809793.0,10801.177,67058.0,418150.0,4319.618,26818.0,167227.0,0.0,0.0,0.0,0.0,0.0,0.0
