measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2008-12-01,6438.3150000000005,40832.0,185675.0,7016.4980000000005,44499.0,202350.0,793.7130000000001,5034.0,22890.0,362.25100000000003,2297.0,10447.0,2770.652,17572.0,79903.0
2009-01-01,3720.199,23594.0,106761.0,8676.155,55025.0,248984.0,0.0,0.0,0.0,,,,3370.8120000000004,21378.0,96734.0
2009-02-01,15797.712,100191.0,434403.0,17084.823,108354.0,469795.0,0.0,0.0,0.0,,,,11283.583,71562.0,310274.0
2009-03-01,17287.745000000003,109641.0,420390.0,15901.982,100852.0,386692.0,0.0,0.0,0.0,,,,11977.984,75966.0,291271.0
2009-04-01,15784.228,100105.0,395415.0,13955.697,88509.0,349608.0,0.0,0.0,0.0,,,,10425.582,66120.0,261174.0
2009-05-01,11332.217,71870.0,312510.0,12821.813,81317.0,353589.0,0.0,0.0,0.0,,,,5999.389,38049.0,165446.0
2009-06-01,18455.911,117049.0,440232.0,13601.011,86259.0,324427.0,0.0,0.0,0.0,,,,12580.703,79788.0,300089.0
2009-07-01,19679.703999999998,124811.0,470606.0,14044.556,89072.0,335851.0,0.0,0.0,0.0,,,,12497.86,79263.0,298865.0
2009-08-01,18163.684,115196.0,446275.0,13615.606,86352.0,334531.0,0.0,0.0,0.0,,,,12543.357,79551.0,308186.0
2009-09-01,14990.006000000001,95068.0,392991.0,13723.148000000001,87034.0,359778.0,0.0,0.0,0.0,,,,11490.767,72876.0,301252.0
2009-10-01,18328.623,116242.0,476963.0,15503.696,98326.0,403450.0,0.0,0.0,0.0,,,,11576.427,73419.0,301252.0
2009-11-01,17522.638,111130.0,447563.0,16080.274000000001,101983.0,410722.0,0.0,0.0,0.0,,,,9869.87,62596.0,252096.0
2009-12-01,18576.945,117817.0,474649.0,20222.638,128254.0,516697.0,0.0,0.0,0.0,,,,8022.724,50881.0,204984.0
2010-01-01,16438.897,104257.0,479434.0,19726.825,125110.0,575325.0,0.0,0.0,0.0,,,,10545.19,66879.0,307546.0
2010-02-01,14378.882000000001,91192.0,419961.0,17988.794,114087.0,525394.0,0.0,0.0,0.0,,,,9455.31,59967.0,276159.0
2010-03-01,16678.498,105777.0,459406.0,16995.203,107785.0,468130.0,0.0,0.0,0.0,,,,11408.543,72354.0,314246.0
2010-04-01,14447.928,91630.0,352391.0,15459.380000000001,98045.0,377060.0,0.0,0.0,0.0,,,,13270.661,84164.0,323677.0
2010-05-01,10889.601,69063.0,337496.0,11739.266,74452.0,363829.0,0.0,0.0,0.0,,,,6061.0560000000005,38440.0,187847.0
2010-06-01,16687.324,105833.0,431114.0,11995.045,76074.0,309890.0,0.0,0.0,0.0,,,,13864.683,87931.0,358192.0
2010-07-01,19158.851000000002,121508.0,495036.0,11593.98,73530.0,299571.0,0.0,0.0,0.0,,,,13465.143,85397.0,347919.0
2010-08-01,19617.229,124415.0,520092.0,10432.445,66164.0,276585.0,0.0,0.0,0.0,,,,12736.493,80776.0,337670.0
2010-09-01,19507.631999999998,123720.0,505035.0,8887.751,56367.0,230096.0,0.0,0.0,0.0,,,,11906.487000000001,75512.0,308248.0
2010-10-01,17621.825,111760.0,463780.0,9910.129,62851.0,260820.0,0.0,0.0,0.0,,,,12259.037,77748.0,322639.0
2010-11-01,18416.816,116801.0,507030.0,13689.17,86818.0,376874.0,0.0,0.0,0.0,,,,9630.572,61078.0,265138.0
2010-12-01,18267.215,115853.0,501097.0,16278.816,103242.0,446552.0,0.0,0.0,0.0,,,,11993.948,76067.0,329012.0
2011-01-01,15499.816,98302.0,452423.0,16017.972,101588.0,467548.0,,,,,,,10789.189,68426.0,314925.0
2011-02-01,16214.545,102834.0,450016.0,14759.089,93604.0,409622.0,,,,,,,9543.343,60525.0,264865.0
2011-03-01,20794.02,131878.0,500523.0,14520.591,92091.0,349518.0,,,,,,,8179.296,51874.0,196880.0
