measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2016-12-01,5447.187,33189.0,303228.0,0.0,0.0,0.0,572.441,3488.0,31866.0,0.323,2.0,18.0,0.0,0.0,0.0,3947.049,24049.0,219720.0
2017-01-01,5564.3,33902.0,293040.0,0.0,0.0,0.0,453.571,2764.0,23887.0,17.431,106.0,918.0,0.0,0.0,0.0,3717.698,22651.0,195790.0
2017-02-01,5262.594,32064.0,274272.0,0.0,0.0,0.0,138.265,842.0,7206.0,0.0,0.0,0.0,0.0,0.0,0.0,3468.141,21131.0,180750.0
2017-03-01,6000.834,36562.0,306516.0,0.0,0.0,0.0,158.97,969.0,8120.0,0.0,0.0,0.0,0.0,0.0,0.0,4106.196,25018.0,209740.0
2017-04-01,5685.494,34641.0,291696.0,0.0,0.0,0.0,195.36,1190.0,10023.0,0.0,0.0,0.0,0.0,0.0,0.0,3572.146,21765.0,183270.0
2017-05-01,2852.208,17378.0,226296.0,0.0,0.0,0.0,198.486,1209.0,15748.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.306,11499.0,149740.0
2017-06-01,5485.921,33425.0,298584.0,0.0,0.0,0.0,454.68,2770.0,24747.0,0.0,0.0,0.0,0.0,0.0,0.0,3216.399,19597.0,175060.0
2017-07-01,5793.165,35297.0,307836.0,0.0,0.0,0.0,391.68,2386.0,20813.0,0.0,0.0,0.0,0.0,0.0,0.0,3656.155,22276.0,194280.0
2017-08-01,5526.618,33673.0,289536.0,0.0,0.0,0.0,479.945,2924.0,25144.0,0.0,0.0,0.0,0.0,0.0,0.0,3732.437,22741.0,195540.0
2017-09-01,4825.809,29403.0,260556.0,0.0,0.0,0.0,343.031,2090.0,18521.0,0.0,0.0,0.0,0.0,0.0,0.0,3159.16,19248.0,170570.0
2017-10-01,5745.044,35004.0,308040.0,0.0,0.0,0.0,355.382,2165.0,19055.0,0.0,0.0,0.0,0.0,0.0,0.0,3938.574,23997.0,211180.0
2017-11-01,5553.338,33836.0,295512.0,0.0,0.0,0.0,1138.172,6935.0,60566.0,0.789,5.0,42.0,0.0,0.0,0.0,3007.701,18325.0,160050.0
2017-12-01,5629.396,34299.0,317424.0,0.0,0.0,0.0,394.17,2402.0,22226.0,21.388,130.0,1206.0,0.0,0.0,0.0,3762.046,22922.0,212130.0
2018-01-01,5751.325,35042.0,318204.0,0.0,0.0,0.0,225.622,1375.0,12483.0,71.9,438.0,3978.0,0.0,0.0,0.0,4010.153,24433.0,221870.0
2018-02-01,4493.297,29391.0,275064.0,0.0,0.0,0.0,376.614,2463.0,23055.0,15.976,104.0,978.0,0.0,0.0,0.0,2974.034,19453.0,182060.0
2018-03-01,5539.763,33753.0,318420.0,0.0,0.0,0.0,231.893,1413.0,13329.0,1.044,6.0,60.0,0.0,0.0,0.0,4033.3,24574.0,231830.0
2018-04-01,4998.626,30456.0,289416.0,0.0,0.0,0.0,375.291,2287.0,21729.0,0.0,0.0,0.0,0.0,0.0,0.0,3239.083,19735.0,187540.0
2018-05-01,4406.866,26850.0,230892.0,0.0,0.0,0.0,672.275,4096.0,35223.0,0.0,0.0,0.0,0.0,0.0,0.0,2446.859,14908.0,128200.0
2018-06-01,5710.521,34793.0,321468.0,0.0,0.0,0.0,375.99,2291.0,21166.0,0.0,0.0,0.0,0.0,0.0,0.0,3607.489,21980.0,203080.0
2018-07-01,6126.803,37330.0,334308.0,0.0,0.0,0.0,236.636,1442.0,12912.0,0.0,0.0,0.0,0.0,0.0,0.0,3816.561,23254.0,208250.0
2018-08-01,6153.884,37495.0,332760.0,0.0,0.0,0.0,168.494,1027.0,9111.0,0.0,0.0,0.0,0.0,0.0,0.0,3613.622,22017.0,195400.0
2018-09-01,5903.166,35967.0,319164.0,0.0,0.0,0.0,252.189,1537.0,13635.0,0.0,0.0,0.0,0.0,0.0,0.0,3562.645,21707.0,192620.0
2018-10-01,6083.275,37065.0,328752.0,0.0,0.0,0.0,181.97,1109.0,9834.0,0.0,0.0,0.0,0.0,0.0,0.0,3748.755,22841.0,202590.0
2018-11-01,5758.062,35083.0,309348.0,0.0,0.0,0.0,1004.312,6119.0,53956.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.626,18959.0,167170.0
2018-12-01,5527.419,33678.0,311172.0,0.0,0.0,0.0,586.808,3575.0,33035.0,6.501,40.0,366.0,0.0,0.0,0.0,4116.272,25080.0,231730.0
2019-01-01,5182.856,33901.0,296067.0,0.0,0.0,0.0,559.571,3660.0,31965.0,80.48,526.0,4597.0,0.0,0.0,0.0,3607.508,23597.0,206076.0
2019-02-01,4815.241,31496.0,276416.0,0.0,0.0,0.0,357.405,2338.0,20517.0,0.0,0.0,0.0,0.0,0.0,0.0,3221.951,21075.0,184954.0
2019-03-01,5560.025,36368.0,308699.0,0.0,0.0,0.0,280.841,1837.0,15593.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.587,24454.0,207571.0
2019-04-01,5231.81,34221.0,299790.0,0.0,0.0,0.0,250.999,1642.0,14383.0,0.0,0.0,0.0,0.0,0.0,0.0,3502.353,22909.0,200690.0
2019-05-01,5352.77,35012.0,306298.0,0.0,0.0,0.0,285.495,1867.0,16337.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.894,23226.0,203190.0
2019-06-01,3972.513,25984.0,240282.0,0.0,0.0,0.0,378.632,2477.0,22902.0,0.0,0.0,0.0,0.0,0.0,0.0,2739.364,17918.0,165694.0
2019-07-01,5101.647,33370.0,309418.0,0.0,0.0,0.0,264.285,1729.0,16029.0,0.0,0.0,0.0,0.0,0.0,0.0,3344.44,21876.0,202843.0
2019-08-01,5049.835,33031.0,311077.0,0.0,0.0,0.0,265.1,1734.0,16331.0,0.0,0.0,0.0,0.0,0.0,0.0,3061.032,20022.0,188564.0
2019-09-01,3724.547,24362.0,272148.0,0.0,0.0,0.0,168.066,1099.0,12280.0,0.0,0.0,0.0,0.0,0.0,0.0,2152.764,14081.0,157300.0
2019-10-01,5753.053,37631.0,321888.0,0.0,0.0,0.0,520.308,3403.0,29112.0,0.0,0.0,0.0,0.0,0.0,0.0,3188.725,20857.0,178412.0
2019-11-01,2158.952,14122.0,192479.0,0.0,0.0,0.0,1088.868,7122.0,97077.0,0.072,0.0,6.0,0.0,0.0,0.0,1459.864,9549.0,130152.0
2019-12-01,5076.238,33204.0,314673.0,0.0,0.0,0.0,971.444,6354.0,60219.0,0.93,6.0,58.0,0.0,0.0,0.0,3351.064,21919.0,207731.0
2020-01-01,5470.227,35781.0,293074.0,0.0,0.0,0.0,236.69,1548.0,12681.0,3.705,24.0,198.0,0.0,0.0,0.0,3911.68,25586.0,209573.0
2020-02-01,5083.211,33249.0,291763.0,0.0,0.0,0.0,258.378,1690.0,14830.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.867,21316.0,187051.0
2020-03-01,5785.513,37843.0,328825.0,0.0,0.0,0.0,215.671,1411.0,12258.0,0.676,4.0,38.0,0.0,0.0,0.0,3383.843,22134.0,192324.0
2020-04-01,5801.569,37948.0,323802.0,0.0,0.0,0.0,107.157,701.0,5981.0,0.0,0.0,0.0,0.0,0.0,0.0,3319.555,21713.0,185274.0
2020-05-01,5795.114,37906.0,327978.0,0.0,0.0,0.0,154.63,1011.0,8751.0,0.226,1.0,13.0,0.0,0.0,0.0,3131.136,20481.0,177209.0
2020-06-01,5769.484,37738.0,321761.0,0.0,0.0,0.0,378.439,2475.0,21105.0,3.1,20.0,173.0,0.0,0.0,0.0,3002.739,19641.0,167461.0
2020-07-01,5806.279,37979.0,320276.0,0.0,0.0,0.0,248.199,1623.0,13691.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.338,20534.0,173167.0
2020-08-01,6021.228,39385.0,328848.0,0.0,0.0,0.0,68.807,450.0,3758.0,0.0,0.0,0.0,0.0,0.0,0.0,3270.518,21392.0,178619.0
2020-09-01,5722.529,37431.0,317399.0,0.0,0.0,0.0,272.817,1784.0,15132.0,11.082,72.0,615.0,0.0,0.0,0.0,3121.252,20416.0,173120.0
2020-10-01,5816.226,38044.0,320972.0,0.0,0.0,0.0,254.363,1664.0,14037.0,0.0,0.0,0.0,0.0,0.0,0.0,3342.128,21861.0,184437.0
2020-11-01,5614.977,36727.0,306669.0,0.0,0.0,0.0,717.732,4695.0,39200.0,3.986,26.0,218.0,0.0,0.0,0.0,2767.698,18103.0,151161.0
2020-12-01,5548.819,36295.0,317840.0,0.0,0.0,0.0,304.616,1992.0,17449.0,63.493,415.0,3637.0,0.0,0.0,0.0,3407.297,22287.0,195172.0
2021-01-01,5924.188,36095.0,327576.0,0.0,0.0,0.0,489.107,2980.0,27045.0,18.338,112.0,1014.0,0.0,0.0,0.0,3715.367,22637.0,205440.0
2021-02-01,5226.011,31841.0,295920.0,0.0,0.0,0.0,360.834,2199.0,20432.0,13.987,85.0,792.0,0.0,0.0,0.0,3226.168,19657.0,182680.0
2021-03-01,5781.014,35223.0,326052.0,0.0,0.0,0.0,492.939,3003.0,27802.0,0.0,0.0,0.0,0.0,0.0,0.0,3604.047,21959.0,203270.0
2021-04-01,5912.131,36022.0,310452.0,0.0,0.0,0.0,504.18,3072.0,26475.0,0.0,0.0,0.0,0.0,0.0,0.0,3522.689,21463.0,184980.0
2021-05-01,4106.222,25019.0,242136.0,0.0,0.0,0.0,562.711,3429.0,33182.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.067,14313.0,138520.0
2021-06-01,5645.06,34395.0,331116.0,0.0,0.0,0.0,542.776,3307.0,31837.0,0.0,0.0,0.0,0.0,0.0,0.0,3184.164,19401.0,186770.0
2021-07-01,4941.262,30106.0,332616.0,0.0,0.0,0.0,776.763,4733.0,52287.0,0.0,0.0,0.0,0.0,0.0,0.0,2355.975,14355.0,158590.0
2021-08-01,5593.308,34079.0,332460.0,0.0,0.0,0.0,859.488,5237.0,51087.0,0.0,0.0,0.0,0.0,0.0,0.0,2677.204,16312.0,159130.0
2021-09-01,5134.169,31282.0,323268.0,0.0,0.0,0.0,938.885,5720.0,59116.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.946,15177.0,156840.0
2021-10-01,4961.886,30232.0,323724.0,0.0,0.0,0.0,944.313,5754.0,61609.0,0.0,0.0,0.0,0.0,0.0,0.0,2634.801,16053.0,171900.0
2021-11-01,5356.264,32635.0,319008.0,0.0,0.0,0.0,1679.709,10234.0,100040.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.027,10772.0,105300.0
2021-12-01,5114.675,31163.0,332352.0,0.0,0.0,0.0,709.802,4325.0,46123.0,0.0,0.0,0.0,0.0,0.0,0.0,2961.523,18044.0,192440.0
2022-01-01,5137.851,31304.0,327420.0,0.0,0.0,0.0,969.902,5909.0,61809.0,0.0,0.0,0.0,0.0,0.0,0.0,2864.247,17451.0,182530.0
2022-02-01,4692.496,28591.0,288180.0,0.0,0.0,0.0,1060.363,6461.0,65120.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.141,13417.0,135240.0
2022-03-01,4947.638,32362.0,316464.0,0.0,0.0,0.0,1044.516,6832.0,66810.0,0.0,0.0,0.0,0.0,0.0,0.0,2372.635,15519.0,151760.0
2022-04-01,5006.463,30504.0,300792.0,0.0,0.0,0.0,1065.166,6490.0,63996.0,0.0,0.0,0.0,0.0,0.0,0.0,2572.371,15673.0,154550.0
2022-05-01,4837.629,29475.0,298344.0,0.0,0.0,0.0,1188.652,7242.0,73306.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.719,13329.0,134920.0
2022-06-01,5123.484,31217.0,323748.0,0.0,0.0,0.0,924.575,5633.0,58423.0,0.0,0.0,0.0,0.0,0.0,0.0,2468.941,15043.0,156010.0
2022-07-01,5537.38,33738.0,333192.0,0.0,0.0,0.0,726.425,4426.0,43710.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.195,17000.0,167890.0
2022-08-01,5057.483,30815.0,310140.0,0.0,0.0,0.0,817.996,4984.0,50162.0,0.0,0.0,0.0,0.0,0.0,0.0,2644.521,16113.0,162170.0
2022-09-01,5069.459,30887.0,298512.0,0.0,0.0,0.0,1513.508,9222.0,89122.0,0.0,0.0,0.0,0.0,0.0,0.0,1669.033,10169.0,98280.0
2022-10-01,4369.7,26624.0,280836.0,0.0,0.0,0.0,739.269,4504.0,47512.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.031,17310.0,182590.0
2022-11-01,3274.541,19951.0,206172.0,0.0,0.0,0.0,482.846,2942.0,30401.0,0.0,0.0,0.0,0.0,0.0,0.0,2232.613,13603.0,140570.0
2022-12-01,5049.959,30769.0,321168.0,0.0,0.0,0.0,1116.668,6804.0,71018.0,0.0,0.0,0.0,0.0,0.0,0.0,3070.373,18707.0,195270.0
2023-01-01,5205.968,31719.0,316632.0,0.0,0.0,0.0,1225.433,7466.0,74532.0,0.0,0.0,0.0,0.0,0.0,0.0,2879.599,17545.0,175140.0
2023-02-01,4651.639,28342.0,269136.0,0.0,0.0,0.0,1352.632,8241.0,78261.0,0.0,0.0,0.0,0.0,0.0,0.0,2429.729,14804.0,140580.0
2023-03-01,4792.859,29202.0,291576.0,0.0,0.0,0.0,1269.44,7735.0,77227.0,0.0,0.0,0.0,0.0,0.0,0.0,2989.701,18216.0,181880.0
2023-04-01,4709.432,28694.0,287220.0,0.0,0.0,0.0,1353.588,8247.0,82553.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.98,17023.0,170400.0
2023-05-01,4602.471,28042.0,289044.0,0.0,0.0,0.0,904.129,5509.0,56781.0,0.0,0.0,0.0,0.0,0.0,0.0,2757.4,16800.0,173170.0
2023-06-01,4931.609,30048.0,299484.0,0.0,0.0,0.0,932.791,5683.0,56646.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.6,17204.0,171470.0
2023-07-01,4902.131,29868.0,304032.0,0.0,0.0,0.0,883.58,5384.0,54800.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.289,14966.0,152340.0
2023-08-01,4736.811,28861.0,294684.0,0.0,0.0,0.0,885.319,5394.0,55077.0,0.0,0.0,0.0,0.0,0.0,0.0,2449.87,14927.0,152410.0
2023-09-01,4938.983,30093.0,297060.0,0.0,0.0,0.0,1735.661,10575.0,104393.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.356,11213.0,110690.0
2023-10-01,5166.757,31480.0,310056.0,0.0,0.0,0.0,1047.213,6381.0,62843.0,0.0,0.0,0.0,0.0,0.0,0.0,2884.03,17572.0,173070.0
2023-11-01,4694.353,28602.0,280236.0,0.0,0.0,0.0,557.873,3399.0,33303.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.774,17589.0,172330.0
2023-12-01,5145.537,31351.0,308268.0,0.0,0.0,0.0,1069.775,6518.0,64090.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.688,18319.0,180130.0
2024-01-01,3122.09,20422.0,302208.0,0.0,0.0,0.0,3273.914,21415.0,316904.0,2.851,19.0,276.0,0.0,0.0,0.0,1875.58,12268.0,181550.0
2024-02-01,3714.724,24298.0,290568.0,0.0,0.0,0.0,1658.169,10846.0,129703.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.123,16615.0,198690.0
2024-03-01,4622.12,30233.0,309576.0,0.0,0.0,0.0,984.546,6440.0,65942.0,0.0,0.0,0.0,0.0,0.0,0.0,2808.424,18370.0,188100.0
2024-04-01,4506.918,29480.0,300000.0,0.0,0.0,0.0,926.878,6063.0,61697.0,2.614,17.0,174.0,0.0,0.0,0.0,2563.235,16766.0,170620.0
2024-05-01,2626.973,17183.0,215484.0,0.0,0.0,0.0,916.656,5996.0,75191.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.439,8565.0,107410.0
2024-06-01,4245.196,27768.0,274464.0,0.0,0.0,0.0,890.463,5824.0,57571.0,0.0,0.0,0.0,0.0,0.0,0.0,2718.673,17783.0,175770.0
2024-07-01,5162.364,33767.0,331332.0,0.0,0.0,0.0,494.981,3238.0,31769.0,0.0,0.0,0.0,0.0,0.0,0.0,2706.513,17703.0,173710.0
2024-08-01,4722.446,30889.0,293700.0,0.0,0.0,0.0,1350.648,8835.0,84000.0,0.868,6.0,54.0,0.0,0.0,0.0,2399.812,15697.0,149250.0
2024-09-01,4234.807,27700.0,271272.0,0.0,0.0,0.0,1244.222,8138.0,79702.0,1.78,12.0,114.0,0.0,0.0,0.0,1704.713,11150.0,109200.0
2024-10-01,4820.987,31534.0,317220.0,0.0,0.0,0.0,932.45,6099.0,61355.0,6.839,45.0,450.0,0.0,0.0,0.0,2599.856,17006.0,171070.0
2024-11-01,4679.36,30608.0,299004.0,0.0,0.0,0.0,1178.729,7710.0,75319.0,2.535,17.0,162.0,0.0,0.0,0.0,2353.264,15393.0,150370.0
2024-12-01,4896.075,32025.0,324768.0,0.0,0.0,0.0,1258.708,8233.0,83493.0,0.905,6.0,60.0,0.0,0.0,0.0,2274.306,14876.0,150860.0
