measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2016-02-01,22.929,272.0,272.0,2262.029,26834.0,26834.0,9140.042,108428.0,108428.0
2016-03-01,37.251,436.0,436.0,2442.055,28583.0,28583.0,10221.694,119638.0,119638.0
2016-04-01,36.775,441.0,441.0,2448.296,29360.0,29360.0,9977.929,119653.0,119653.0
2016-05-01,64.703,712.0,712.0,1757.686,19342.0,19342.0,6508.611,71621.0,71621.0
2016-06-01,0.0,0.0,0.0,2723.265,28527.0,28527.0,9479.735,99303.0,99303.0
2016-07-01,0.0,0.0,0.0,2863.103,29804.0,29804.0,9837.897,102408.0,102408.0
2016-08-01,50.791,565.0,565.0,2344.929,26085.0,26085.0,9036.28,100520.0,100520.0
2016-09-01,0.0,0.0,0.0,2486.044,27334.0,27334.0,9745.956,107156.0,107156.0
2016-10-01,6.892,75.0,75.0,2595.908,28250.0,28250.0,10203.2,111035.0,111035.0
2016-11-01,81.588,861.0,861.0,2613.804,27584.0,27584.0,9711.608,102487.0,102487.0
2016-12-01,37.431,412.0,412.0,2627.013,28916.0,28916.0,10428.556,114787.0,114787.0
2017-01-01,60.5,608.0,608.0,1734.108,17427.0,17427.0,11134.392,111896.0,111896.0
2017-02-01,35.956,476.0,476.0,1865.583,24698.0,24698.0,9338.461,123627.0,123627.0
2017-03-01,24.089,285.0,285.0,2622.256,31025.0,31025.0,10301.655,121881.0,121881.0
2017-04-01,64.674,776.0,776.0,2291.943,27500.0,27500.0,8684.383,104201.0,104201.0
2017-05-01,74.561,794.0,794.0,1745.939,18593.0,18593.0,7763.5,82674.0,82674.0
2017-06-01,6.801,71.0,71.0,2235.656,23338.0,23338.0,9902.543,103372.0,103372.0
2017-07-01,15.295,156.0,156.0,2440.517,24892.0,24892.0,9949.188,101476.0,101476.0
2017-08-01,66.37,679.0,679.0,2411.401,24670.0,24670.0,9511.229,97304.0,97304.0
2017-09-01,57.553,602.0,602.0,2286.879,23921.0,23921.0,9833.568,102858.0,102858.0
2017-10-01,76.151,801.0,801.0,2221.367,23366.0,23366.0,9767.482,102740.0,102740.0
2017-11-01,60.408,653.0,653.0,2343.785,25336.0,25336.0,10238.807,110679.0,110679.0
2017-12-01,56.438,608.0,608.0,1617.687,17427.0,17427.0,10386.875,111896.0,111896.0
2018-01-01,11.731,137.0,137.0,2590.097,30248.0,30248.0,10377.172,121186.0,121186.0
2018-02-01,0.0,0.0,0.0,2236.347,26252.0,26252.0,9533.653,111911.0,111911.0
2018-03-01,0.639,7.0,7.0,2492.279,27306.0,27306.0,10546.082,115545.0,115545.0
2018-04-01,0.0,0.0,0.0,2438.055,28194.0,28194.0,10070.945,116462.0,116462.0
2018-05-01,24.012,280.0,280.0,1932.342,22533.0,22533.0,7709.646,89902.0,89902.0
2018-06-01,19.474,210.0,210.0,2573.307,27750.0,27750.0,9590.219,103419.0,103419.0
2018-07-01,22.35,249.0,249.0,2747.345,30608.0,30608.0,9610.305,107069.0,107069.0
2018-08-01,32.932,369.0,369.0,2612.788,29276.0,29276.0,9601.28,107582.0,107582.0
2018-09-01,100.222,1067.0,1067.0,2525.71,26890.0,26890.0,9262.068,98608.0,98608.0
2018-10-01,59.435,643.0,643.0,2559.907,27695.0,27695.0,9983.658,108009.0,108009.0
2018-11-01,6.446,72.0,72.0,2382.536,26612.0,26612.0,9906.018,110647.0,110647.0
2018-12-01,19.547,220.0,220.0,2347.183,26418.0,26418.0,9973.27,112251.0,112251.0
2019-01-01,31.077,345.0,345.0,2632.117,29221.0,29221.0,10415.806,115632.0,115632.0
2019-02-01,29.857,363.0,363.0,2487.851,30248.0,30248.0,9053.292,110071.0,110071.0
2019-03-01,13.322,163.0,163.0,2469.904,30220.0,30220.0,10312.774,126179.0,126179.0
2019-04-01,6.477,75.0,75.0,2343.648,27140.0,27140.0,10089.875,116841.0,116841.0
2019-05-01,9.956,112.0,112.0,1398.616,15734.0,15734.0,6274.428,70587.0,70587.0
2019-06-01,85.48,950.0,950.0,2102.402,23366.0,23366.0,9476.118,105315.0,105315.0
2019-07-01,7.848,84.0,84.0,2299.725,24614.0,24614.0,10023.427,107282.0,107282.0
2019-08-01,3.154,33.0,33.0,2249.249,23532.0,23532.0,10040.597,105046.0,105046.0
2019-09-01,4.28,44.0,44.0,2226.888,22894.0,22894.0,9849.832,101262.0,101262.0
2019-10-01,37.815,390.0,390.0,2192.914,22616.0,22616.0,10546.271,108767.0,108767.0
2019-11-01,43.325,488.0,488.0,2281.334,25697.0,25697.0,10013.341,112788.0,112788.0
2019-12-01,89.056,1038.0,1038.0,2318.919,27029.0,27029.0,10021.025,116802.0,116802.0
2020-01-01,65.337,823.0,823.0,2357.243,29693.0,29693.0,9663.42,121723.0,121723.0
2020-02-01,120.525,1427.0,1427.0,1727.361,20452.0,20452.0,8335.114,98687.0,98687.0
