measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Generation,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2012-07-01,,,,,,,20853.056,367425.0,367425.0,63.0,1253.0,1253.0,16.0,1056.0,1056.0,769.944,13566.0,13566.0,,,,,,,,,,,,,,,,,,
2012-08-01,,,,,,,51490.056,590566.0,590566.0,0.0,0.0,0.0,0.0,0.0,0.0,483.944,5551.0,5551.0,,,,,,,,,,,,,,,,,,
2012-09-01,,,,,,,14904.35,176419.0,176419.0,0.0,0.0,0.0,0.0,0.0,0.0,41.65,493.0,493.0,,,,,,,,,,,,,,,,,,
2012-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2012-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2012-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-07-01,,,,,,,18631.359,392766.0,392766.0,0.0,0.0,0.0,54.0,568.0,568.0,770.641,16246.0,16246.0,,,,,,,,,,,,,,,,,,
2013-08-01,,,,,,,13410.652,110627.0,110627.0,443.0,6722.0,6722.0,0.0,0.0,0.0,849.348,7006.0,7006.0,,,,,,,,,,,,,,,,,,
2013-09-01,,,,,,,0.0,0.0,0.0,129.0,1914.0,1914.0,10.0,70.0,70.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2013-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,18413.2,303041.0,303041.0,1624.0,24604.0,24604.0,266.0,3416.0,3416.0,291.8,4802.0,4802.0,,,,,,,,,,,,,,,,,,
2014-02-01,,,,,,,33946.163,488192.0,488192.0,19.0,1114.0,1114.0,22.0,255.0,255.0,517.837,7447.0,7447.0,,,,,,,,,,,,,,,,,,
2014-03-01,,,,,,,39751.684,506022.0,506022.0,92.0,963.0,963.0,6.0,104.0,104.0,94.316,1201.0,1201.0,,,,,,,,,,,,,,,,,,
2014-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2014-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2014-06-01,,,,,,,0.0,0.0,0.0,17.0,586.0,586.0,0.0,104.0,104.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2014-07-01,,,,,,,0.0,0.0,0.0,118.0,1949.0,1949.0,19.0,215.0,215.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2014-08-01,,,,,,,0.0,0.0,0.0,44.0,574.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2014-09-01,,,,,,,0.0,0.0,0.0,33.0,621.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2014-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2014-11-01,,,,,,,0.0,0.0,0.0,45.0,1032.0,1032.0,0.0,35.0,35.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2014-12-01,,,,,,,0.0,0.0,0.0,149.0,2378.0,2378.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,,,,0.0,52.0,52.0,0.0,35.0,35.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2015-02-01,0.0,0.0,0.0,,,,,,,0.0,70.0,70.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2015-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2015-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,5.0,87.0,87.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2015-06-01,0.0,0.0,0.0,,,,,,,78.0,1920.0,1920.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2015-07-01,0.0,0.0,0.0,,,,,,,77.0,1206.0,1206.0,5.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,
2015-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2015-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2015-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2015-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2015-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-07-01,0.0,0.0,0.0,,,,,,,63.0,1317.0,1317.0,6.0,122.0,122.0,,,,,,,,,,,,,,,,,,,,,
2016-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2016-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-01-01,0.0,0.0,0.0,,,,,,,4.647,75.0,75.0,3.832,58.0,58.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-02-01,0.0,0.0,0.0,,,,,,,3.639,64.0,64.0,3.0,41.0,41.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-03-01,0.0,0.0,0.0,,,,,,,4.744,81.0,81.0,3.912,58.0,58.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-04-01,0.0,0.0,0.0,,,,,,,3.188,52.0,52.0,2.629,35.0,35.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-05-01,0.0,0.0,0.0,,,,,,,5.144,87.0,87.0,4.241,58.0,58.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-06-01,0.0,0.0,0.0,,,,,,,5.475,93.0,93.0,4.515,64.0,64.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-07-01,0.0,0.0,0.0,,,,,,,4.569,75.0,75.0,3.768,52.0,52.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-08-01,0.0,0.0,0.0,,,,,,,6.154,104.0,104.0,5.074,70.0,70.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-09-01,0.0,0.0,0.0,,,,,,,4.462,75.0,75.0,3.679,52.0,52.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-10-01,0.0,0.0,0.0,,,,,,,3.238,52.0,52.0,2.67,41.0,41.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-11-01,0.0,0.0,0.0,,,,,,,5.922,99.0,99.0,4.883,70.0,70.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2017-12-01,0.0,0.0,0.0,,,,,,,5.818,99.0,99.0,4.797,70.0,70.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-01-01,0.0,0.0,0.0,,,,,,,50.152,980.0,980.0,7.748,93.0,93.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-02-01,0.0,0.0,0.0,,,,,,,20.022,389.0,389.0,3.093,35.0,35.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-03-01,0.0,0.0,0.0,,,,,,,15.43,302.0,302.0,2.383,29.0,29.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-04-01,0.0,0.0,0.0,,,,,,,17.364,336.0,336.0,2.682,29.0,29.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-05-01,0.0,0.0,0.0,,,,,,,17.39,336.0,336.0,2.686,29.0,29.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-06-01,0.0,0.0,0.0,,,,,,,28.519,557.0,557.0,4.405,52.0,52.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-07-01,0.0,0.0,0.0,,,,,,,11.212,220.0,220.0,1.732,23.0,23.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-08-01,0.0,0.0,0.0,,,,,,,17.768,348.0,348.0,2.745,35.0,35.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-09-01,0.0,0.0,0.0,,,,,,,9.066,174.0,174.0,1.4,17.0,17.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-10-01,0.0,0.0,0.0,,,,,,,12.676,249.0,249.0,1.958,23.0,23.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-11-01,0.0,0.0,0.0,,,,,,,20.45,400.0,400.0,3.159,35.0,35.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2018-12-01,0.0,0.0,0.0,,,,,,,25.951,505.0,505.0,4.009,46.0,46.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-01-01,0.0,0.0,0.0,,,,,,,4.555,75.0,75.0,0.4,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-02-01,0.0,0.0,0.0,,,,,,,4.172,70.0,70.0,0.366,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-03-01,0.0,0.0,0.0,,,,,,,2.567,41.0,41.0,0.225,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-04-01,0.0,0.0,0.0,,,,,,,1.378,23.0,23.0,0.121,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-05-01,0.0,0.0,0.0,,,,,,,3.977,64.0,64.0,0.349,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-06-01,0.0,0.0,0.0,,,,,,,8.247,133.0,133.0,0.723,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-07-01,0.0,0.0,0.0,,,,,,,2.797,46.0,46.0,0.245,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-08-01,0.0,0.0,0.0,,,,,,,6.922,116.0,116.0,0.607,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-09-01,0.0,0.0,0.0,,,,,,,4.305,70.0,70.0,0.378,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-10-01,0.0,0.0,0.0,,,,,,,8.936,145.0,145.0,0.784,17.0,17.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-11-01,0.0,0.0,0.0,,,,,,,7.868,128.0,128.0,0.69,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2019-12-01,0.0,0.0,0.0,,,,,,,1.276,23.0,23.0,0.112,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-01-01,0.0,0.0,0.0,,,,,,,11.182,197.0,197.0,1.145,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-02-01,0.0,0.0,0.0,,,,,,,8.587,151.0,151.0,0.881,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-03-01,0.0,0.0,0.0,,,,,,,11.933,209.0,209.0,1.224,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-04-01,0.0,0.0,0.0,,,,,,,8.731,157.0,157.0,0.896,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-05-01,0.0,0.0,0.0,,,,,,,11.017,197.0,197.0,1.13,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-06-01,0.0,0.0,0.0,,,,,,,8.138,145.0,145.0,0.835,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-07-01,0.0,0.0,0.0,,,,,,,11.417,203.0,203.0,1.171,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-08-01,0.0,0.0,0.0,,,,,,,10.119,180.0,180.0,1.038,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-09-01,0.0,0.0,0.0,,,,,,,9.365,168.0,168.0,0.961,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-10-01,0.0,0.0,0.0,,,,,,,7.365,128.0,128.0,0.755,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-11-01,0.0,0.0,0.0,,,,,,,8.841,157.0,157.0,0.907,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-12-01,0.0,0.0,0.0,,,,,,,10.305,180.0,180.0,1.057,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-01-01,0.0,0.0,0.0,,,,,,,13.972,435.0,435.0,7.807,81.0,81.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-02-01,0.0,0.0,0.0,,,,,,,15.544,476.0,476.0,8.687,110.0,110.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-03-01,0.0,0.0,0.0,,,,,,,10.786,331.0,331.0,6.027,75.0,75.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-04-01,0.0,0.0,0.0,,,,,,,10.552,325.0,325.0,5.897,75.0,75.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-05-01,0.0,0.0,0.0,,,,,,,7.383,226.0,226.0,4.126,52.0,52.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-06-01,0.0,0.0,0.0,,,,,,,11.494,354.0,354.0,6.423,81.0,81.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-07-01,0.0,0.0,0.0,,,,,,,14.069,429.0,429.0,7.862,99.0,99.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-08-01,0.0,0.0,0.0,,,,,,,9.698,296.0,296.0,5.42,70.0,70.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-09-01,0.0,0.0,0.0,,,,,,,7.346,226.0,226.0,4.105,52.0,52.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-10-01,0.0,0.0,0.0,,,,,,,2.667,81.0,81.0,1.491,17.0,17.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-11-01,0.0,0.0,0.0,,,,,,,8.532,261.0,261.0,4.768,58.0,58.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2021-12-01,0.0,0.0,0.0,,,,,,,23.957,737.0,737.0,13.387,168.0,168.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-01,0.0,0.0,0.0,,,,,,,59.959,969.0,969.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-02-01,0.0,0.0,0.0,,,,,,,79.523,1288.0,1288.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-03-01,0.0,0.0,0.0,,,,,,,55.67,899.0,899.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-04-01,0.0,0.0,0.0,,,,,,,70.741,1143.0,1143.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-05-01,0.0,0.0,0.0,,,,,,,25.549,412.0,412.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-06-01,0.0,0.0,0.0,,,,,,,58.035,940.0,940.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-07-01,0.0,0.0,0.0,,,,,,,30.739,499.0,499.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-08-01,0.0,0.0,0.0,,,,,,,36.691,592.0,592.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-09-01,0.0,0.0,0.0,,,,,,,28.717,464.0,464.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-10-01,0.0,0.0,0.0,,,,,,,104.531,1688.0,1688.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-11-01,0.0,0.0,0.0,,,,,,,49.949,806.0,806.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-12-01,0.0,0.0,0.0,,,,,,,57.896,934.0,934.0,6.0,35.0,35.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-01-01,0.0,0.0,0.0,,,,,,,5.384,99.0,99.0,0.523,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-02-01,0.0,0.0,0.0,,,,,,,4.81,87.0,87.0,0.468,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-03-01,0.0,0.0,0.0,,,,,,,2.717,52.0,52.0,0.264,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-04-01,0.0,0.0,0.0,,,,,,,3.953,75.0,75.0,0.384,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-05-01,0.0,0.0,0.0,,,,,,,7.782,145.0,145.0,0.757,17.0,17.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-06-01,0.0,0.0,0.0,,,,,,,9.362,174.0,174.0,0.91,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-07-01,0.0,0.0,0.0,,,,,,,14.311,267.0,267.0,1.391,23.0,23.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-08-01,0.0,0.0,0.0,,,,,,,5.159,93.0,93.0,0.502,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-09-01,0.0,0.0,0.0,,,,,,,3.172,58.0,58.0,0.308,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-10-01,0.0,0.0,0.0,,,,,,,6.336,116.0,116.0,0.616,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-11-01,0.0,0.0,0.0,,,,,,,4.503,81.0,81.0,0.438,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-12-01,0.0,0.0,0.0,,,,,,,4.511,81.0,81.0,0.439,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-01-01,0.0,0.0,0.0,,,,,,,5.496,162.0,162.0,0.772,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-02-01,0.0,0.0,0.0,,,,,,,4.74,133.0,133.0,0.665,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-03-01,0.0,0.0,0.0,,,,,,,3.809,104.0,104.0,0.535,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-04-01,0.0,0.0,0.0,,,,,,,4.209,116.0,116.0,0.591,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-05-01,0.0,0.0,0.0,,,,,,,5.041,139.0,139.0,0.707,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-06-01,0.0,0.0,0.0,,,,,,,5.47,151.0,151.0,0.768,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-07-01,0.0,0.0,0.0,,,,,,,4.178,116.0,116.0,0.586,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-08-01,0.0,0.0,0.0,,,,,,,3.749,104.0,104.0,0.526,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-09-01,0.0,0.0,0.0,,,,,,,5.408,151.0,151.0,0.759,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-10-01,0.0,0.0,0.0,,,,,,,4.463,128.0,128.0,0.626,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-11-01,0.0,0.0,0.0,,,,,,,6.094,168.0,168.0,0.855,12.0,12.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2024-12-01,0.0,0.0,0.0,,,,,,,4.343,122.0,122.0,0.61,6.0,6.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
