measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2016-04-01,0.0,0.0,0.0,356.097,4382.0,19034.0,41.191,507.0,2202.0,4.808,59.0,257.0,8321.718,102399.0,444801.0,3203.186,39415.0,171212.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,182.722,2200.0,8644.0,80.215,966.0,3795.0,0.0,0.0,0.0,15136.547,182254.0,716066.0,3587.516,43196.0,169715.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,307.266,3702.0,15701.0,24.173,291.0,1235.0,11.994,145.0,613.0,13747.497,165639.0,702490.0,3255.07,39219.0,166332.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,243.741,2945.0,11569.0,8.951,108.0,425.0,11.662,141.0,554.0,12682.192,153218.0,601974.0,3358.454,40575.0,159413.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,235.429,2859.0,12698.0,1.414,17.0,76.0,509.87,6192.0,27500.0,14381.794,174663.0,775688.0,1237.493,15029.0,66745.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,162.385,1956.0,8993.0,0.743,9.0,41.0,504.78,6082.0,27955.0,10135.72,122117.0,561318.0,4820.372,58076.0,266953.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,189.176,2276.0,10197.0,5.507,66.0,297.0,522.172,6282.0,28147.0,10434.003,125530.0,562430.0,4468.142,53756.0,240849.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,454.096,5456.0,24432.0,0.029,0.0,2.0,500.087,6008.0,26907.0,14723.723,176901.0,792204.0,726.065,8723.0,39066.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,441.548,5348.0,25783.0,5.773,70.0,337.0,0.0,0.0,0.0,14569.679,176453.0,850751.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,311.527,3845.0,19574.0,28.614,353.0,1798.0,113.229,1397.0,7114.0,8242.72,101734.0,517904.0,71.91,888.0,4518.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,945.875,11580.0,51781.0,27.438,336.0,1502.0,0.0,0.0,0.0,8509.212,104175.0,465825.0,316.475,3874.0,17325.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,525.222,6398.0,28715.0,110.579,1347.0,6046.0,217.973,2655.0,11917.0,11037.113,134443.0,603418.0,726.113,8845.0,39698.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,124.199,1585.0,8242.0,32.263,412.0,2141.0,152.007,1940.0,10088.0,6586.158,84049.0,437085.0,241.373,3080.0,16019.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,436.512,5286.0,21900.0,8.684,105.0,436.0,244.043,2955.0,12244.0,10120.757,122562.0,507765.0,2283.004,27647.0,114540.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,257.999,3024.0,12687.0,32.209,377.0,1584.0,387.502,4541.0,19055.0,16869.247,197702.0,829543.0,349.043,4091.0,17164.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,442.883,5308.0,19571.0,15.335,184.0,678.0,379.119,4544.0,16753.0,15576.489,186693.0,688316.0,528.174,6330.0,23340.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,211.45,2527.0,9617.0,17.37,208.0,790.0,189.824,2269.0,8633.0,16802.266,200799.0,764176.0,922.09,11020.0,41937.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,369.941,4412.0,18675.0,17.771,212.0,897.0,211.676,2524.0,10686.0,14835.888,176935.0,748943.0,653.724,7796.0,33001.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,501.039,5997.0,22751.0,10.088,121.0,458.0,153.314,1835.0,6962.0,15559.948,186243.0,706542.0,566.611,6782.0,25729.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,707.938,8431.0,31163.0,21.078,251.0,928.0,368.936,4394.0,16240.0,16859.828,200777.0,742158.0,612.22,7291.0,26949.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,695.421,8518.0,35534.0,1.08,13.0,55.0,223.209,2734.0,11405.0,10077.41,123435.0,514922.0,254.88,3122.0,13024.0,0.0,0.0,0.0
