measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2017-05-01,,,,3.516,39.0,39.0,21.807,323.0,323.0,,,,8272.147,92219.0,92219.0,3.337,37.0,37.0,,,
2017-06-01,,,,20.134,232.0,232.0,19.352,289.0,289.0,,,,25439.423,293724.0,293724.0,1988.443,22959.0,22959.0,,,
2017-07-01,,,,21.371,244.0,244.0,24.052,357.0,357.0,,,,42688.003,487000.0,487000.0,6172.626,70420.0,70420.0,,,
2017-08-01,,,,8.58,96.0,96.0,21.227,318.0,318.0,,,,20005.831,224758.0,224758.0,11.589,130.0,130.0,,,
2017-09-01,,,,4.247,45.0,45.0,24.904,369.0,369.0,,,,31814.401,339767.0,339767.0,13.352,143.0,143.0,,,
2017-10-01,,,,13.024,147.0,147.0,18.883,284.0,284.0,,,,27183.117,307693.0,307693.0,336.859,3813.0,3813.0,,,
2017-11-01,,,,6.819,74.0,74.0,38.382,573.0,573.0,,,,22476.181,242941.0,242941.0,0.0,0.0,0.0,,,
2017-12-01,,,,92.787,1066.0,1066.0,187.584,2795.0,2795.0,,,,8.517,98.0,98.0,24829.696,285250.0,285250.0,,,
2018-01-01,,,,22.856,269.0,269.0,-32.882,3203.0,3203.0,,,,20.932,246.0,246.0,68402.212,804451.0,804451.0,,,
2018-02-01,,,,-0.058,17.0,17.0,-1.266,123.0,123.0,,,,-46.942,13588.0,13588.0,0.0,0.0,0.0,,,
2018-03-01,,,,0.143,6.0,6.0,-1.405,140.0,140.0,,,,699.857,27388.0,27388.0,0.0,0.0,0.0,,,
2018-04-01,,,,-2.751,39.0,39.0,-1.077,106.0,106.0,,,,-505.249,7200.0,7200.0,0.0,0.0,0.0,,,
2018-05-01,,,,9.568,112.0,112.0,-1.194,118.0,118.0,,,,36656.432,429067.0,429067.0,0.0,0.0,0.0,,,
2018-06-01,,,,8.863,123.0,123.0,-1.028,101.0,101.0,,,,15802.137,219658.0,219658.0,0.0,0.0,0.0,,,
2018-07-01,,,,20.994,258.0,258.0,-1.417,140.0,140.0,,,,48562.139,595876.0,595876.0,3343.867,41031.0,41031.0,,,
2018-08-01,,,,9.391,106.0,106.0,-2.552,252.0,252.0,,,,85982.609,974155.0,974155.0,0.0,0.0,0.0,,,
2018-09-01,,,,6.732,78.0,78.0,-1.255,123.0,123.0,,,,48405.229,563729.0,563729.0,54.039,629.0,629.0,,,
2018-10-01,,,,5.409,62.0,62.0,-1.136,112.0,112.0,,,,73333.591,835217.0,835217.0,0.0,0.0,0.0,,,
2018-11-01,,,,0.477,90.0,90.0,-2.444,241.0,241.0,,,,67.61,12700.0,12700.0,5.913,1111.0,1111.0,,,
2018-12-01,,,,-0.989,0.0,0.0,-1.344,129.0,129.0,,,,-932.336,0.0,0.0,-184.675,0.0,0.0,,,
2019-01-01,,,,0.0,56.0,56.0,-31.156,286.0,286.0,,,,0.0,308.0,308.0,0.0,68.0,68.0,,,
2019-02-01,,,,0.0,0.0,0.0,-19.489,179.0,179.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-03-01,,,,0.0,0.0,0.0,-20.314,185.0,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-04-01,,,,2.141,34.0,34.0,-15.778,146.0,146.0,,,,2029.859,31856.0,31856.0,0.0,0.0,0.0,,,
2019-05-01,,,,-7.669,6.0,6.0,-8.068,73.0,73.0,,,,-1121.331,819.0,819.0,0.0,0.0,0.0,,,
2019-06-01,,,,6.05,84.0,84.0,-9.827,90.0,90.0,,,,19028.956,264206.0,264206.0,39.994,555.0,555.0,,,
2019-07-01,,,,35.806,571.0,571.0,-13.361,123.0,123.0,,,,99251.63,1583308.0,1583308.0,2030.564,32393.0,32393.0,,,
2019-08-01,,,,27.736,364.0,364.0,-25.483,235.0,235.0,,,,59029.264,774678.0,774678.0,0.0,0.0,0.0,,,
2019-09-01,,,,4.919,129.0,129.0,-12.275,112.0,112.0,,,,7316.081,191569.0,191569.0,0.0,0.0,0.0,,,
2019-10-01,,,,11.5,123.0,123.0,-19.309,174.0,174.0,,,,7924.5,84899.0,84899.0,0.0,0.0,0.0,,,
2019-11-01,,,,-59.422,78.0,78.0,-26.687,241.0,241.0,,,,0.0,0.0,0.0,-1075.578,1419.0,1419.0,,,
2019-12-01,,,,-1245.631,17.0,17.0,-30.253,274.0,274.0,,,,-76.369,1.0,1.0,0.0,0.0,0.0,,,
2020-01-01,,,,-0.141,50.0,50.0,8.764,213.0,213.0,,,,-62.859,22054.0,22054.0,0.0,0.0,0.0,,,
2020-02-01,,,,-0.634,0.0,0.0,9.354,230.0,230.0,,,,-1368.109,0.0,0.0,-14.257,0.0,0.0,,,
2020-03-01,,,,-0.583,0.0,0.0,7.27,179.0,179.0,,,,-1259.294,0.0,0.0,-13.123,0.0,0.0,,,
2020-04-01,,,,0.0,0.0,0.0,8.077,196.0,196.0,,,,855.0,28711.0,28711.0,0.0,0.0,0.0,,,
2020-05-01,,,,5.51,143.0,143.0,5.651,140.0,140.0,,,,0.0,0.0,0.0,1356.49,35204.0,35204.0,,,
2020-06-01,,,,6.716,77.0,77.0,5.489,134.0,134.0,,,,64290.284,737060.0,737060.0,0.0,0.0,0.0,,,
2020-07-01,,,,33.243,391.0,391.0,6.521,157.0,157.0,,,,82210.757,965713.0,965713.0,0.0,0.0,0.0,,,
2020-08-01,,,,37.049,413.0,413.0,6.153,151.0,151.0,,,,65206.951,726001.0,726001.0,0.0,0.0,0.0,,,
2020-09-01,,,,4.605,55.0,55.0,6.976,168.0,168.0,,,,11430.395,136505.0,136505.0,0.0,0.0,0.0,,,
2020-10-01,,,,0.0,0.0,0.0,10.952,269.0,269.0,,,,37844.0,450854.0,450854.0,0.0,0.0,0.0,,,
2020-11-01,,,,2.258,28.0,28.0,11.028,269.0,269.0,,,,18520.742,225578.0,225578.0,0.0,0.0,0.0,,,
2020-12-01,,,,35.857,418.0,418.0,61.765,1512.0,1512.0,,,,0.0,0.0,0.0,15572.143,181530.0,181530.0,,,
2021-01-01,,,,-327.811,50.0,50.0,5.633,627.0,627.0,,,,-107.189,16.0,16.0,0.0,0.0,0.0,,,
2021-02-01,,,,-11.911,308.0,308.0,7.665,862.0,862.0,,,,0.0,0.0,0.0,-533.089,13784.0,13784.0,,,
2021-03-01,,,,-0.546,0.0,0.0,4.413,498.0,498.0,,,,-1162.68,0.0,0.0,-73.774,0.0,0.0,,,
2021-04-01,,,,-4.337,129.0,129.0,6.193,694.0,694.0,,,,-285.84,8488.0,8488.0,-6.823,203.0,203.0,,,
2021-05-01,,,,10.075,134.0,134.0,3.273,370.0,370.0,,,,5772.925,77014.0,77014.0,0.0,0.0,0.0,,,
2021-06-01,,,,42.774,498.0,498.0,4.599,515.0,515.0,,,,50757.473,591424.0,591424.0,1412.753,16461.0,16461.0,,,
2021-07-01,,,,33.118,616.0,616.0,1.889,213.0,213.0,,,,15858.882,294973.0,294973.0,0.0,0.0,0.0,,,
2021-08-01,,,,44.693,526.0,526.0,2.856,319.0,319.0,,,,55637.325,655307.0,655307.0,3241.982,38185.0,38185.0,,,
2021-09-01,,,,3.055,39.0,39.0,7.566,851.0,851.0,,,,7608.945,97623.0,97623.0,0.0,0.0,0.0,,,
2021-10-01,,,,7.811,95.0,95.0,11.14,1254.0,1254.0,,,,18757.189,228600.0,228600.0,0.0,0.0,0.0,,,
2021-11-01,,,,-0.428,0.0,0.0,4.029,454.0,454.0,,,,-911.721,0.0,0.0,-57.851,0.0,0.0,,,
2021-12-01,,,,-0.494,0.0,0.0,3.744,420.0,420.0,,,,-1052.71,0.0,0.0,-66.796,0.0,0.0,,,
2022-01-01,50.448,4905.0,4905.0,62.869,687.0,687.0,,,,0.0,0.0,0.0,30.128,329.0,329.0,65785.003,719130.0,719130.0,,,
2022-02-01,7.238,703.0,703.0,29.917,322.0,322.0,,,,0.0,0.0,0.0,30.452,327.0,327.0,33780.631,363074.0,363074.0,,,
2022-03-01,0.977,96.0,96.0,-9.529,0.0,0.0,0.0,0.0,0.0,,,,-1148.753,0.0,0.0,-37.718,0.0,0.0,,,
2022-04-01,0.491,45.0,45.0,-8.51,0.0,0.0,0.0,0.0,0.0,,,,-1025.808,0.0,0.0,-33.682,0.0,0.0,,,
2022-05-01,0.342,34.0,34.0,1.51,27.0,27.0,,,,0.0,0.0,0.0,3164.49,56873.0,56873.0,0.0,0.0,0.0,,,
2022-06-01,2.563,249.0,249.0,-7.346,0.0,0.0,0.0,0.0,0.0,,,,-885.577,0.0,0.0,-29.077,0.0,0.0,,,
2022-07-01,1.577,153.0,153.0,8.11,164.0,164.0,,,,0.0,0.0,0.0,19959.725,403342.0,403342.0,4906.165,99143.0,99143.0,,,
2022-08-01,0.47,45.0,45.0,1.952,27.0,27.0,,,,0.0,0.0,0.0,31301.048,436284.0,436284.0,0.0,0.0,0.0,,,
2022-09-01,0.943,91.0,91.0,-7.601,0.0,0.0,0.0,0.0,0.0,,,,-916.313,0.0,0.0,-30.086,0.0,0.0,,,
2022-10-01,0.732,74.0,74.0,-8.0,0.0,0.0,0.0,0.0,0.0,,,,-964.337,0.0,0.0,-31.663,0.0,0.0,,,
2022-11-01,0.829,79.0,79.0,13.366,224.0,224.0,,,,0.0,0.0,0.0,3423.628,57350.0,57350.0,89.006,1491.0,1491.0,,,
2022-12-01,17.39,1690.0,1690.0,11.475,126.0,126.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,30700.525,336165.0,336165.0,,,
2023-01-01,-23.241,252.0,252.0,0.0,0.0,0.0,,,,,,,-1481.0,15.0,15.0,0.0,0.0,0.0,,,
2023-02-01,-28.795,308.0,308.0,14.205,162.0,162.0,,,,,,,31.712,363.0,363.0,30656.083,350490.0,350490.0,,,
2023-03-01,-14.819,157.0,157.0,-0.77,0.0,0.0,,,,,,,-429.239,0.0,0.0,-764.991,0.0,0.0,,,
2023-04-01,-15.452,168.0,168.0,2.97,39.0,39.0,,,,,,,5010.471,66142.0,66142.0,2119.559,27980.0,27980.0,,,
2023-05-01,-6.343,67.0,67.0,0.905,11.0,11.0,,,,,,,10636.095,131673.0,131673.0,0.0,0.0,0.0,,,
2023-06-01,-23.076,246.0,246.0,-0.625,0.0,0.0,,,,,,,-348.061,0.0,0.0,-620.314,0.0,0.0,,,
2023-07-01,-36.926,398.0,398.0,13.659,168.0,168.0,,,,,,,32788.383,403285.0,403285.0,25.958,319.0,319.0,,,
2023-08-01,-11.624,123.0,123.0,4.411,73.0,73.0,,,,,,,0.0,0.0,0.0,3625.589,59834.0,59834.0,,,
2023-09-01,-20.278,218.0,218.0,2.386,28.0,28.0,,,,,,,10436.614,122463.0,122463.0,0.0,0.0,0.0,,,
2023-10-01,-19.88,213.0,213.0,2.17,22.0,22.0,,,,,,,80494.83,830877.0,830877.0,0.0,0.0,0.0,,,
2023-11-01,-12.129,129.0,129.0,0.0,0.0,0.0,,,,,,,-1011.0,1065.0,1065.0,0.0,0.0,0.0,,,
2023-12-01,-15.437,168.0,168.0,-0.78,0.0,0.0,,,,,,,-434.627,0.0,0.0,-774.593,0.0,0.0,,,
2024-01-01,-16.21,756.0,756.0,-0.317,0.0,0.0,,,,,,,-1037.59,0.0,0.0,-280.093,0.0,0.0,,,
2024-02-01,-6.68,308.0,308.0,-140.948,22.0,22.0,,,,,,,0.0,0.0,0.0,-1142.052,182.0,182.0,,,
2024-03-01,-5.493,252.0,252.0,-0.274,0.0,0.0,,,,,,,-896.673,0.0,0.0,-242.053,0.0,0.0,,,
2024-04-01,-3.551,162.0,162.0,-0.229,0.0,0.0,,,,,,,-748.671,0.0,0.0,-202.1,0.0,0.0,,,
2024-05-01,-4.958,230.0,230.0,-0.216,0.0,0.0,,,,,,,-705.372,0.0,0.0,-190.412,0.0,0.0,,,
2024-06-01,-3.559,162.0,162.0,9.317,134.0,134.0,,,,,,,4246.027,61248.0,61248.0,2437.656,35163.0,35163.0,,,
2024-07-01,-3.271,151.0,151.0,11.6,151.0,151.0,,,,,,,10826.224,141112.0,141112.0,3054.176,39809.0,39809.0,,,
2024-08-01,-3.503,162.0,162.0,6.146,112.0,112.0,,,,,,,1189.921,21683.0,21683.0,2122.933,38684.0,38684.0,,,
2024-09-01,-3.962,185.0,185.0,-0.223,0.0,0.0,,,,,,,-729.777,0.0,0.0,-197.0,0.0,0.0,,,
2024-10-01,-5.874,269.0,269.0,-0.23,0.0,0.0,,,,,,,-753.395,0.0,0.0,-203.375,0.0,0.0,,,
2024-11-01,-3.222,151.0,151.0,-111.557,28.0,28.0,,,,,,,0.0,0.0,0.0,-795.443,200.0,200.0,,,
2024-12-01,-10.717,493.0,493.0,34.897,448.0,448.0,,,,,,,15.886,204.0,204.0,17447.217,223982.0,223982.0,,,
