measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2022-11-01,17307.097,75717.0,424934.0,0.0,0.0,0.0,6257.903,27378.0,153648.0
2022-12-01,17689.744,77485.0,393580.0,0.0,0.0,0.0,9263.256,40575.0,206099.0
2023-01-01,21298.863,95029.0,513666.0,0.0,0.0,0.0,8806.137,39290.0,212378.0
2023-02-01,33439.175,147455.0,784001.0,0.0,0.0,0.0,6599.825,29103.0,154737.0
2023-03-01,29829.852,131590.0,747366.0,0.0,0.0,0.0,4946.148,21819.0,123922.0
2023-04-01,37776.778,166311.0,819977.0,0.0,0.0,0.0,6578.222,28960.0,142786.0
2023-05-01,36197.599,159466.0,841998.0,0.0,0.0,0.0,7594.401,33457.0,176654.0
2023-06-01,33671.351,148251.0,742075.0,0.0,0.0,0.0,8367.649,36842.0,184413.0
2023-07-01,35106.863,154653.0,785599.0,0.0,0.0,0.0,8266.137,36414.0,184974.0
2023-08-01,36279.092,159500.0,806106.0,0.0,0.0,0.0,8230.908,36187.0,182887.0
2023-09-01,25389.79,112436.0,653757.0,0.0,0.0,0.0,4240.21,18777.0,109180.0
2023-10-01,26818.198,118276.0,659699.0,0.0,0.0,0.0,6675.802,29442.0,164218.0
2023-11-01,37714.902,165988.0,827509.0,0.0,0.0,0.0,6407.098,28198.0,140579.0
