measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2017-05-01,,,,2227.876,11472.0,103002.0,0.0,0.0,0.0,5615.453,28916.0,259621.0,2382.906,12270.0,110170.0
2017-06-01,,,,3146.095,16200.0,139523.0,0.0,0.0,0.0,6786.183,34944.0,300953.0,2455.592,12645.0,108900.0
2017-07-01,,,,2874.128,14800.0,135416.0,0.0,0.0,0.0,5031.07,25907.0,237042.0,1499.98,7724.0,70672.0
2017-08-01,,,,2890.255,14883.0,137309.0,0.0,0.0,0.0,4162.367,21434.0,197744.0,1389.375,7154.0,66006.0
2017-09-01,,,,3939.265,20285.0,178370.0,0.0,0.0,0.0,3752.955,19325.0,169934.0,1625.571,8371.0,73606.0
2017-10-01,,,,3374.592,17377.0,168847.0,0.0,0.0,0.0,1048.516,5399.0,52462.0,1078.451,5553.0,53960.0
2017-11-01,,,,2491.146,12828.0,137447.0,0.0,0.0,0.0,5188.537,26718.0,286274.0,1108.022,5706.0,61134.0
2017-12-01,,,,3678.591,18942.0,163634.0,0.0,0.0,0.0,8494.313,43740.0,377851.0,3174.611,16347.0,141216.0
2018-01-01,,,,0.0,13883.0,148136.0,0.0,0.0,0.0,0.0,26836.0,286339.0,0.0,14160.0,151088.0
2018-02-01,,,,3549.535,18278.0,144959.0,0.0,0.0,0.0,6015.09,30974.0,245650.0,2832.848,14587.0,115690.0
2018-03-01,,,,4478.498,23061.0,180430.0,0.0,0.0,0.0,6365.086,32776.0,256437.0,2737.939,14099.0,110306.0
2018-04-01,,,,3116.759,16049.0,150515.0,0.0,0.0,0.0,4375.018,22529.0,211279.0,2118.905,10911.0,102326.0
2018-05-01,,,,2164.828,11147.0,119183.0,0.0,0.0,0.0,5865.451,30203.0,322919.0,2097.045,10798.0,115452.0
2018-06-01,,,,2601.513,13396.0,113023.0,0.0,0.0,0.0,7191.078,37029.0,312417.0,2348.482,12093.0,102030.0
2018-07-01,,,,2426.579,12495.0,153821.0,0.0,0.0,0.0,4417.544,22748.0,280029.0,1243.524,6403.0,78827.0
2018-08-01,,,,2611.067,13445.0,131129.0,0.0,0.0,0.0,4615.806,23768.0,231809.0,1799.947,9269.0,90394.0
2018-09-01,,,,3442.754,17728.0,164892.0,0.0,0.0,0.0,1869.886,9629.0,89559.0,1364.326,7025.0,65345.0
2018-10-01,,,,3083.525,15878.0,179542.0,0.0,0.0,0.0,2824.953,14547.0,164487.0,1626.996,8378.0,94734.0
2018-11-01,,,,3571.886,18393.0,185609.0,0.0,0.0,0.0,4679.748,24098.0,243178.0,1434.912,7389.0,74564.0
2018-12-01,,,,5797.47,29853.0,233430.0,0.0,0.0,0.0,5627.906,28980.0,226603.0,2648.781,13640.0,106651.0
2019-01-01,,,,4044.651,20827.0,201021.0,0.0,0.0,0.0,2649.695,13644.0,131691.0,2427.544,12500.0,120650.0
2019-02-01,,,,3621.888,18650.0,173725.0,0.0,0.0,0.0,5742.182,29569.0,275426.0,2598.387,13380.0,124632.0
2019-03-01,,,,3015.993,15530.0,145014.0,0.0,0.0,0.0,6621.639,34097.0,318379.0,2693.58,13870.0,129512.0
2019-04-01,,,,2349.154,12097.0,121920.0,0.0,0.0,0.0,5972.101,30752.0,309950.0,2330.393,12000.0,120946.0
2019-05-01,,,,3235.456,16661.0,167150.0,0.0,0.0,0.0,3832.973,19737.0,198020.0,1562.747,8047.0,80735.0
2019-06-01,,,,4055.747,20884.0,157517.0,0.0,0.0,0.0,6488.121,33410.0,251985.0,2127.291,10954.0,82620.0
2019-07-01,,,,2046.502,10538.0,103899.0,0.0,0.0,0.0,6275.243,32313.0,318589.0,1552.06,7992.0,78797.0
2019-08-01,,,,2728.681,14051.0,150016.0,0.0,0.0,0.0,5560.199,28631.0,305687.0,1462.006,7528.0,80378.0
2019-09-01,,,,3278.322,16881.0,141471.0,0.0,0.0,0.0,5411.937,27868.0,233543.0,1452.43,7479.0,62677.0
2019-10-01,,,,2696.826,13887.0,142941.0,0.0,0.0,0.0,4541.877,23388.0,240736.0,1257.071,6473.0,66629.0
2019-11-01,,,,3294.034,16962.0,155963.0,0.0,0.0,0.0,6175.059,31798.0,292370.0,1796.186,9249.0,85044.0
2019-12-01,,,,4805.429,24745.0,185915.0,0.0,0.0,0.0,8115.784,41791.0,313988.0,3221.43,16588.0,124632.0
2020-01-01,,,,4456.667,22949.0,176450.0,0.0,0.0,0.0,6078.698,31301.0,240671.0,3025.992,15582.0,119806.0
2020-02-01,,,,3783.682,19484.0,167789.0,0.0,0.0,0.0,6534.442,33648.0,289773.0,2592.149,13348.0,114950.0
2020-03-01,,,,4926.269,25367.0,190290.0,0.0,0.0,0.0,6257.48,32222.0,241712.0,2888.487,14874.0,111576.0
2020-04-01,,,,4094.382,21083.0,185442.0,0.0,0.0,0.0,5846.373,30105.0,264793.0,1066.204,5490.0,48290.0
2020-05-01,,,,2770.064,14264.0,151535.0,0.0,0.0,0.0,5188.851,26719.0,283853.0,900.813,4639.0,49278.0
2020-06-01,,,,3403.803,17527.0,140666.0,0.0,0.0,0.0,6712.496,34565.0,277402.0,1344.882,6925.0,55579.0
2020-07-01,,,,2930.01,15088.0,165839.0,0.0,0.0,0.0,4913.274,25300.0,278093.0,954.024,4913.0,53998.0
2020-08-01,,,,2741.515,14117.0,165945.0,0.0,0.0,0.0,4916.586,25317.0,297604.0,1030.693,5307.0,62388.0
2020-09-01,,,,4167.514,21460.0,181102.0,0.0,0.0,0.0,4261.75,21945.0,185197.0,936.542,4823.0,40698.0
2020-10-01,,,,2352.357,12113.0,176574.0,0.0,0.0,0.0,3549.512,18278.0,266435.0,487.007,2508.0,36556.0
2020-11-01,,,,3327.377,17134.0,170004.0,0.0,0.0,0.0,5703.769,29371.0,291419.0,482.546,2485.0,24654.0
2020-12-01,,,,4465.146,22993.0,156459.0,0.0,0.0,0.0,7734.623,39828.0,271022.0,2198.009,11318.0,77018.0
2021-01-01,,,,3494.681,17995.0,171869.0,0.0,0.0,0.0,5622.928,28954.0,276536.0,2274.43,11712.0,111857.0
2021-02-01,,,,3745.154,19285.0,170549.0,0.0,0.0,0.0,5131.359,26423.0,233675.0,2487.677,12810.0,113286.0
2021-03-01,,,,4137.942,21308.0,170408.0,0.0,0.0,0.0,7528.95,38769.0,310057.0,3170.703,16327.0,130576.0
2021-04-01,,,,2797.752,14407.0,138624.0,0.0,0.0,0.0,3839.983,19773.0,190264.0,2106.757,10848.0,104386.0
2021-05-01,,,,2033.133,10469.0,114550.0,0.0,0.0,0.0,5350.207,27550.0,301440.0,1992.069,10258.0,112237.0
2021-06-01,,,,3237.597,16672.0,139012.0,0.0,0.0,0.0,4915.809,25313.0,211069.0,1996.965,10283.0,85743.0
2021-07-01,,,,2852.744,14690.0,163443.0,0.0,0.0,0.0,5318.155,27385.0,304695.0,761.812,3923.0,43647.0
2021-08-01,,,,2987.219,15382.0,177466.0,0.0,0.0,0.0,4018.774,20694.0,238749.0,836.777,4309.0,49712.0
2021-09-01,,,,2827.39,14559.0,171898.0,0.0,0.0,0.0,1936.127,9970.0,117711.0,463.396,2386.0,28173.0
2021-10-01,,,,3490.356,17973.0,175275.0,0.0,0.0,0.0,1921.143,9893.0,96474.0,921.68,4746.0,46284.0
2021-11-01,,,,2818.963,14516.0,147277.0,0.0,0.0,0.0,5229.284,26927.0,273204.0,684.721,3526.0,35773.0
2021-12-01,,,,3862.491,19889.0,144407.0,0.0,0.0,0.0,7694.568,39622.0,287677.0,3117.285,16052.0,116546.0
2022-01-01,,,,3322.327,17108.0,171510.0,0.0,0.0,0.0,6126.757,31549.0,316285.0,2668.942,13743.0,137780.0
2022-02-01,,,,3858.599,19869.0,169834.0,0.0,0.0,0.0,5880.616,30281.0,258831.0,2307.749,11883.0,101574.0
2022-03-01,,,,4736.826,24392.0,184517.0,0.0,0.0,0.0,7635.333,39317.0,297425.0,2792.899,14382.0,108794.0
2022-04-01,,,,3075.911,15839.0,154091.0,0.0,0.0,0.0,3964.323,20414.0,198597.0,2199.773,11327.0,110200.0
2022-05-01,,,,2599.811,13387.0,139962.0,0.0,0.0,0.0,3804.439,19590.0,204813.0,2132.817,10983.0,114821.0
2022-06-01,,,,2856.278,14708.0,122279.0,0.0,0.0,0.0,6297.827,32430.0,269613.0,2631.657,13551.0,112662.0
2022-07-01,,,,2780.35,14317.0,167537.0,0.0,0.0,0.0,3551.578,18288.0,214009.0,1672.173,8611.0,100761.0
2022-08-01,,,,1913.225,9852.0,136875.0,0.0,0.0,0.0,2897.442,14920.0,207287.0,1064.448,5481.0,76152.0
2022-09-01,,,,3064.863,15782.0,123281.0,0.0,0.0,0.0,5807.803,29906.0,233612.0,2413.74,12429.0,97090.0
2022-10-01,,,,939.066,4836.0,145576.0,0.0,0.0,0.0,1337.441,6887.0,207333.0,383.524,1975.0,59455.0
2022-11-01,,,,3346.194,17231.0,152205.0,0.0,0.0,0.0,5361.581,27609.0,243877.0,2160.9,11127.0,98291.0
2022-12-01,,,,4067.948,20947.0,140346.0,0.0,0.0,0.0,7604.961,39161.0,262374.0,3503.672,18042.0,120878.0
2023-01-01,,,,3179.757,16374.0,177778.0,0.0,0.0,0.0,5726.148,29486.0,320145.0,1916.676,9870.0,107160.0
2023-02-01,,,,3797.273,19554.0,171073.0,0.0,0.0,0.0,5872.166,30238.0,264550.0,2344.874,12075.0,105640.0
2023-03-01,,,,4923.208,25351.0,186389.0,0.0,0.0,0.0,7734.826,39829.0,292835.0,2900.747,14937.0,109820.0
2023-04-01,,,,2572.729,13248.0,154832.0,0.0,0.0,0.0,4706.011,24233.0,283217.0,2001.599,10307.0,120460.0
2023-05-01,,,,2216.029,11411.0,137665.0,0.0,0.0,0.0,4379.892,22554.0,272089.0,1908.496,9828.0,118560.0
2023-06-01,,,,1803.721,9288.0,122975.0,0.0,0.0,0.0,4238.662,21826.0,288985.0,1683.231,8668.0,114760.0
2023-07-01,,,,2912.354,14997.0,162120.0,0.0,0.0,0.0,3945.449,20317.0,219629.0,1941.426,9997.0,108072.0
2023-08-01,,,,2864.881,14752.0,143222.0,0.0,0.0,0.0,4537.891,23367.0,226859.0,1673.023,8615.0,83638.0
2023-09-01,,,,2693.69,13871.0,127683.0,0.0,0.0,0.0,5515.293,28400.0,261429.0,1970.197,10145.0,93389.0
2023-10-01,,,,3015.807,15529.0,141003.0,0.0,0.0,0.0,4542.694,23392.0,212392.0,1332.917,6864.0,62320.0
2023-11-01,,,,3084.68,15884.0,147882.0,0.0,0.0,0.0,5001.755,25756.0,239789.0,2091.785,10771.0,100282.0
2023-12-01,,,,3769.741,19412.0,142880.0,0.0,0.0,0.0,6939.0,35731.0,263000.0,3149.348,16217.0,119366.0
2024-01-01,,,,4251.135,21891.0,195377.0,0.0,0.0,0.0,6257.686,32223.0,287595.0,2097.997,10803.0,96421.0
2024-02-01,,,,4401.784,22666.0,191382.0,0.0,0.0,0.0,6248.85,32178.0,271690.0,1804.457,9292.0,78455.0
2024-03-01,,,,5257.448,27072.0,199139.0,0.0,0.0,0.0,5595.967,28816.0,211961.0,2039.573,10502.0,77254.0
2024-04-01,,,,4146.694,21353.0,205602.0,0.0,0.0,0.0,5072.723,26121.0,251517.0,1458.159,7509.0,72299.0
2024-05-01,,,,3040.416,15656.0,162109.0,0.0,0.0,0.0,2631.956,13553.0,140330.0,1299.406,6691.0,69282.0
2024-06-01,,,,3112.743,16029.0,167897.0,0.0,0.0,0.0,1680.626,8654.0,90651.0,797.498,4107.0,43016.0
2024-07-01,,,,4063.484,20924.0,206888.0,0.0,0.0,0.0,5147.555,26507.0,262082.0,1015.196,5228.0,51688.0
2024-08-01,,,,4163.12,21437.0,212911.0,0.0,0.0,0.0,5438.612,28005.0,278143.0,1078.725,5555.0,55168.0
2024-09-01,,,,5074.565,26131.0,191378.0,0.0,0.0,0.0,5130.67,26420.0,193494.0,1392.308,7169.0,52508.0
2024-10-01,,,,2920.338,15038.0,139610.0,0.0,0.0,0.0,4688.233,24141.0,224127.0,395.53,2037.0,18909.0
2024-11-01,,,,3428.567,17655.0,198729.0,0.0,0.0,0.0,3426.468,17644.0,198608.0,865.777,4458.0,50183.0
2024-12-01,,,,5199.638,26775.0,180296.0,0.0,0.0,0.0,7127.204,36701.0,247134.0,2379.192,12251.0,82498.0
