measured_on,Distillate Fuel Oil-Combined Cycle Single Shaft Generation,Distillate Fuel Oil-Combined Cycle Single Shaft Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Single Shaft Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2020-02-01,,,,,,,1.019,6.0,6.0,,,,,,,860.792,7409.0,7409.0
2020-03-01,,,,,,,0.092,0.0,0.0,,,,,,,835.097,7187.0,7187.0
2020-04-01,,,,,,,0.421,6.0,6.0,,,,,,,754.777,6496.0,6496.0
2020-05-01,,,,,,,2.679,23.0,23.0,,,,,,,599.02,5155.0,5155.0
2020-06-01,,,,,,,1.775,17.0,17.0,,,,,,,888.435,7647.0,7647.0
2020-07-01,,,,,,,0.742,6.0,6.0,,,,,,,1173.818,10102.0,10102.0
2020-08-01,,,,,,,3.132,29.0,29.0,,,,,,,874.967,7530.0,7530.0
2020-09-01,,,,,,,0.773,6.0,6.0,,,,,,,537.092,4623.0,4623.0
2020-10-01,,,,,,,0.951,6.0,6.0,,,,,,,750.512,6459.0,6459.0
2020-11-01,,,,,,,0.543,6.0,6.0,,,,,,,583.343,5021.0,5021.0
2020-12-01,,,,,,,1.925,17.0,17.0,,,,,,,921.312,7929.0,7929.0
2021-01-01,,,,,,,0.0,0.0,0.0,,,,,,,2997.419,25720.0,25720.0
2021-02-01,,,,,,,0.0,0.0,0.0,,,,,,,2073.162,17787.0,17787.0
2021-03-01,,,,,,,0.0,0.0,0.0,,,,,,,2034.419,17455.0,17455.0
2021-04-01,,,,,,,0.0,0.0,0.0,,,,,,,1941.478,16658.0,16658.0
2021-05-01,,,,,,,0.0,0.0,0.0,,,,,,,2534.643,21747.0,21747.0
2021-06-01,,,,,,,0.0,0.0,0.0,,,,,,,3013.459,25856.0,25856.0
2021-07-01,,,,,,,0.0,0.0,0.0,,,,,,,3839.894,32946.0,32946.0
2021-08-01,,,,,,,0.0,0.0,0.0,,,,,,,3482.839,29883.0,29883.0
2021-09-01,,,,,,,0.0,0.0,0.0,,,,,,,2282.317,19582.0,19582.0
2021-10-01,,,,,,,0.0,0.0,0.0,,,,,,,3252.975,27911.0,27911.0
2021-11-01,,,,,,,0.0,0.0,0.0,,,,,,,3311.508,28413.0,28413.0
2021-12-01,,,,,,,0.0,0.0,0.0,,,,,,,3599.887,30887.0,30887.0
2022-01-01,,,,,,,0.0,0.0,0.0,,,,,,,2979.374,25644.0,25644.0
2022-02-01,,,,,,,0.0,0.0,0.0,,,,,,,2262.612,19476.0,19476.0
2022-03-01,,,,,,,0.0,0.0,0.0,,,,,,,1567.341,13491.0,13491.0
2022-04-01,,,,,,,0.0,0.0,0.0,,,,,,,1721.044,14815.0,14815.0
2022-05-01,,,,,,,0.0,0.0,0.0,,,,,,,1608.771,13847.0,13847.0
2022-06-01,,,,,,,0.0,0.0,0.0,,,,,,,2491.748,21448.0,21448.0
2022-07-01,,,,,,,0.0,0.0,0.0,,,,,,,3438.149,29595.0,29595.0
2022-08-01,,,,,,,0.0,0.0,0.0,,,,,,,3554.179,30594.0,30594.0
2022-09-01,,,,,,,0.0,0.0,0.0,,,,,,,2860.88,24625.0,24625.0
2022-10-01,,,,,,,0.0,0.0,0.0,,,,,,,2022.793,17412.0,17412.0
2022-11-01,,,,,,,0.0,0.0,0.0,,,,,,,1195.005,10287.0,10287.0
2022-12-01,,,,,,,0.0,0.0,0.0,,,,,,,1940.104,16700.0,16700.0
2023-01-01,,,,,,,0.0,0.0,0.0,,,,,,,1923.393,16448.0,16448.0
2023-02-01,,,,,,,0.0,0.0,0.0,,,,,,,1093.107,9348.0,9348.0
2023-03-01,,,,,,,0.0,0.0,0.0,,,,,,,2714.215,23211.0,23211.0
2023-04-01,,,,,,,0.0,0.0,0.0,,,,,,,1799.343,15387.0,15387.0
2023-05-01,,,,,,,0.0,0.0,0.0,,,,,,,1552.786,13279.0,13279.0
2023-06-01,,,,,,,0.0,0.0,0.0,,,,,,,3769.933,32239.0,32239.0
2023-07-01,,,,,,,0.0,0.0,0.0,,,,,,,4087.935,34959.0,34959.0
2023-08-01,,,,,,,0.0,0.0,0.0,,,,,,,3609.191,30864.0,30864.0
2023-09-01,,,,,,,0.0,0.0,0.0,,,,,,,2560.359,21895.0,21895.0
2023-10-01,,,,,,,0.0,0.0,0.0,,,,,,,1745.417,14927.0,14927.0
2023-11-01,,,,,,,0.0,0.0,0.0,,,,,,,2523.386,21579.0,21579.0
2023-12-01,,,,,,,0.0,0.0,0.0,,,,,,,3364.935,28776.0,28776.0
2024-01-01,,,,,,,0.0,0.0,0.0,,,,,,,3211.565,27570.0,27570.0
2024-02-01,,,,,,,0.0,0.0,0.0,,,,,,,2893.792,24839.0,24839.0
2024-03-01,,,,,,,0.0,0.0,0.0,,,,,,,2955.496,25369.0,25369.0
2024-04-01,,,,,,,0.0,0.0,0.0,,,,,,,1901.522,16322.0,16322.0
2024-05-01,,,,,,,0.0,0.0,0.0,,,,,,,2240.031,19227.0,19227.0
2024-06-01,,,,,,,0.0,0.0,0.0,,,,,,,2673.226,22946.0,22946.0
2024-07-01,,,,,,,0.0,0.0,0.0,,,,,,,4480.019,38455.0,38455.0
2024-08-01,,,,,,,0.0,0.0,0.0,,,,,,,4188.112,35950.0,35950.0
2024-09-01,,,,,,,0.0,0.0,0.0,,,,,,,2700.496,23180.0,23180.0
2024-10-01,,,,,,,0.0,0.0,0.0,,,,,,,1919.134,16473.0,16473.0
2024-11-01,,,,,,,0.0,0.0,0.0,,,,,,,3103.16,26636.0,26636.0
2024-12-01,,,,,,,0.0,0.0,0.0,,,,,,,3407.447,29248.0,29248.0
