measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed,"Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2014-01-01,41169.71,531848.0,531848.0,12052.628,40687.0,40687.0,,,,,,,0.0,0.0,0.0,734.882,8092.0,34909.0,,,
2014-02-01,36109.22,492230.0,492230.0,11915.206,27817.0,27817.0,,,,,,,0.0,0.0,0.0,792.764,8729.0,34601.0,,,
2014-03-01,40483.92,524292.0,582711.0,12655.706,60820.0,60820.0,,,,,,,0.0,0.0,0.0,792.374,8725.0,40292.0,,,
2014-04-01,40370.43,466294.0,562226.0,8862.761,75806.0,75806.0,,,,,,,0.0,0.0,0.0,278.519,3067.0,20051.0,,,
2014-05-01,38606.97,466470.0,550654.0,10558.562,74884.0,74884.0,,,,,,,0.0,0.0,0.0,591.588,6514.0,35048.0,,,
2014-06-01,36596.16,493218.0,532418.0,11483.963,36185.0,36185.0,,,,,,,0.0,0.0,0.0,775.867,8543.0,38415.0,,,
2014-07-01,36860.97,491343.0,542438.0,10787.546,33308.0,33308.0,,,,,,,0.0,0.0,0.0,688.524,7581.0,36747.0,,,
2014-08-01,37237.33,488176.0,551674.0,11363.342,46959.0,46959.0,,,,,,,0.0,0.0,0.0,752.928,8290.0,39665.0,,,
2014-09-01,35789.12,458987.0,533288.0,10329.111,48814.0,48814.0,,,,,,,0.0,0.0,0.0,624.129,6872.0,35173.0,,,
2014-10-01,40945.64,530313.0,581771.0,10884.473,40380.0,40380.0,,,,,,,0.0,0.0,0.0,551.827,6076.0,31542.0,,,
2014-11-01,61228.34,782856.0,782856.0,17679.381,43587.0,43587.0,,,,,,,0.0,0.0,0.0,738.009,8126.0,34499.0,,,
2014-12-01,61659.99,794815.0,794815.0,17971.238,38210.0,38210.0,,,,,,,0.0,0.0,0.0,499.502,5500.0,23154.0,,,
2015-01-01,64440.98,819658.0,819658.0,17552.611,22627.0,22627.0,,,,,,,0.0,0.0,0.0,744.499,8198.0,35726.0,,,
2015-02-01,37054.97,450145.0,450145.0,16699.554,110662.0,110662.0,,,,,,,0.0,0.0,0.0,552.866,6088.0,18566.0,,,
2015-03-01,44150.52,567786.0,567786.0,17304.578,98836.0,98836.0,,,,,,,0.0,0.0,0.0,154.452,1701.0,5950.0,,,
