measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-03-01,,,,,,,1.0490000000000002,7.0,12.0,336.14,1988.0,1988.0,298.713,1825.0,9343.0,,,,,,,15992.551,105572.0,176682.0,6717.2970000000005,41047.0,210104.0
2009-04-01,,,,,,,990.0690000000001,6536.0,10954.0,2519.58,14902.0,14902.0,0.0,0.0,0.0,,,,,,,12604.491,83206.0,139460.0,4931.48,30135.0,156532.0
2009-05-01,,,,,,,3.681,24.0,41.0,2486.26,14704.0,14704.0,115.24600000000001,704.0,2782.0,,,,,,,8604.639000000001,56802.0,94851.0,8194.744,50075.0,197825.0
2009-06-01,,,,,,,1.0530000000000002,7.0,12.0,235.2,1391.0,1391.0,0.0,0.0,0.0,,,,,,,14604.867,96411.0,160702.0,6000.42,36666.0,131581.0
2009-07-01,,,,,,,12.389000000000001,82.0,139.0,268.52,1588.0,1588.0,0.0,0.0,0.0,,,,,,,14969.851,98820.0,168078.0,6295.3,38468.0,127832.0
2009-08-01,,,,,,,0.0,0.0,0.0,1813.98,10728.0,10728.0,0.0,0.0,0.0,,,,,,,14041.44,92692.0,163639.0,7048.99,43074.0,112135.0
2009-09-01,,,,,,,111.726,738.0,1339.0,1075.06,6358.0,6358.0,0.0,0.0,0.0,,,,,,,11366.034,75031.0,136206.0,6892.82,42120.0,114071.0
2009-10-01,,,,,,,11.946,79.0,136.0,1512.14,9567.0,9567.0,0.0,0.0,0.0,,,,,,,11912.694,78639.0,136015.0,6536.83,39944.0,156804.0
2009-11-01,,,,,,,0.0,0.0,0.0,604.66,3764.0,3764.0,0.0,0.0,0.0,,,,,,,12865.44,84929.0,143082.0,6586.3,40247.0,189080.0
2009-12-01,,,,,,,3.975,26.0,43.0,235.2,1472.0,1472.0,0.0,0.0,0.0,,,,,,,15660.345000000001,103379.0,169120.0,7224.56,44147.0,262158.0
2010-01-01,,,,,,,37.572,248.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14239.068,93996.0,157430.0,7437.96,45451.0,288831.0
2010-02-01,,,,,,,28.490000000000002,188.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13401.43,88467.0,145822.0,6562.05,40098.0,236004.0
2010-03-01,,,,,,,522.998,3452.0,5759.0,402.78000000000003,2515.0,2515.0,119.60600000000001,731.0,3776.0,,,,,,,13377.322,88308.0,147302.0,6782.914000000001,41448.0,214140.0
2010-04-01,,,,,,,2.1,14.0,23.0,1108.38,6413.0,6413.0,0.0,0.0,0.0,,,,,,,15427.02,101838.0,166593.0,4408.650000000001,26940.0,147962.0
2010-05-01,,,,,,,70.35300000000001,464.0,703.0,3292.8,19051.0,19051.0,0.0,0.0,0.0,,,,,,,8890.767,58691.0,88851.0,8659.19,52913.0,232326.0
2010-06-01,,,,,,,10.84,72.0,119.0,1848.28,10694.0,10694.0,77.378,473.0,1746.0,,,,,,,13113.32,86565.0,144037.0,6991.982,42725.0,157804.0
2010-07-01,,,,,,,40.586,268.0,441.0,571.34,3294.0,3294.0,0.0,0.0,0.0,,,,,,,15788.374,104224.0,171435.0,6499.0,39713.0,147558.0
2010-08-01,,,,,,,101.319,669.0,1072.0,402.78000000000003,2330.0,2330.0,0.0,0.0,0.0,,,,,,,15657.081,103357.0,165602.0,5939.31,36293.0,134182.0
2010-09-01,,,,,,,556.1080000000001,3671.0,5959.0,268.52,1554.0,1554.0,0.0,0.0,0.0,,,,,,,14402.612000000001,95076.0,154336.0,5727.85,35001.0,141461.0
2010-10-01,,,,,,,1056.855,6977.0,11147.0,167.58,970.0,970.0,0.0,0.0,0.0,,,,,,,12067.305,79660.0,127280.0,6238.07,38119.0,173304.0
2010-11-01,,,,,,,157.716,1041.0,1718.0,67.62,391.0,391.0,0.0,0.0,0.0,,,,,,,14424.684000000001,95222.0,157129.0,6553.32,40045.0,199626.0
2010-12-01,,,,,,,0.523,3.0,6.0,67.62,391.0,391.0,55.445,339.0,2138.0,,,,,,,14652.437,96725.0,158805.0,7259.325000000001,44359.0,279870.0
2011-01-01,,,,,,,73.583,486.0,794.0,100.94,584.0,584.0,331.689,2027.0,13801.0,,,,,,,15684.817,103540.0,169205.0,7075.231,43234.0,294383.0
2011-02-01,,,,,,,293.781,1939.0,3073.0,1176.0,6804.0,6804.0,0.0,0.0,0.0,,,,,,,13018.539,85939.0,136182.0,6953.93,42493.0,273457.0
2011-03-01,,,,,,,40.101,265.0,425.0,201.88,1168.0,1168.0,58.061,355.0,2330.0,,,,,,,15977.019,105469.0,169428.0,5720.229,34954.0,229589.0
2011-04-01,,,,,,,0.0,0.0,0.0,437.08,2529.0,2529.0,0.0,0.0,0.0,,,,,,,14417.76,95176.0,151588.0,4816.05,29429.0,172000.0
2011-05-01,,,,,,,0.999,7.0,11.0,503.72,2914.0,2914.0,0.0,0.0,0.0,,,,,,,10771.161,71104.0,122294.0,7085.85,43299.0,200304.0
2011-06-01,,,,,,,68.096,450.0,737.0,100.94,584.0,584.0,0.0,0.0,0.0,,,,,,,15008.224,99074.0,162454.0,4592.95,28066.0,114073.0
2011-07-01,,,,,,,0.0,0.0,0.0,503.72,2914.0,2914.0,0.0,0.0,0.0,,,,,,,15876.0,104802.0,170459.0,5376.71,32855.0,124630.0
2011-08-01,,,,,,,414.12,2734.0,4394.0,437.08,2529.0,2529.0,0.0,0.0,0.0,,,,,,,15814.68,104397.0,167810.0,4932.45,30140.0,113651.0
2011-09-01,,,,,,,20.314,134.0,221.0,1142.68,6611.0,6611.0,0.0,0.0,0.0,,,,,,,15220.646,100476.0,165683.0,5587.2,34141.0,139932.0
2011-10-01,,,,,,,1.067,7.0,11.0,2049.18,11856.0,11856.0,0.0,0.0,0.0,,,,,,,13499.413,89114.0,143531.0,5771.5,35268.0,165592.0
2011-11-01,,,,,,,95.532,631.0,1021.0,517.44,6027.0,6027.0,0.0,0.0,0.0,,,,,,,15263.028,100756.0,163060.0,5337.91,32618.0,162305.0
2011-12-01,,,,,,,101.859,672.0,1111.0,470.4,5052.0,5052.0,0.0,0.0,0.0,,,,,,,14104.221,93106.0,153882.0,7094.58,43352.0,238671.0
2012-01-01,,,,,,,75.316,497.0,816.0,211.68,2138.0,2138.0,0.0,0.0,0.0,,,,,,,14507.084,95766.0,157267.0,7224.56,44147.0,266354.0
