measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2010-06-01,3509.5910000000003,64707.0,64707.0,887.79,12403.0,12403.0
2010-07-01,3667.5480000000002,67619.0,67619.0,927.7470000000001,12961.0,12961.0
2010-08-01,3689.5730000000003,68025.0,68025.0,933.3190000000001,13038.0,13038.0
2010-09-01,3480.041,64162.0,64162.0,880.315,12298.0,12298.0
2010-10-01,3322.9460000000004,61265.0,61265.0,840.576,11743.0,11743.0
2010-11-01,3513.34,64776.0,64776.0,888.739,12416.0,12416.0
2010-12-01,3263.2180000000003,60164.0,60164.0,825.4680000000001,11532.0,11532.0
2011-01-01,3315.053,60161.0,60161.0,1138.602,16015.0,16015.0
2011-02-01,3302.575,59935.0,59935.0,1134.317,15955.0,15955.0
2011-03-01,3503.172,63576.0,63576.0,1203.215,16924.0,16924.0
2011-04-01,3322.957,60305.0,60305.0,1141.317,16053.0,16053.0
2011-05-01,3499.829,63515.0,63515.0,1202.067,16908.0,16908.0
2011-06-01,3398.784,61681.0,61681.0,1167.361,16419.0,16419.0
2011-07-01,3588.791,65129.0,65129.0,1232.622,17338.0,17338.0
2011-08-01,3662.979,66476.0,66476.0,1258.103,17696.0,17696.0
2011-09-01,3495.06,63429.0,63429.0,1200.429,16885.0,16885.0
2011-10-01,3329.93,60432.0,60432.0,1143.712,16087.0,16087.0
2011-11-01,3293.239,59765.0,59765.0,1131.11,15910.0,15910.0
2011-12-01,3316.631,60190.0,60190.0,1139.145,16023.0,16023.0
2012-01-01,3499.815,63132.0,63132.0,1175.157,16724.0,16724.0
2012-02-01,3445.833,62158.0,62158.0,1157.03,16467.0,16467.0
2012-03-01,3304.411,59607.0,59607.0,1109.544,15791.0,15791.0
2012-04-01,3104.559,56002.0,56002.0,1042.438,14836.0,14836.0
2012-05-01,3219.946,58084.0,58084.0,1081.183,15388.0,15388.0
2012-06-01,2793.972,50399.0,50399.0,938.15,13352.0,13352.0
2012-07-01,3009.912,54295.0,54295.0,1010.658,14384.0,14384.0
2012-08-01,3480.556,62785.0,62785.0,1168.689,16633.0,16633.0
2012-09-01,3424.555,61775.0,61775.0,1149.885,16365.0,16365.0
2012-10-01,3437.36,62005.0,62005.0,1154.185,16426.0,16426.0
2012-11-01,3759.06,67809.0,67809.0,1262.204,17964.0,17964.0
2012-12-01,3767.021,67952.0,67952.0,1264.877,18002.0,18002.0
2013-01-01,3455.589,62427.0,62427.0,897.123,12530.0,12530.0
