measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2021-04-01,,,,4.267,46.0,46.0,,,,45114.0,564421.0,564421.0,0.0,0.0,0.0
2021-05-01,,,,2.986,35.0,35.0,,,,11960.0,160900.0,160900.0,0.0,0.0,0.0
2021-06-01,,,,4.648,52.0,52.0,,,,28637.0,364523.0,364523.0,0.0,0.0,0.0
2021-07-01,,,,5.69,63.0,63.0,,,,34296.0,432919.0,432919.0,0.0,0.0,0.0
2021-08-01,,,,3.922,40.0,40.0,,,,36067.0,453314.0,453314.0,0.0,0.0,0.0
2021-09-01,,,,2.971,35.0,35.0,,,,15652.0,196706.0,196706.0,0.0,0.0,0.0
2021-10-01,,,,1.079,12.0,12.0,,,,45397.0,577350.0,577350.0,0.0,0.0,0.0
2021-11-01,,,,3.451,40.0,40.0,,,,48100.0,594554.0,594554.0,0.0,0.0,0.0
2021-12-01,,,,9.688,104.0,104.0,,,,8295.0,108425.0,108425.0,0.0,0.0,0.0
2022-01-01,,,,4.92,40.0,40.0,,,,53642.0,661925.0,661925.0,0.0,0.0,0.0
2022-02-01,,,,6.526,69.0,69.0,,,,11205.0,150277.0,150277.0,0.0,0.0,0.0
2022-03-01,,,,4.569,46.0,46.0,,,,7931.0,120076.0,120076.0,0.0,0.0,0.0
2022-04-01,,,,5.805,63.0,63.0,,,,23145.0,297563.0,297563.0,0.0,0.0,0.0
2022-05-01,,,,2.097,23.0,23.0,,,,14779.0,203407.0,203407.0,0.0,0.0,0.0
2022-06-01,,,,4.763,52.0,52.0,,,,45082.0,570902.0,570902.0,0.0,0.0,0.0
2022-07-01,,,,2.523,29.0,29.0,,,,107695.0,1256666.0,1256666.0,0.0,0.0,0.0
2022-08-01,,,,3.011,35.0,35.0,,,,66489.0,807864.0,807864.0,0.0,0.0,0.0
2022-09-01,,,,2.357,23.0,23.0,,,,57206.0,700522.0,700522.0,0.0,0.0,0.0
2022-10-01,,,,8.579,92.0,92.0,,,,37102.0,475446.0,475446.0,0.0,0.0,0.0
2022-11-01,,,,4.099,46.0,46.0,,,,39276.0,485057.0,485057.0,0.0,0.0,0.0
2022-12-01,,,,4.751,52.0,52.0,,,,30550.0,375913.0,375913.0,0.0,0.0,0.0
2023-01-01,,,,0.0,0.0,0.0,,,,23080.0,297746.0,297746.0,0.0,0.0,0.0
2023-02-01,,,,0.0,0.0,0.0,,,,17043.0,224357.0,224357.0,0.0,0.0,0.0
2023-03-01,,,,0.0,0.0,0.0,,,,22561.0,313191.0,313191.0,0.0,0.0,0.0
2023-04-01,,,,0.0,0.0,0.0,,,,91921.0,1066263.0,1066263.0,0.0,0.0,0.0
2023-05-01,,,,0.0,0.0,0.0,,,,33375.0,407293.0,407293.0,0.0,0.0,0.0
2023-06-01,,,,0.0,0.0,0.0,,,,101532.0,1173587.0,1173587.0,0.0,0.0,0.0
2023-07-01,,,,0.0,0.0,0.0,,,,124784.0,1442117.0,1442117.0,0.0,0.0,0.0
2023-08-01,,,,0.0,0.0,0.0,,,,164106.0,1871059.0,1871059.0,0.0,0.0,0.0
2023-09-01,,,,0.0,0.0,0.0,,,,110260.0,1280817.0,1280817.0,0.0,0.0,0.0
2023-10-01,,,,0.0,0.0,0.0,,,,139251.0,1602593.0,1602593.0,0.0,0.0,0.0
2023-11-01,,,,0.0,0.0,0.0,,,,29318.0,377000.0,377000.0,0.0,0.0,0.0
2023-12-01,,,,4.0,35.0,35.0,,,,40910.0,492844.0,492844.0,0.0,0.0,0.0
2024-01-01,,,,0.0,0.0,0.0,,,,54979.0,667057.0,667057.0,0.0,0.0,0.0
2024-02-01,,,,0.0,0.0,0.0,,,,22260.0,312331.0,312331.0,0.0,0.0,0.0
2024-03-01,,,,0.0,0.0,0.0,,,,16196.0,205862.0,205862.0,0.0,0.0,0.0
2024-04-01,,,,0.0,0.0,0.0,,,,27100.0,348839.0,348839.0,0.0,0.0,0.0
2024-05-01,,,,0.0,0.0,0.0,,,,8152.0,105357.0,105357.0,0.0,0.0,0.0
2024-06-01,,,,0.0,0.0,0.0,,,,75276.0,855086.0,855086.0,0.0,0.0,0.0
2024-07-01,,,,0.0,0.0,0.0,,,,109077.0,1229901.0,1229901.0,0.0,0.0,0.0
2024-08-01,,,,0.0,0.0,0.0,,,,60163.0,683795.0,683795.0,0.0,0.0,0.0
2024-09-01,,,,0.0,0.0,0.0,,,,70958.0,847571.0,847571.0,0.0,0.0,0.0
2024-10-01,,,,0.0,0.0,0.0,,,,132636.0,1492325.0,1492325.0,0.0,0.0,0.0
2024-11-01,,,,0.0,0.0,0.0,,,,87540.0,976186.0,976186.0,0.0,0.0,0.0
2024-12-01,,,,4.0,40.0,40.0,,,,31553.0,365032.0,365032.0,0.0,0.0,0.0
