measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-12-01,13736.299,75644.0,489591.0,13043.701,71830.0,464905.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,14353.179,79056.0,543394.0,12368.821,68126.0,468268.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,15567.132,85595.0,597656.0,10803.868,59405.0,414784.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,14521.82,80614.0,620094.0,10115.18,56152.0,431927.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,18646.744,102539.0,609435.0,7736.256,42542.0,252845.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,15305.438,84898.0,610161.0,9513.562,52771.0,379264.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,5973.924,35801.0,265271.0,7043.076,42208.0,312747.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,13651.091,75545.0,564070.0,9593.909,53093.0,396425.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,15255.696,83367.0,566309.0,11818.304,64583.0,438709.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,16903.873,91964.0,614985.0,10928.127,59454.0,397579.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,12231.096,68959.0,679013.0,6411.904,36150.0,355959.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,10802.561,61838.0,634851.0,5570.439,31887.0,327367.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,16884.403,92007.0,664233.0,13112.597,71453.0,515850.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,20241.931,108708.0,694710.0,15385.069,82625.0,528021.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,16440.648,88699.0,573159.0,11966.352,64560.0,417175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,20604.117,110500.0,707459.0,15152.883,81265.0,520286.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,20239.4,108401.0,679104.0,14944.6,80042.0,501445.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,20976.23,112471.0,690539.0,14682.77,78726.0,483358.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,11275.054,62059.0,408461.0,11243.946,61887.0,407334.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,17813.283,96583.0,659656.0,12207.717,66190.0,452072.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,13223.455,72913.0,538423.0,11244.545,62001.0,457847.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,17176.924,92869.0,628145.0,12491.076,67535.0,456788.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,14808.034,80471.0,538445.0,13058.966,70966.0,474846.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,16365.665,87382.0,584165.0,13689.335,73092.0,488634.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,8667.666,47229.0,326078.0,14683.334,80008.0,552388.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,17093.183,92889.0,632536.0,14413.817,78328.0,533386.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,14681.665,80166.0,547352.0,12103.335,66088.0,451229.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,14285.603,78519.0,550377.0,13144.397,72246.0,506410.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,8371.05,46333.0,311328.0,8011.95,44346.0,297973.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,9400.693,51859.0,336819.0,9739.307,53727.0,348951.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,17364.598,94452.0,593615.0,12536.402,68190.0,428561.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,15652.501,86127.0,591474.0,11474.499,63138.0,433596.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,13695.924,75962.0,533116.0,11456.076,63539.0,445930.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,14156.397,78645.0,534704.0,8646.603,48036.0,326592.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,12007.75,66616.0,475938.0,12573.25,69753.0,498352.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,11763.955,65977.0,511685.0,10219.045,57312.0,444488.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,12340.291,69333.0,579825.0,9893.709,55587.0,464869.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,13039.582,71307.0,522280.0,11256.418,61556.0,450858.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,12599.598,69363.0,463205.0,12810.402,70524.0,470955.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,17681.913,95387.0,617643.0,13813.087,74516.0,482502.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,13040.775,71337.0,457467.0,13841.225,75715.0,485547.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,18631.098,99967.0,643192.0,12226.902,65605.0,422103.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,9848.885,55376.0,398999.0,10148.115,57059.0,411121.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,15632.795,85407.0,564036.0,11941.205,65238.0,430842.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,17025.298,92431.0,619998.0,11245.702,61054.0,409527.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,15545.621,84406.0,548496.0,11848.379,64332.0,418046.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,12358.868,68221.0,462881.0,10274.132,56713.0,384801.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,12875.103,70917.0,511618.0,11055.897,60897.0,439328.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,18130.727,97929.0,644549.0,13470.273,72756.0,478870.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,17107.512,92042.0,599755.0,14015.488,75407.0,491355.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,16281.507,88488.0,574217.0,12665.493,68835.0,446688.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,19828.006,106564.0,711262.0,12475.994,67051.0,447534.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,18718.863,101297.0,649147.0,11871.137,64240.0,411676.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,18685.461,100377.0,669175.0,11961.539,64257.0,428374.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,17930.937,97376.0,648785.0,11594.063,62963.0,419502.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,17914.841,97258.0,636732.0,11600.159,62976.0,412295.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,18411.006,99066.0,661176.0,12566.994,67620.0,451306.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,13351.829,72660.0,472236.0,12796.171,69636.0,452583.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,15970.963,85954.0,581328.0,11978.037,64465.0,435989.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,17748.104,95616.0,647062.0,11890.896,64061.0,433520.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,16118.787,87547.0,623757.0,13207.213,71733.0,511087.0,0.0,0.0,0.0,0.0,0.0,0.0
