measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,55.0,5536.0,5536.0,,,,,,,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,61.0,5400.0,5400.0,,,,,,,,,
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,580.0,16681.0,16681.0,,,,,,,,,
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,12811.0,183679.0,183679.0,,,,,,,,,
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,11990.0,193908.0,193908.0,,,,,,,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10040.0,157412.0,157412.0,,,,,,,,,
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5874.0,106214.0,106214.0,,,,,,,,,
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,824.0,20859.0,20859.0,,,,,,,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,208.0,11340.0,11340.0,,,,,,,,,
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,,,,,,,,,
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-281.0,35.0,35.0,,,,,,,,,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-271.0,0.0,0.0,,,,,,,,,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,101.0,7771.0,7771.0,,,,,,,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,6396.0,6396.0,,,,,,,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2793.0,53955.0,53955.0,,,,,,,,,
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,17961.0,253378.0,253378.0,,,,,,,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5215.0,88701.0,88701.0,,,,,,,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-241.0,0.0,0.0,,,,,,,,,
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2557.0,39673.0,39673.0,,,,,,,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-218.0,0.0,0.0,,,,,,,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-223.0,4.0,4.0,,,,,,,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-239.0,0.0,0.0,,,,,,,,,
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,5468.0,76791.0,76791.0,,,,,,,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-221.0,0.0,0.0,,,,,,,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-210.0,0.0,0.0,,,,,,,,,
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-237.0,0.0,0.0,,,,,,,,,
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,340.0,16256.0,16256.0,,,,,,,,,
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,535.0,20160.0,20160.0,,,,,,,,,
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,685.0,22797.0,22797.0,,,,,,,,,
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-271.0,0.0,0.0,,,,,,,,,
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-262.0,4028.0,4028.0,,,,,,,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,2951.0,2951.0,,,,,,,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-238.0,0.0,0.0,,,,,,,,,
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-179.0,2214.0,2214.0,,,,,,,,,
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,66.0,5618.0,5618.0,,,,,,,,,
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-213.0,271.0,271.0,,,,,,,,,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,20041.0,20041.0,,,,,,,,,
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3259.0,50652.0,50652.0,,,,,,,,,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1742.0,33552.0,33552.0,,,,,,,,,
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,7632.0,116608.0,116608.0,,,,,,,,,
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4678.0,74059.0,74059.0,,,,,,,,,
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,658.0,15173.0,15173.0,,,,,,,,,
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,3786.0,3786.0,,,,,,,,,
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,573.0,11715.0,11715.0,,,,,,,,,
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2384.0,47754.0,47754.0,,,,,,,,,
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,4110.0,4110.0,,,,,,,,,
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-191.0,0.0,0.0,,,,,,,,,
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-205.0,0.0,0.0,,,,,,,,,
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2560.0,40689.0,40689.0,,,,,,,,,
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1179.0,26026.0,26026.0,,,,,,,,,
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,730.0,17749.0,17749.0,,,,,,,,,
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,47024.0,47024.0,,,,,,,,,
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2478.0,45341.0,45341.0,,,,,,,,,
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,113.0,6171.0,6171.0,,,,,,,,,
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,357.0,10355.0,10355.0,,,,,,,,,
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,3291.0,3291.0,,,,,,,,,
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,6724.0,6724.0,,,,,,,,,
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2830.0,40810.0,40810.0,,,,,,,,,
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,980.0,16868.0,16868.0,,,,,,,,,
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,161.0,6244.0,6244.0,,,,,,,,,
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,682.0,19459.0,19459.0,,,,,,,,,
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3126.0,55507.0,55507.0,,,,,,,,,
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,788.0,24651.0,24651.0,,,,,,,,,
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5746.0,91314.0,91314.0,,,,,,,,,
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,10684.0,141862.0,141862.0,,,,,,,,,
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,20230.0,248818.0,248818.0,,,,,,,,,
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2084.0,44269.0,44269.0,,,,,,,,,
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,811.0,811.0,,,,,,,,,
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,27686.0,27686.0,,,,,,,,,
