measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2015-07-01,0.0,0.0,0.0,,,,36.368,977.0,977.0,,,,,,,590.98,15869.0,15869.0,4221.0,47027.0,47027.0
2015-08-01,0.0,0.0,0.0,,,,23.975,646.0,646.0,,,,,,,544.474,14620.0,14620.0,693.0,5798.0,5798.0
2015-09-01,0.0,0.0,0.0,,,,20.76,558.0,558.0,,,,,,,462.747,12426.0,12426.0,951.0,13068.0,13068.0
2015-10-01,0.0,0.0,0.0,,,,5.035,134.0,134.0,,,,,,,385.167,10343.0,10343.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,24.363,652.0,652.0,,,,,,,449.011,12057.0,12057.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,,,,14.538,390.0,390.0,,,,,,,459.721,12345.0,12345.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,,,,178.268,1839.0,1839.0,,,,,,,251.765,2594.0,2594.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,,,,54.82,563.0,563.0,,,,,,,239.384,2465.0,2465.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,,,,16.924,174.0,174.0,,,,,,,213.841,2202.0,2202.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,,,,37.263,383.0,383.0,,,,,,,179.816,1852.0,1852.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,,,,25.615,261.0,261.0,,,,,,,253.692,2612.0,2612.0,52.0,1285.0,1285.0
2016-06-01,0.0,0.0,0.0,,,,53.645,551.0,551.0,,,,,,,278.627,2869.0,2869.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,,,,66.401,684.0,684.0,,,,,,,294.55,3033.0,3033.0,2823.0,39187.0,39187.0
2016-08-01,0.0,0.0,0.0,,,,53.452,551.0,551.0,,,,,,,295.412,3042.0,3042.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,,,,80.923,835.0,835.0,,,,,,,274.671,2828.0,2828.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,,,,93.504,963.0,963.0,,,,,,,207.668,2139.0,2139.0,876.0,9899.0,9899.0
2016-11-01,0.0,0.0,0.0,,,,11.243,116.0,116.0,,,,,,,167.999,1730.0,1730.0,431.0,5110.0,5110.0
2016-12-01,0.0,0.0,0.0,,,,79.853,824.0,824.0,,,,,,,217.664,2241.0,2241.0,823.0,11171.0,11171.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28.66,302.0,302.0,,,,233.106,3883.0,3883.0,152.123,1602.0,1602.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,17.596,186.0,186.0,,,,185.205,3086.0,3086.0,120.863,1273.0,1273.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,18.475,197.0,197.0,,,,282.421,4705.0,4705.0,184.305,1941.0,1941.0,122.0,1480.0,1480.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,19.187,203.0,203.0,,,,230.992,3848.0,3848.0,150.743,1587.0,1587.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,24.466,255.0,255.0,,,,273.366,4554.0,4554.0,178.395,1878.0,1878.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,20.024,209.0,209.0,,,,259.645,4326.0,4326.0,169.441,1784.0,1784.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,22.692,238.0,238.0,,,,333.145,5550.0,5550.0,217.407,2289.0,2289.0,565.0,8760.0,8760.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,22.787,238.0,238.0,,,,304.551,5074.0,5074.0,198.747,2093.0,2093.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,17.975,191.0,191.0,,,,231.754,3861.0,3861.0,151.24,1592.0,1592.0,3087.0,51107.0,51107.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,18.232,191.0,191.0,,,,215.828,3596.0,3596.0,140.847,1483.0,1483.0,502.0,7178.0,7178.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,23.042,244.0,244.0,,,,232.581,3875.0,3875.0,151.78,1598.0,1598.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,30.72,325.0,325.0,,,,285.406,4755.0,4755.0,186.253,1961.0,1961.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,52.12,458.0,458.0,,,,332.401,7473.0,7473.0,140.413,1243.0,1243.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,31.832,284.0,284.0,,,,250.344,5628.0,5628.0,105.752,936.0,936.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,45.042,400.0,400.0,,,,251.846,5662.0,5662.0,106.386,942.0,942.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,30.214,267.0,267.0,,,,268.13,6028.0,6028.0,113.265,1003.0,1003.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,42.256,377.0,377.0,,,,283.36,6371.0,6371.0,119.698,1060.0,1060.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,37.622,331.0,331.0,,,,277.919,6248.0,6248.0,117.4,1040.0,1040.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
