measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2016-09-01,1315.019,6422.0,82836.0,14216.683,69433.0,895541.0,2761.875,13489.0,173977.0,,,,219.487,1072.0,13826.0,3847.378,18790.0,242355.0
2016-10-01,1242.834,6070.0,77085.0,13783.591,67318.0,854907.0,2803.405,13692.0,173877.0,,,,389.152,1901.0,24137.0,4207.595,20550.0,260970.0
2016-11-01,1035.869,5059.0,64125.0,14332.772,70000.0,887264.0,2504.327,12231.0,155029.0,,,,243.174,1188.0,15054.0,4591.746,22426.0,284250.0
2016-12-01,1438.932,7028.0,90207.0,12718.177,62115.0,797306.0,3300.461,16119.0,206907.0,,,,380.86,1860.0,23876.0,4156.867,20302.0,260595.0
2017-01-01,1392.522,6801.0,91908.0,13085.962,63911.0,863688.0,3042.647,14860.0,200818.0,,,,567.572,2772.0,37460.0,3705.392,18097.0,244560.0
2017-02-01,1672.106,8166.0,111375.0,12559.041,61337.0,836528.0,2781.529,13585.0,185271.0,,,,323.461,1580.0,21545.0,3346.689,16345.0,222915.0
2017-03-01,78.362,383.0,15066.0,3312.074,16176.0,636787.0,829.818,4053.0,159543.0,,,,414.188,2023.0,79633.0,414.239,2023.0,79643.0
2017-04-01,1076.283,5256.0,70929.0,12632.876,61698.0,832530.0,3708.53,18112.0,244399.0,,,,397.861,1943.0,26220.0,3479.266,16992.0,229290.0
2017-05-01,846.544,4134.0,55998.0,13063.652,63802.0,864147.0,3583.561,17502.0,237049.0,,,,554.962,2710.0,36710.0,3859.017,18847.0,255270.0
2017-06-01,1191.243,5818.0,74250.0,13941.717,68090.0,868986.0,3645.962,17807.0,227252.0,,,,309.354,1511.0,19282.0,3440.766,16804.0,214463.0
2017-07-01,1166.071,5695.0,72792.0,14594.529,71279.0,911064.0,3687.287,18008.0,230179.0,,,,258.13,1261.0,16114.0,3422.905,16717.0,213675.0
2017-08-01,970.987,4742.0,58644.0,15350.327,74970.0,927102.0,3276.936,16004.0,197915.0,,,,182.213,890.0,11005.0,3683.796,17991.0,222488.0
2017-09-01,1209.641,5908.0,73980.0,14437.989,70514.0,883008.0,3611.792,17640.0,220892.0,,,,104.113,508.0,6367.0,3048.138,14887.0,186420.0
2017-10-01,1135.94,5548.0,70740.0,14231.462,69505.0,886256.0,3609.94,17631.0,224807.0,,,,349.553,1707.0,21768.0,3455.512,16876.0,215190.0
2017-11-01,1591.237,7771.0,96336.0,13648.142,66657.0,826280.0,4402.948,21504.0,266561.0,,,,133.746,653.0,8097.0,2969.075,14501.0,179753.0
2017-12-01,1525.023,7448.0,97065.0,13093.541,63948.0,833381.0,4270.395,20856.0,271803.0,,,,201.932,986.0,12853.0,3081.389,15049.0,196125.0
2018-01-01,1320.566,6450.0,81000.0,13816.258,67478.0,847453.0,4176.346,20397.0,256166.0,,,,312.54,1526.0,19170.0,3484.582,17018.0,213735.0
2018-02-01,9843.497,48075.0,975213.0,8144.751,39778.0,806915.0,1800.266,8792.0,178356.0,,,,556.031,2716.0,55087.0,128.695,629.0,12750.0
2018-03-01,596.372,2913.0,36261.0,14073.249,68733.0,855691.0,3761.701,18372.0,228722.0,,,,136.843,668.0,8320.0,1309.852,6397.0,79643.0
2018-04-01,439.782,2148.0,29997.0,12453.538,60822.0,849442.0,3455.338,16876.0,235685.0,,,,164.979,806.0,11253.0,3361.587,16418.0,229290.0
2018-05-01,109.191,533.0,8397.0,10284.488,50229.0,790899.0,2107.026,10291.0,162035.0,,,,17.092,83.0,1314.0,3319.413,16212.0,255270.0
2018-06-01,394.93,1929.0,53676.0,4180.039,20415.0,568120.0,1479.658,7227.0,201104.0,,,,596.221,2912.0,81034.0,1577.944,7707.0,214463.0
2018-07-01,559.522,2733.0,40500.0,11765.675,57463.0,851637.0,3271.036,15976.0,236768.0,,,,115.121,562.0,8333.0,2951.999,14417.0,213675.0
2018-08-01,477.619,2333.0,35829.0,11529.221,56308.0,864875.0,3195.25,15605.0,239695.0,,,,99.51,486.0,7465.0,2965.87,14485.0,222488.0
2018-09-01,892.369,4358.0,65124.0,11913.816,58186.0,869456.0,3699.371,18067.0,269976.0,,,,131.512,642.0,9598.0,2554.441,12476.0,186420.0
2018-10-01,110.216,538.0,17253.0,2506.898,12244.0,392426.0,742.272,3625.0,116194.0,,,,241.959,1182.0,37876.0,1374.68,6714.0,215190.0
2018-11-01,1384.82,6763.0,108351.0,4615.02,22539.0,361088.0,3069.359,14991.0,240153.0,,,,924.43,4515.0,72329.0,2297.394,11220.0,179753.0
2018-12-01,1416.922,6920.0,90099.0,7487.82,36570.0,476134.0,3620.725,17683.0,230234.0,,,,1106.755,5405.0,70376.0,3084.316,15064.0,196125.0
2019-01-01,1524.744,7447.0,108000.0,6246.436,30507.0,442445.0,3225.409,15753.0,228461.0,,,,1024.382,5003.0,72559.0,3073.841,15012.0,217725.0
2019-02-01,714.803,3491.0,60021.0,5116.182,24987.0,429598.0,2236.364,10922.0,187784.0,,,,770.934,3765.0,64734.0,1944.656,9498.0,163290.0
2019-03-01,608.301,2971.0,55863.0,7660.095,37411.0,703461.0,3189.148,15576.0,292874.0,,,,578.854,2827.0,53159.0,2011.418,9824.0,184718.0
2019-04-01,478.236,2336.0,35559.0,10784.775,52672.0,801897.0,3029.89,14798.0,225286.0,,,,192.284,939.0,14297.0,3558.727,17381.0,264608.0
2019-05-01,326.521,1595.0,40176.0,4354.114,21265.0,535741.0,1559.273,7615.0,191857.0,,,,266.055,1299.0,32736.0,1123.88,5489.0,138285.0
2019-06-01,111.801,546.0,8640.0,9236.79,45112.0,713821.0,2456.896,11999.0,189869.0,,,,153.716,751.0,11879.0,3326.565,16247.0,257078.0
2019-07-01,278.051,1358.0,22923.0,9770.469,47718.0,805493.0,2755.008,13455.0,227127.0,,,,656.086,3204.0,54089.0,3604.37,17603.0,297150.0
2019-08-01,346.691,1693.0,26406.0,10676.845,52145.0,813210.0,3181.57,15539.0,242327.0,,,,326.664,1595.0,24881.0,3635.1,17754.0,276870.0
2019-09-01,169.381,827.0,11367.0,12500.095,61050.0,838869.0,2602.307,12709.0,174638.0,,,,38.156,186.0,2561.0,3417.687,16692.0,229358.0
2019-10-01,182.114,889.0,12555.0,12434.811,60731.0,857259.0,2853.44,13936.0,196717.0,,,,280.231,1369.0,19319.0,4068.739,19871.0,280500.0
2019-11-01,195.189,953.0,13149.0,12848.192,62750.0,865525.0,3260.524,15924.0,219647.0,,,,169.805,829.0,11439.0,3737.782,18255.0,251798.0
2019-12-01,369.452,1804.0,25839.0,12568.607,61384.0,879032.0,3452.945,16864.0,241495.0,,,,129.605,633.0,9064.0,4035.534,19709.0,282240.0
2020-01-01,235.59,1151.0,16821.0,12792.431,62477.0,913371.0,3648.17,17817.0,260477.0,,,,139.979,684.0,9994.0,4135.857,20199.0,295298.0
2020-02-01,562.384,2747.0,42471.0,10667.198,52098.0,805582.0,3374.81,16482.0,254864.0,,,,413.035,2017.0,31192.0,2941.72,14367.0,222158.0
2020-03-01,749.078,3658.0,60291.0,10668.861,52106.0,858704.0,2897.772,14153.0,233233.0,,,,644.288,3147.0,51857.0,2649.839,12942.0,213278.0
2020-04-01,663.772,3242.0,48573.0,11973.037,58475.0,876154.0,3254.634,15895.0,238165.0,,,,94.385,461.0,6907.0,3124.641,15261.0,228653.0
2020-05-01,438.11,2140.0,34182.0,11458.61,55963.0,894018.0,2982.848,14568.0,232726.0,,,,358.547,1751.0,27974.0,2713.58,13253.0,211718.0
2020-06-01,493.135,2408.0,41688.0,9452.536,46165.0,799086.0,2449.605,11964.0,207082.0,,,,880.604,4301.0,74443.0,2113.283,10321.0,178650.0
2020-07-01,734.923,3589.0,64287.0,10753.47,52519.0,940654.0,2791.921,13636.0,244222.0,,,,171.808,839.0,15029.0,2219.704,10841.0,194168.0
2020-08-01,766.091,3742.0,61263.0,11310.454,55239.0,904478.0,3355.949,16390.0,268370.0,,,,390.367,1907.0,31217.0,2205.216,10770.0,176348.0
2020-09-01,893.597,4364.0,78570.0,9560.29,46692.0,840594.0,3031.382,14805.0,266536.0,,,,791.451,3865.0,69589.0,1948.922,9518.0,171360.0
2020-10-01,1140.038,5568.0,87885.0,11728.476,57281.0,904142.0,3737.235,18252.0,288102.0,,,,498.078,2433.0,38397.0,2300.994,11238.0,177383.0
2020-11-01,655.972,3204.0,71145.0,3304.729,16140.0,358422.0,1620.052,7912.0,175707.0,,,,518.203,2531.0,56203.0,876.98,4283.0,95115.0
2020-12-01,1621.229,7918.0,103626.0,10829.019,52888.0,692171.0,4274.715,20877.0,273232.0,,,,1504.649,7349.0,96174.0,2382.421,11636.0,152280.0
2021-01-01,1428.427,6976.0,96714.0,12474.947,60927.0,844637.0,3415.37,16680.0,231243.0,,,,870.296,4250.0,58925.0,4361.426,21301.0,295298.0
2021-02-01,1108.601,5414.0,79137.0,10625.827,51896.0,758520.0,2877.112,14052.0,205381.0,,,,727.311,3552.0,51919.0,3112.122,15199.0,222158.0
2021-03-01,940.978,4596.0,63909.0,12643.319,61749.0,858704.0,3463.709,16917.0,235247.0,,,,613.814,2998.0,41689.0,3140.238,15337.0,213278.0
2021-04-01,1323.742,6465.0,96282.0,12045.882,58831.0,876154.0,3087.019,15077.0,224533.0,,,,819.851,4004.0,59632.0,3143.651,15353.0,228653.0
2021-05-01,1110.871,5425.0,75924.0,13080.684,63885.0,894018.0,3442.832,16815.0,235305.0,,,,364.309,1779.0,24899.0,3097.713,15129.0,211718.0
2021-06-01,797.419,3895.0,55323.0,11517.941,56253.0,799086.0,3599.56,17580.0,249729.0,,,,395.088,1930.0,27410.0,2575.041,12576.0,178650.0
2021-07-01,287.462,1404.0,30402.0,8894.238,43439.0,940654.0,2217.661,10831.0,234540.0,,,,173.525,847.0,18352.0,1835.926,8967.0,194168.0
2021-08-01,457.159,2233.0,43497.0,9506.191,46428.0,904478.0,2675.561,13067.0,254570.0,,,,357.483,1746.0,34013.0,1853.436,9052.0,176348.0
2021-09-01,772.695,3774.0,72873.0,8828.638,43118.0,832630.0,3014.481,14723.0,284296.0,,,,496.209,2423.0,46798.0,1816.983,8874.0,171360.0
2021-10-01,487.032,2379.0,62640.0,7029.799,34333.0,904142.0,1997.502,9756.0,256910.0,,,,521.922,2549.0,67127.0,1379.167,6736.0,177383.0
2021-11-01,2205.667,10772.0,105678.0,7480.842,36536.0,358422.0,6358.225,31053.0,304636.0,,,,690.24,3371.0,33071.0,1985.2,9696.0,95115.0
2021-12-01,1584.401,7738.0,106326.0,10314.286,50374.0,692171.0,4080.024,19927.0,273802.0,,,,665.104,3248.0,44634.0,2269.178,11082.0,152280.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
