measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2015-07-01,,,,281617.44,2883787.0,2883787.0,23.254,940.0,940.0,1578.561,16165.0,16165.0,39.746,1606.0,1606.0,,,,0.0,0.0,0.0
2015-08-01,,,,200376.89,2262100.0,2262100.0,14.147,412.0,412.0,937.106,10579.0,10579.0,109.853,3198.0,3198.0,,,,0.0,0.0,0.0
2015-09-01,,,,291739.82,3324326.0,3324326.0,0.0,0.0,0.0,858.179,9779.0,9779.0,-112.0,33.0,33.0,,,,0.0,0.0,0.0
2015-10-01,,,,208776.44,1769815.0,1769815.0,22.486,331.0,331.0,1088.559,9228.0,9228.0,1799.514,26457.0,26457.0,,,,0.0,0.0,0.0
2015-11-01,,,,249873.38,2639565.0,2639565.0,-193.0,23.0,23.0,1064.617,11246.0,11246.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-01,,,,185766.97,2129264.0,2129264.0,-39.069,0.0,0.0,759.029,8700.0,8700.0,-268.931,0.0,0.0,,,,0.0,0.0,0.0
2016-01-01,,,,298314.18,3518040.0,3518040.0,262.282,7476.0,7476.0,971.825,11461.0,11461.0,446.718,12733.0,12733.0,,,,0.0,0.0,0.0
2016-02-01,,,,284427.84,3343493.0,3343493.0,-10.401,0.0,0.0,1296.164,15237.0,15237.0,-329.599,0.0,0.0,,,,0.0,0.0,0.0
2016-03-01,,,,156504.84,1669772.0,1669772.0,197.922,3387.0,3387.0,438.161,4675.0,4675.0,1273.078,21787.0,21787.0,,,,0.0,0.0,0.0
2016-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,8140.0,8140.0,,,,0.0,0.0,0.0
2016-05-01,,,,0.0,0.0,0.0,62.0,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-06-01,,,,0.0,0.0,0.0,-23.05,81.0,81.0,0.0,0.0,0.0,-67.95,239.0,239.0,,,,,,
2016-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,4877.0,4877.0,,,,,,
2016-08-01,,,,0.0,0.0,0.0,47.536,1032.0,1032.0,0.0,0.0,0.0,144.464,3138.0,3138.0,,,,,,
2016-09-01,0.0,0.0,0.0,,,,-113.0,87.0,87.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,,,,21.01,490.0,490.0,,,,122.99,2870.0,2870.0,,,,,,
2016-11-01,0.0,0.0,0.0,,,,7.229,360.0,360.0,,,,80.771,4018.0,4018.0,,,,,,
2016-12-01,0.0,0.0,0.0,,,,-9.636,0.0,0.0,,,,-305.364,0.0,0.0,0.0,0.0,0.0,,,
2017-01-01,,,,,,,0.0,0.0,0.0,,,,941.881,18087.0,18087.0,,,,,,
2017-02-01,,,,,,,0.0,0.0,0.0,,,,857.591,16467.0,16467.0,,,,,,
2017-03-01,,,,,,,0.0,0.0,0.0,,,,1183.028,22716.0,22716.0,,,,,,
2017-04-01,,,,,,,0.0,0.0,0.0,,,,1110.302,21320.0,21320.0,,,,,,
2017-05-01,,,,,,,0.0,0.0,0.0,,,,1123.662,21576.0,21576.0,,,,,,
2017-06-01,,,,,,,0.0,0.0,0.0,,,,1166.373,22397.0,22397.0,,,,,,
2017-07-01,,,,,,,0.0,0.0,0.0,,,,1498.188,28768.0,28768.0,,,,,,
2017-08-01,,,,,,,0.0,0.0,0.0,,,,1425.974,27381.0,27381.0,,,,,,
2017-09-01,,,,,,,0.0,0.0,0.0,,,,1245.343,23913.0,23913.0,,,,,,
2017-10-01,,,,,,,0.0,0.0,0.0,,,,1130.569,21709.0,21709.0,,,,,,
2017-11-01,,,,,,,0.0,0.0,0.0,,,,1144.896,21984.0,21984.0,,,,,,
2017-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1140.193,21894.0,21894.0,0.0,0.0,0.0,,,
2018-01-01,,,,,,,0.0,0.0,0.0,,,,5695.564,74847.0,74847.0,,,,,,
2018-02-01,,,,,,,0.0,0.0,0.0,,,,4222.763,55492.0,55492.0,,,,,,
2018-03-01,,,,,,,0.0,0.0,0.0,,,,5077.29,66722.0,66722.0,,,,,,
2018-04-01,,,,,,,0.0,0.0,0.0,,,,5510.926,72420.0,72420.0,,,,,,
2018-05-01,,,,,,,0.0,0.0,0.0,,,,5467.143,71845.0,71845.0,,,,,,
2018-06-01,,,,,,,0.0,0.0,0.0,,,,6158.048,80924.0,80924.0,,,,,,
2018-07-01,,,,,,,0.0,0.0,0.0,,,,7054.437,92704.0,92704.0,,,,,,
2018-08-01,,,,,,,0.0,0.0,0.0,,,,6814.855,89555.0,89555.0,,,,,,
2018-09-01,,,,,,,0.0,0.0,0.0,,,,6588.4,86579.0,86579.0,,,,,,
2018-10-01,,,,,,,0.0,0.0,0.0,,,,5939.687,78055.0,78055.0,,,,,,
2018-11-01,,,,,,,0.0,0.0,0.0,,,,4436.317,58298.0,58298.0,,,,,,
2018-12-01,,,,,,,0.0,0.0,0.0,,,,5034.57,66160.0,66160.0,,,,,,
2019-01-01,,,,,,,0.0,0.0,0.0,,,,116.703,3003.0,3003.0,,,,,,
2019-02-01,,,,,,,0.0,0.0,0.0,,,,115.619,2975.0,2975.0,,,,,,
2019-03-01,,,,,,,0.0,0.0,0.0,,,,144.271,3712.0,3712.0,,,,,,
2019-04-01,,,,,,,0.0,0.0,0.0,,,,111.216,2862.0,2862.0,,,,,,
2019-05-01,,,,,,,0.0,0.0,0.0,,,,144.848,3727.0,3727.0,,,,,,
2019-06-01,,,,,,,0.0,0.0,0.0,,,,153.845,3959.0,3959.0,,,,,,
2019-07-01,,,,,,,0.0,0.0,0.0,,,,170.3,4382.0,4382.0,,,,,,
2019-08-01,,,,,,,0.0,0.0,0.0,,,,172.415,4437.0,4437.0,,,,,,
2019-09-01,,,,,,,0.0,0.0,0.0,,,,163.999,4220.0,4220.0,,,,,,
2019-10-01,,,,,,,0.0,0.0,0.0,,,,139.002,3577.0,3577.0,,,,,,
2019-11-01,,,,,,,0.0,0.0,0.0,,,,121.138,3117.0,3117.0,,,,,,
2019-12-01,,,,,,,0.0,0.0,0.0,,,,116.644,3001.0,3001.0,,,,,,
2020-01-01,,,,,,,14.251,271.0,271.0,,,,184.121,3449.0,3449.0,,,,,,
2020-02-01,,,,,,,11.479,213.0,213.0,,,,228.683,4285.0,4285.0,,,,,,
2020-03-01,,,,,,,11.263,213.0,213.0,,,,232.026,4348.0,4348.0,,,,,,
2020-04-01,,,,,,,6.224,115.0,115.0,,,,158.755,2975.0,2975.0,,,,,,
2020-05-01,,,,,,,14.897,277.0,277.0,,,,215.188,4032.0,4032.0,,,,,,
2020-06-01,,,,,,,11.366,213.0,213.0,,,,278.505,5219.0,5219.0,,,,,,
2020-07-01,,,,,,,9.974,184.0,184.0,,,,329.99,6183.0,6183.0,,,,,,
2020-08-01,,,,,,,14.21,265.0,265.0,,,,298.533,5594.0,5594.0,,,,,,
2020-09-01,,,,,,,7.456,138.0,138.0,,,,259.59,4864.0,4864.0,,,,,,
2020-10-01,,,,,,,7.043,133.0,133.0,,,,218.267,4090.0,4090.0,,,,,,
2020-11-01,,,,,,,9.724,184.0,184.0,,,,174.874,3277.0,3277.0,,,,,,
2020-12-01,,,,,,,15.88,300.0,300.0,,,,239.701,4491.0,4491.0,,,,,,
2021-01-01,,,,,,,0.0,0.0,0.0,,,,179.423,21875.0,21875.0,,,,,,
2021-02-01,,,,,,,0.0,0.0,0.0,,,,144.044,17562.0,17562.0,,,,,,
2021-03-01,,,,,,,0.0,0.0,0.0,,,,137.399,16752.0,16752.0,,,,,,
2021-04-01,,,,,,,0.0,0.0,0.0,,,,128.522,15670.0,15670.0,,,,,,
2021-05-01,,,,,,,0.0,0.0,0.0,,,,148.208,18070.0,18070.0,,,,,,
2021-06-01,,,,,,,0.0,0.0,0.0,,,,182.901,22300.0,22300.0,,,,,,
2021-07-01,,,,,,,0.0,0.0,0.0,,,,192.55,23476.0,23476.0,,,,,,
2021-08-01,,,,,,,0.0,0.0,0.0,,,,202.044,24634.0,24634.0,,,,,,
2021-09-01,,,,,,,0.0,0.0,0.0,,,,167.869,20467.0,20467.0,,,,,,
2021-10-01,,,,,,,0.0,0.0,0.0,,,,158.35,19306.0,19306.0,,,,,,
2021-11-01,,,,,,,0.0,0.0,0.0,,,,177.402,21629.0,21629.0,,,,,,
2021-12-01,,,,,,,0.0,0.0,0.0,,,,178.288,21737.0,21737.0,,,,,,
2022-01-01,,,,,,,0.0,0.0,0.0,,,,367.289,11822.0,11822.0,,,,,,
2022-02-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-03-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-04-01,,,,,,,0.0,0.0,0.0,,,,134.07,4315.0,4315.0,,,,,,
2022-05-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-06-01,,,,,,,0.0,0.0,0.0,,,,7921.688,254981.0,254981.0,,,,,,
2022-07-01,,,,,,,0.0,0.0,0.0,,,,979.384,31524.0,31524.0,,,,,,
2022-08-01,,,,,,,0.0,0.0,0.0,,,,59.64,1920.0,1920.0,,,,,,
2022-09-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-10-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-11-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2022-12-01,,,,,,,0.0,0.0,0.0,,,,5862.929,188714.0,188714.0,,,,,,
2023-01-01,,,,,,,0.0,0.0,0.0,,,,5206.145,254894.0,254894.0,,,,,,
2023-02-01,,,,,,,0.0,0.0,0.0,,,,5673.164,277759.0,277759.0,,,,,,
2023-03-01,,,,,,,0.0,0.0,0.0,,,,6382.382,312483.0,312483.0,,,,,,
2023-04-01,,,,,,,0.0,0.0,0.0,,,,5271.142,258076.0,258076.0,,,,,,
2023-05-01,,,,,,,0.0,0.0,0.0,,,,6589.109,322604.0,322604.0,,,,,,
2023-06-01,,,,,,,0.0,0.0,0.0,,,,7446.221,364568.0,364568.0,,,,,,
2023-07-01,,,,,,,0.0,0.0,0.0,,,,8228.535,402871.0,402871.0,,,,,,
2023-08-01,,,,,,,0.0,0.0,0.0,,,,8245.321,403692.0,403692.0,,,,,,
2023-09-01,,,,,,,0.0,0.0,0.0,,,,6412.326,313949.0,313949.0,,,,,,
2023-10-01,,,,,,,0.0,0.0,0.0,,,,5169.879,253118.0,253118.0,,,,,,
2023-11-01,,,,,,,0.0,0.0,0.0,,,,6679.369,327023.0,327023.0,,,,,,
2023-12-01,,,,,,,0.0,0.0,0.0,,,,7382.407,361444.0,361444.0,,,,,,
2024-01-01,,,,,,,0.0,0.0,0.0,,,,27326.539,777233.0,777233.0,,,,,,
2024-02-01,,,,,,,0.0,0.0,0.0,,,,1854.899,52758.0,52758.0,,,,,,
2024-03-01,,,,,,,0.0,0.0,0.0,,,,2697.285,76717.0,76717.0,,,,,,
2024-04-01,,,,,,,0.0,0.0,0.0,,,,3695.349,105105.0,105105.0,,,,,,
2024-05-01,,,,,,,0.0,0.0,0.0,,,,755.567,21490.0,21490.0,,,,,,
2024-06-01,,,,,,,0.0,0.0,0.0,,,,31622.474,899420.0,899420.0,,,,,,
2024-07-01,,,,,,,0.0,0.0,0.0,,,,42976.369,1222352.0,1222352.0,,,,,,
2024-08-01,,,,,,,0.0,0.0,0.0,,,,70701.932,2010934.0,2010934.0,,,,,,
2024-09-01,,,,,,,0.0,0.0,0.0,,,,22162.667,630360.0,630360.0,,,,,,
2024-10-01,,,,,,,0.0,0.0,0.0,,,,52238.246,1485782.0,1485782.0,,,,,,
2024-11-01,,,,,,,0.0,0.0,0.0,,,,34583.652,983643.0,983643.0,,,,,,
2024-12-01,,,,,,,0.0,0.0,0.0,,,,30003.021,853358.0,853358.0,,,,,,
