measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-06-01,839.133,7472.0,7472.0,28.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,582.229,5185.0,5185.0,1582.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,434.346,3868.0,3868.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,491.161,4374.0,4374.0,2886.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,528.544,4707.0,4707.0,3729.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,526.588,4689.0,4689.0,3990.0,161.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,584.967,5209.0,5209.0,4289.0,161.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,1555.19,13634.0,13634.0,4687.0,20769.0,189311.0,0.0,0.0,0.0,,,
2020-02-01,1409.831,12360.0,12360.0,4614.0,20445.0,189493.0,0.0,0.0,0.0,,,
2020-03-01,1146.883,10055.0,10055.0,4308.0,19089.0,179221.0,0.0,0.0,0.0,,,
2020-04-01,1523.377,13355.0,13355.0,3305.0,14645.0,146186.0,0.0,0.0,0.0,,,
2020-05-01,1157.693,10149.0,10149.0,923.0,4090.0,72483.0,0.0,0.0,0.0,,,
2020-06-01,1226.33,10751.0,10751.0,1332.0,5902.0,70984.0,0.0,0.0,0.0,,,
2020-07-01,1027.712,9010.0,9010.0,1495.0,6625.0,80817.0,0.0,0.0,0.0,,,
2020-08-01,809.849,7100.0,7100.0,2745.0,12164.0,108339.0,0.0,0.0,0.0,,,
2020-09-01,506.913,4444.0,4444.0,3298.0,14614.0,128533.0,0.0,0.0,0.0,,,
2020-10-01,567.465,4975.0,4975.0,2619.0,11605.0,124502.0,0.0,0.0,0.0,,,
2020-11-01,759.052,6655.0,6655.0,2952.0,13081.0,131906.0,0.0,0.0,0.0,,,
2020-12-01,779.705,6836.0,6836.0,3966.0,17574.0,140348.0,0.0,0.0,0.0,,,
2021-01-01,732.636,6479.0,6479.0,0.0,19550.0,181188.0,0.0,0.0,0.0,,,
2021-02-01,609.607,5391.0,5391.0,5356.0,23733.0,203036.0,0.0,0.0,0.0,,,
2021-03-01,584.644,5171.0,5171.0,4045.0,17924.0,172604.0,0.0,0.0,0.0,,,
2021-04-01,515.701,4561.0,4561.0,3395.0,15044.0,144960.0,0.0,0.0,0.0,,,
2021-05-01,638.903,5650.0,5650.0,3808.0,16874.0,157782.0,0.0,0.0,0.0,,,
2021-06-01,687.903,6084.0,6084.0,2832.0,12549.0,131807.0,0.0,0.0,0.0,,,
2021-07-01,612.492,5417.0,5417.0,2649.0,11738.0,129896.0,0.0,0.0,0.0,,,
2021-08-01,577.94,5111.0,5111.0,2725.0,12075.0,131166.0,0.0,0.0,0.0,,,
2021-09-01,474.038,4192.0,4192.0,2816.0,12478.0,131727.0,0.0,0.0,0.0,,,
2021-10-01,486.443,4302.0,4302.0,3390.0,15022.0,148911.0,0.0,0.0,0.0,,,
2021-11-01,570.121,5042.0,5042.0,3612.0,16005.0,156047.0,0.0,0.0,0.0,,,
2021-12-01,732.572,6479.0,6479.0,4583.0,20308.0,163350.0,0.0,0.0,0.0,,,
2022-01-01,1045.908,3569.0,3569.0,0.0,23831.0,207879.0,0.0,0.0,0.0,,,
2022-02-01,899.845,3070.0,3070.0,0.0,33371.0,246711.0,0.0,0.0,0.0,,,
2022-03-01,980.263,3345.0,3345.0,0.0,19887.0,177835.0,0.0,0.0,0.0,,,
2022-04-01,734.759,2507.0,2507.0,0.0,12722.0,140207.0,0.0,0.0,0.0,,,
2022-05-01,924.987,3156.0,3156.0,0.0,13196.0,137072.0,0.0,0.0,0.0,,,
2022-06-01,1103.776,3766.0,3766.0,0.0,11277.0,123095.0,0.0,0.0,0.0,,,
2022-07-01,1054.36,3597.0,3597.0,0.0,9177.0,113179.0,0.0,0.0,0.0,,,
2022-08-01,885.204,3020.0,3020.0,0.0,9243.0,44839.0,0.0,0.0,0.0,,,
2022-09-01,679.405,2318.0,2318.0,0.0,11596.0,124432.0,0.0,0.0,0.0,,,
2022-10-01,590.52,2015.0,2015.0,0.0,13227.0,139376.0,0.0,0.0,0.0,,,
2022-11-01,744.946,2542.0,2542.0,0.0,17858.0,165835.0,0.0,0.0,0.0,,,
2022-12-01,830.027,2832.0,2832.0,0.0,17060.0,163310.0,0.0,0.0,0.0,,,
2023-01-01,767.0,2617.0,2617.0,4464.0,19781.0,184279.0,0.0,0.0,0.0,,,
2023-02-01,923.0,3149.0,3149.0,4025.0,17835.0,167273.0,0.0,0.0,0.0,,,
2023-03-01,1006.0,3432.0,3432.0,4037.0,17889.0,171770.0,0.0,0.0,0.0,,,
2023-04-01,705.0,2405.0,2405.0,2109.0,9345.0,109226.0,0.0,0.0,0.0,,,
2023-05-01,916.0,3125.0,3125.0,1728.0,7657.0,109064.0,0.0,0.0,0.0,,,
2023-06-01,938.0,3200.0,3200.0,788.0,3492.0,75590.0,0.0,0.0,0.0,,,
2023-07-01,554.0,1890.0,1890.0,675.0,2991.0,46448.0,0.0,0.0,0.0,,,
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-09-01,39.0,133.0,133.0,461.0,2043.0,56371.0,0.0,0.0,0.0,,,
2023-10-01,506.0,1726.0,1726.0,1413.0,6261.0,94864.0,0.0,0.0,0.0,,,
2023-11-01,582.0,1986.0,1986.0,3201.0,14184.0,141486.0,0.0,0.0,0.0,,,
2023-12-01,828.0,2825.0,2825.0,3510.0,15553.0,146744.0,0.0,0.0,0.0,,,
2024-01-01,1014.0,3460.0,3460.0,4446.0,19701.0,179752.0,0.0,0.0,0.0,,,
2024-02-01,1077.0,3675.0,3675.0,3547.0,15717.0,144487.0,0.0,0.0,0.0,,,
2024-03-01,569.0,1941.0,1941.0,3917.0,17357.0,171105.0,0.0,0.0,0.0,,,
2024-04-01,310.0,1058.0,1058.0,2677.0,11862.0,125541.0,0.0,0.0,0.0,,,
2024-05-01,823.0,2808.0,2808.0,2261.0,10019.0,123202.0,0.0,0.0,0.0,,,
2024-06-01,1215.0,4146.0,4146.0,1743.0,7724.0,107923.0,0.0,0.0,0.0,,,
2024-07-01,1291.0,4405.0,4405.0,1434.0,6354.0,85318.0,0.0,0.0,0.0,,,
2024-08-01,1047.0,3572.0,3572.0,508.0,2251.0,95662.0,0.0,0.0,0.0,,,
2024-09-01,457.0,1559.0,1559.0,1974.0,8747.0,109809.0,0.0,0.0,0.0,,,
2024-10-01,415.0,1416.0,1416.0,1886.0,8357.0,105022.0,0.0,0.0,0.0,,,
2024-11-01,425.0,1450.0,1450.0,3070.0,13604.0,126767.0,0.0,0.0,0.0,,,
2024-12-01,484.0,1651.0,1651.0,3588.0,15899.0,154713.0,0.0,0.0,0.0,,,
