measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2011-05-01,,,,0.0,0.0,0.0,73.0,1340.0,1340.0,151.778,3691.0,3691.0,9262.711,225276.0,225276.0,702.511,17086.0,17086.0
2011-06-01,,,,0.0,0.0,0.0,172.0,2656.0,2656.0,165.028,3036.0,3036.0,14554.671,267773.0,267773.0,4025.301,74057.0,74057.0
2011-07-01,,,,0.0,0.0,0.0,560.0,8652.0,8652.0,896.587,13473.0,13473.0,70744.924,1063048.0,1063048.0,10359.489,155667.0,155667.0
2011-08-01,,,,0.0,0.0,0.0,87.0,1427.0,1427.0,31.203,2252.0,2252.0,1664.285,120129.0,120129.0,289.512,20897.0,20897.0
2011-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3043.0,23867.0,23867.0,0.0,0.0,0.0
2011-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2718.0,24174.0,24174.0,0.0,0.0,0.0
2011-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2692.0,233022.0,233022.0,0.0,0.0,0.0
2011-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-21.979,3141.0,3141.0,-538.728,77000.0,77000.0,-34.293,4901.0,4901.0
2012-01-01,,,,0.0,0.0,0.0,4.0,304.0,304.0,0.131,1129.0,1129.0,12.547,108142.0,108142.0,0.322,2778.0,2778.0
2012-02-01,,,,0.0,0.0,0.0,31.0,620.0,620.0,0.0,0.0,0.0,-3155.0,42229.0,42229.0,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0,27.0,509.0,509.0,0.0,0.0,0.0,-3053.0,33757.0,33757.0,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,-2037.0,23567.0,23567.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,300.0,11595.0,11595.0,10.991,603.0,603.0,1931.009,105863.0,105863.0,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.573,252.0,252.0,6162.076,180805.0,180805.0,2080.351,61041.0,61041.0
2012-07-01,,,,0.0,0.0,0.0,401.0,6207.0,6207.0,564.931,9553.0,9553.0,23107.338,390748.0,390748.0,20196.731,341529.0,341529.0
2012-08-01,,,,0.0,0.0,0.0,83.0,1240.0,1240.0,68.019,3785.0,3785.0,2440.352,135794.0,135794.0,995.629,55402.0,55402.0
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,45.421,3077.0,3077.0,1653.919,112047.0,112047.0,337.66,22875.0,22875.0
2012-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3855.0,37159.0,37159.0,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2954.0,42564.0,42564.0,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2012.0,33636.0,33636.0,0.0,0.0,0.0
2013-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2751.0,45613.0,45613.0,0.0,0.0,0.0
2013-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2626.0,36566.0,36566.0,0.0,0.0,0.0
2013-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2978.0,49237.0,49237.0,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,-2606.0,47700.0,47700.0,0.0,0.0,0.0
2013-05-01,,,,0.0,0.0,0.0,0.0,144.0,144.0,14.986,1001.0,1001.0,1163.014,77645.0,77645.0,0.0,0.0,0.0
2013-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,24.424,822.0,822.0,5175.588,174243.0,174243.0,37.988,1279.0,1279.0
2013-07-01,,,,0.0,0.0,0.0,738.0,10569.0,10569.0,256.151,4431.0,4431.0,24811.451,429194.0,429194.0,7965.398,137787.0,137787.0
2013-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,45.638,1367.0,1367.0,6715.414,201082.0,201082.0,507.948,15210.0,15210.0
2013-09-01,,,,0.0,0.0,0.0,299.0,3951.0,3951.0,60.236,1781.0,1781.0,5154.436,152420.0,152420.0,1389.328,41083.0,41083.0
2013-10-01,,,,0.0,0.0,0.0,542.0,7979.0,7979.0,0.0,0.0,0.0,-2734.0,55328.0,55328.0,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1511.0,28619.0,28619.0,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2417.0,29728.0,29728.0,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0,4208.0,59159.0,59159.0,562.381,10004.0,10004.0,4164.585,74082.0,74082.0,23641.034,420539.0,420539.0
2014-02-01,,,,0.0,0.0,0.0,46.0,666.0,666.0,0.0,0.0,0.0,-3080.0,3596.0,3596.0,0.0,0.0,0.0
2014-03-01,,,,,,,1036.0,12313.0,12313.0,0.0,0.0,0.0,-3356.0,29839.0,29839.0,0.0,0.0,0.0
2014-04-01,,,,,,,33.0,514.0,514.0,0.0,0.0,0.0,-2435.0,28898.0,28898.0,0.0,0.0,0.0
2014-05-01,,,,,,,26.0,555.0,555.0,63.287,1845.0,1845.0,3134.713,91408.0,91408.0,0.0,0.0,0.0
2014-06-01,,,,,,,0.0,0.0,0.0,54.448,1392.0,1392.0,6006.656,153597.0,153597.0,372.896,9535.0,9535.0
2014-07-01,,,,,,,0.0,12.0,12.0,371.018,6324.0,6324.0,22960.141,391347.0,391347.0,800.841,13650.0,13650.0
2014-08-01,,,,,,,81.0,1162.0,1162.0,76.122,2231.0,2231.0,3525.682,103327.0,103327.0,315.196,9237.0,9237.0
2014-09-01,,,,,,,0.0,0.0,0.0,201.334,3569.0,3569.0,2595.527,46004.0,46004.0,2561.139,45394.0,45394.0
2014-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1883.0,27628.0,27628.0,0.0,0.0,0.0
2014-11-01,,,,,,,1.0,40.0,40.0,0.0,0.0,0.0,-2261.0,4615.0,4615.0,0.0,0.0,0.0
2014-12-01,,,,,,,9.0,208.0,208.0,1171.424,101906.0,101906.0,373.576,32499.0,32499.0,0.0,0.0,0.0
2015-01-01,,,,,,,0.0,81.0,81.0,0.0,0.0,0.0,-2706.0,4837.0,4837.0,0.0,0.0,0.0
2015-02-01,,,,,,,1316.0,17248.0,17248.0,40829.131,529691.0,529691.0,436.869,5668.0,5668.0,0.0,0.0,0.0
2015-03-01,,,,,,,517.0,7352.0,7352.0,-1972.81,11080.0,11080.0,-1073.19,6028.0,6028.0,0.0,0.0,0.0
