measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2021-09-01,0.0,0.0,0.0,9089.629,91254.0,91254.0,217.743,2733.0,2733.0,44243.257,555417.0,555417.0
2021-10-01,0.0,0.0,0.0,6402.091,64273.0,64273.0,94.099,1153.0,1153.0,58531.901,717477.0,717477.0
2021-11-01,0.0,0.0,0.0,6937.106,69644.0,69644.0,0.0,0.0,0.0,59245.0,723983.0,723983.0
2021-12-01,0.0,0.0,0.0,5972.174,59956.0,59956.0,0.178,2.0,2.0,60859.822,746464.0,746464.0
2022-01-01,0.0,0.0,0.0,2807.857,28837.0,28837.0,248.127,3081.0,3081.0,54939.873,682212.0,682212.0
2022-02-01,0.0,0.0,0.0,2023.159,20778.0,20778.0,7.254,90.0,90.0,51591.746,639239.0,639239.0
2022-03-01,0.0,0.0,0.0,2342.382,24056.0,24056.0,4.589,57.0,57.0,59159.411,731083.0,731083.0
2022-04-01,0.0,0.0,0.0,3887.999,39930.0,39930.0,374.395,4774.0,4774.0,21156.605,269792.0,269792.0
2022-05-01,0.0,0.0,0.0,4815.204,49452.0,49452.0,244.285,3001.0,3001.0,48251.715,592736.0,592736.0
2022-06-01,0.0,0.0,0.0,4153.433,42656.0,42656.0,331.272,4138.0,4138.0,47783.728,596885.0,596885.0
2022-07-01,0.0,0.0,0.0,5585.1,57359.0,57359.0,84.849,1041.0,1041.0,55714.151,683619.0,683619.0
2022-08-01,0.0,0.0,0.0,5875.786,60344.0,60344.0,6.744,83.0,83.0,59405.256,732499.0,732499.0
2022-09-01,0.0,0.0,0.0,4259.904,43750.0,43750.0,4.874,59.0,59.0,58079.126,707786.0,707786.0
2022-10-01,0.0,0.0,0.0,5701.654,58557.0,58557.0,34.597,425.0,425.0,54968.403,674915.0,674915.0
2022-11-01,0.0,0.0,0.0,5116.419,52545.0,52545.0,322.9,4123.0,4123.0,43156.1,551109.0,551109.0
2022-12-01,0.0,0.0,0.0,6063.103,62268.0,62268.0,84.749,1051.0,1051.0,55356.251,686336.0,686336.0
2023-01-01,0.0,0.0,0.0,6625.216,71083.0,71083.0,118.039,1462.0,1462.0,60068.961,744160.0,744160.0
2023-02-01,0.0,0.0,0.0,5607.957,60170.0,60170.0,16.33,206.0,206.0,45776.67,576608.0,576608.0
2023-03-01,0.0,0.0,0.0,5755.528,61754.0,61754.0,6.87,84.0,84.0,58531.13,717680.0,717680.0
2023-04-01,0.0,0.0,0.0,3695.304,39649.0,39649.0,218.491,2769.0,2769.0,46457.509,588706.0,588706.0
2023-05-01,0.0,0.0,0.0,5875.397,63040.0,63040.0,360.398,4901.0,4901.0,29256.602,397889.0,397889.0
2023-06-01,0.0,0.0,0.0,5745.013,61641.0,61641.0,78.909,1034.0,1034.0,48629.091,637074.0,637074.0
2023-07-01,0.0,0.0,0.0,5916.278,63479.0,63479.0,290.372,3631.0,3631.0,45860.628,573465.0,573465.0
2023-08-01,0.0,0.0,0.0,7184.315,77084.0,77084.0,36.22,458.0,458.0,58420.78,738415.0,738415.0
2023-09-01,0.0,0.0,0.0,5148.971,55246.0,55246.0,174.237,2206.0,2206.0,52925.763,670041.0,670041.0
2023-10-01,0.0,0.0,0.0,6694.879,71832.0,71832.0,19.728,250.0,250.0,55938.272,709950.0,709950.0
2023-11-01,0.0,0.0,0.0,7153.257,76751.0,76751.0,127.2,1621.0,1621.0,50049.8,637840.0,637840.0
2023-12-01,0.0,0.0,0.0,7685.885,82466.0,82466.0,74.987,948.0,948.0,59199.013,748645.0,748645.0
2024-01-01,,,,5264.46,62225.0,62225.0,0.0,0.0,0.0,59421.0,753860.0,753860.0
2024-02-01,,,,4843.075,57245.0,57245.0,0.0,0.0,0.0,55178.0,697237.0,697237.0
2024-03-01,,,,4781.939,56522.0,56522.0,7.202,90.0,90.0,57960.798,725937.0,725937.0
2024-04-01,,,,3676.994,43462.0,43462.0,83.076,1060.0,1060.0,51836.924,661654.0,661654.0
2024-05-01,,,,4557.361,53868.0,53868.0,313.531,4280.0,4280.0,21536.469,294001.0,294001.0
2024-06-01,,,,4793.856,56663.0,56663.0,3.161,41.0,41.0,50366.839,648431.0,648431.0
2024-07-01,,,,4806.273,56811.0,56811.0,79.937,1022.0,1022.0,51657.063,660377.0,660377.0
2024-08-01,,,,4862.689,57477.0,57477.0,0.0,0.0,0.0,55523.0,705357.0,705357.0
2024-09-01,,,,3704.744,43790.0,43790.0,95.056,1224.0,1224.0,48579.944,625699.0,625699.0
2024-10-01,,,,3705.549,43800.0,43800.0,34.587,451.0,451.0,51639.413,673364.0,673364.0
2024-11-01,,,,3936.505,46529.0,46529.0,285.313,3738.0,3738.0,46501.687,609204.0,609204.0
2024-12-01,,,,4220.555,49887.0,49887.0,18.006,231.0,231.0,56629.994,726491.0,726491.0
