measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5810.0,70696.0,78105.0,2769.0,0.0,0.0,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,22204.0,257674.0,286991.0,10414.0,0.0,0.0,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,25562.0,297708.0,326989.0,12189.0,0.0,0.0,,,
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,26627.0,308262.0,342371.0,12476.0,0.0,0.0,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,24519.0,281270.0,314127.0,11042.0,0.0,0.0,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,24533.0,280671.0,315620.0,10923.0,0.0,0.0,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,23482.0,269442.0,304497.0,10603.0,0.0,0.0,,,
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,21897.0,251412.0,283504.0,9827.0,0.0,0.0,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,22575.0,270807.0,302455.0,10656.0,0.0,0.0,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6244.0,71592.0,79783.0,2840.0,0.0,0.0,,,
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,23065.0,267592.0,275565.0,10855.0,0.0,0.0,,,
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24913.0,286161.0,314394.0,11362.0,0.0,0.0,,,
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,26293.0,304828.0,332394.0,12339.0,0.0,0.0,,,
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26214.0,301712.0,329761.0,12009.0,0.0,0.0,,,
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,25363.0,295070.0,325399.0,12034.0,0.0,0.0,,,
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,26213.0,303508.0,321797.0,12211.0,0.0,0.0,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,23223.0,266947.0,297375.0,10471.0,0.0,0.0,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,23888.0,274704.0,307697.0,11807.0,0.0,0.0,,,
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,24687.0,284356.0,316339.0,11238.0,0.0,0.0,,,
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,21565.0,248007.0,278625.0,9750.0,0.0,0.0,,,
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,22834.0,274553.0,305617.0,10893.0,0.0,0.0,,,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6089.0,70325.0,78246.0,2778.0,0.0,0.0,,,
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,23930.0,36033.0,546.0,0.0,0.0,,,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,26019.0,302235.0,328717.0,12365.0,0.0,0.0,,,
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21602.0,251753.0,272488.0,10143.0,0.0,0.0,,,
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26833.0,308376.0,339330.0,12266.0,0.0,0.0,,,
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,21427.0,248742.0,269306.0,9997.0,0.0,0.0,,,
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,26805.0,310332.0,337888.0,12594.0,0.0,0.0,,,
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,23369.0,269578.0,298135.0,10660.0,0.0,0.0,,,
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,24606.0,282461.0,311693.0,12098.0,0.0,0.0,,,
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,23730.0,271876.0,301611.0,10570.0,0.0,0.0,,,
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,21888.0,250873.0,279838.0,9785.0,0.0,0.0,,,
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,24245.0,287829.0,317591.0,11373.0,0.0,0.0,,,
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4652.0,53918.0,59999.0,1502.0,0.0,0.0,,,
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,22417.0,260882.0,290898.0,10598.0,0.0,0.0,,,
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24913.0,290529.0,317528.0,11938.0,0.0,0.0,,,
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,24657.0,287639.0,314602.0,11851.0,0.0,0.0,,,
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26276.0,304078.0,336114.0,12386.0,0.0,0.0,,,
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,24757.0,288329.0,315134.0,11864.0,0.0,0.0,,,
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,27019.0,314701.0,346212.0,13030.0,0.0,0.0,,,
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,23096.0,268880.0,298365.0,10941.0,0.0,0.0,,,
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,23989.0,279018.0,309256.0,12247.0,0.0,0.0,,,
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,24909.0,287260.0,321553.0,11530.0,0.0,0.0,,,
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,30926.0,296767.0,296767.0,10950.0,0.0,0.0,,,
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,24020.0,278169.0,309562.0,11205.0,0.0,0.0,,,
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3410.0,40414.0,40698.0,1434.0,0.0,0.0,,,
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,24558.0,287238.0,311357.0,11911.0,0.0,0.0,,,
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,23417.0,275439.0,292238.0,11568.0,0.0,0.0,,,
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,17612.0,206275.0,222663.0,8680.0,0.0,0.0,,,
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,37020.0,443696.0,468623.0,19715.0,0.0,0.0,,,
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,39004.0,470014.0,541466.0,21073.0,0.0,0.0,,,
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14058.0,170236.0,181226.0,7319.0,0.0,0.0,,,
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,15007.0,180487.0,195239.0,8013.0,0.0,0.0,,,
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,7074.0,84739.0,90779.0,3584.0,0.0,0.0,,,
