measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2012-08-01,,,,279.0,5578.0,5578.0,0.0,0.0,0.0,,,,762.0,9569.0,9569.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-09-01,,,,-97.253,0.0,0.0,101.216,1367.0,1367.0,,,,367.784,4969.0,4969.0,0.0,0.0,0.0,,,,-6.747,0.0,0.0
2012-10-01,,,,-118.76,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-8.24,0.0,0.0
2012-11-01,,,,-135.593,0.0,0.0,0.0,0.0,0.0,,,,480.0,5572.0,5572.0,0.0,0.0,0.0,,,,-9.407,0.0,0.0
2012-12-01,,,,703.0,11783.0,11783.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-01-01,,,,1747.0,25107.0,25107.0,241.305,3136.0,3136.0,,,,13.695,178.0,178.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-02-01,,,,-143.0,543.0,543.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-03-01,,,,-190.16,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-2.84,0.0,0.0
2013-04-01,,,,-156.66,0.0,0.0,0.0,0.0,0.0,,,,1.0,224.0,224.0,0.0,0.0,0.0,,,,-2.34,0.0,0.0
2013-05-01,,,,-171.439,0.0,0.0,0.0,0.0,0.0,,,,295.0,3737.0,3737.0,0.0,0.0,0.0,,,,-2.561,0.0,0.0
2013-06-01,,,,3740.423,50025.0,50025.0,0.0,0.0,0.0,,,,426.0,5100.0,5100.0,0.374,5.0,5.0,,,,2275.203,30429.0,30429.0
2013-07-01,,,,8413.01,107976.0,107976.0,0.0,0.0,0.0,,,,1806.0,21945.0,21945.0,0.623,8.0,8.0,,,,6311.367,81003.0,81003.0
2013-08-01,,,,15085.625,186140.0,186140.0,0.0,0.0,0.0,,,,2088.0,25860.0,25860.0,0.81,10.0,10.0,,,,5432.565,67032.0,67032.0
2013-09-01,,,,8199.037,101979.0,101979.0,0.0,0.0,0.0,,,,1261.0,15445.0,15445.0,0.482,6.0,6.0,,,,2090.481,26001.0,26001.0
2013-10-01,,,,-129.072,0.0,0.0,0.0,0.0,0.0,,,,467.0,5836.0,5836.0,0.0,0.0,0.0,,,,-1.928,0.0,0.0
2013-11-01,,,,-150.748,0.0,0.0,0.0,0.0,0.0,,,,1864.0,23596.0,23596.0,0.0,0.0,0.0,,,,-2.252,0.0,0.0
2013-12-01,,,,7771.054,103015.0,103015.0,1779.643,22134.0,22134.0,,,,127.357,1584.0,1584.0,0.0,0.0,0.0,,,,3894.946,51632.0,51632.0
2014-01-01,,,,9889.0,133795.0,133795.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-02-01,,,,-147.583,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.007,0.0,0.0,,,,-65.41,0.0,0.0
2014-03-01,,,,-133.724,0.0,0.0,0.0,6.0,6.0,,,,0.0,408.0,408.0,-0.007,0.0,0.0,,,,-59.269,0.0,0.0
2014-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.283,183.0,183.0,0.0,0.0,0.0,1791.717,29025.0,29025.0,,,,0.0,0.0,0.0
2014-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,6594.0,6594.0,942.0,13518.0,13518.0,,,,0.0,0.0,0.0
2014-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,149.391,2822.0,2822.0,0.0,0.0,0.0,371.609,7019.0,7019.0,,,,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.0,0.0,0.0,0.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,607.0,8870.0,8870.0,-102.0,0.0,0.0,0.0,0.0,0.0,,,
2014-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,6983.0,6983.0,,,,0.0,0.0,0.0
