measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2012-03-01,,,,3575.132,35792.0,133769.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3612.89,36170.0,135182.0,0.0,0.0,0.0,333.768,3341.0,12488.0,0.0,0.0,0.0
2012-04-01,,,,1133.984,11353.0,42644.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,8686.05,86959.0,326643.0,0.0,0.0,0.0,240.069,2403.0,9028.0,0.0,0.0,0.0
2012-05-01,,,,1642.812,16447.0,49534.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,13648.928,136645.0,411541.0,0.0,0.0,0.0,338.679,3391.0,10212.0,0.0,0.0,0.0
2012-06-01,,,,1612.336,16142.0,59674.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,10334.646,103464.0,382496.0,0.0,0.0,0.0,167.058,1672.0,6183.0,0.0,0.0,0.0
2012-07-01,,,,525.722,5263.0,22730.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,12258.522,122725.0,530002.0,0.0,0.0,0.0,409.395,4099.0,17700.0,0.0,0.0,0.0
2012-08-01,,,,2126.08,21285.0,64023.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,16863.174,168824.0,507806.0,0.0,0.0,0.0,346.637,3470.0,10438.0,0.0,0.0,0.0
2012-09-01,,,,2247.57,22501.0,86021.0,86.387,865.0,3306.0,,,,0.0,0.0,0.0,11447.086,114601.0,438111.0,0.0,0.0,0.0,193.185,1934.0,7394.0,0.0,0.0,0.0
2012-10-01,,,,4061.667,40663.0,134296.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,14552.232,145688.0,481157.0,0.0,0.0,0.0,156.576,1568.0,5177.0,0.0,0.0,0.0
2012-11-01,,,,3601.754,36059.0,143589.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,11332.737,113456.0,451795.0,0.0,0.0,0.0,248.812,2491.0,9919.0,0.0,0.0,0.0
2012-12-01,,,,6578.592,65861.0,156270.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3749.822,37541.0,89075.0,0.0,0.0,0.0,367.898,3683.0,8739.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,6478.695,64861.0,142421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.52,2218.0,4870.0,,,
2013-02-01,0.0,0.0,0.0,6485.308,64927.0,140701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.396,4399.0,9533.0,,,
2013-03-01,4956.654,49623.0,106446.0,7639.353,76480.0,164059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.541,11168.0,23957.0,,,
2013-04-01,13950.705,139666.0,451920.0,3616.189,36203.0,117143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.186,2575.0,8331.0,,,
2013-05-01,13424.573,134399.0,431168.0,2453.548,24563.0,78803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.346,1325.0,4251.0,,,
2013-06-01,14936.896,149539.0,487855.0,257.067,2574.0,8396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.433,1786.0,5828.0,,,
2013-07-01,13539.725,135551.0,441565.0,2015.776,20181.0,65740.0,21.398,214.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.895,5385.0,17542.0,,,
2013-08-01,11864.08,118776.0,456035.0,2905.817,29091.0,111695.0,93.155,933.0,3581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.823,5715.0,21941.0,,,
2013-09-01,12942.404,129571.0,458260.0,2168.822,21713.0,76793.0,76.25,763.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.275,2756.0,9747.0,,,
2013-10-01,12565.009,125793.0,448411.0,2658.653,26617.0,94880.0,66.356,664.0,2368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.363,1916.0,6829.0,,,
2013-11-01,9054.755,90651.0,343601.0,4403.975,44090.0,167118.0,74.012,741.0,2809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.531,1827.0,6927.0,,,
2013-12-01,11065.89,110785.0,385924.0,5358.541,53646.0,186880.0,145.972,1461.0,5091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.174,2274.0,7923.0,,,
2014-01-01,962.113,9632.0,19418.0,5852.638,58593.0,118122.0,103.848,1040.0,2096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.293,2486.0,5011.0,,,
2014-02-01,0.0,0.0,0.0,5603.798,56102.0,134302.0,418.067,4185.0,10020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.812,739.0,1769.0,,,
2014-03-01,2270.551,22731.0,63696.0,8046.394,80556.0,225725.0,443.419,4439.0,12439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.671,758.0,2123.0,,,
2014-04-01,7797.83,78067.0,309579.0,2687.245,26903.0,106685.0,19.887,199.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.694,508.0,2013.0,,,
2014-05-01,8631.141,86410.0,368726.0,3125.938,31295.0,133541.0,45.604,457.0,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.991,1261.0,5382.0,,,
2014-06-01,15951.294,159694.0,428618.0,1982.271,19845.0,53264.0,23.887,239.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.5,1677.0,4501.0,,,
2014-07-01,11378.345,113913.0,407521.0,1553.426,15552.0,55637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.786,2361.0,8445.0,,,
2014-08-01,15227.836,152452.0,422671.0,1685.162,16871.0,46774.0,0.409,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.931,2412.0,6687.0,,,
2014-09-01,11803.73,118172.0,406727.0,2375.856,23786.0,81866.0,32.474,325.0,1119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.053,902.0,3103.0,,,
2014-10-01,10980.614,109931.0,368536.0,2806.633,28098.0,94197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.408,725.0,2430.0,,,
2014-11-01,11110.005,111227.0,317841.0,5166.205,51721.0,147798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.168,1163.0,3323.0,,,
2014-12-01,7205.919,72141.0,274258.0,4460.7,44658.0,169775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.961,1411.0,5365.0,,,
2015-01-01,24.994,250.0,464.0,6594.849,66024.0,122429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.331,674.0,1250.0,,,
2015-02-01,0.0,0.0,0.0,5580.737,55871.0,150496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.291,343.0,925.0,,,
2015-03-01,4331.75,43367.0,120992.0,5336.301,53424.0,149051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.862,2862.0,7985.0,,,
2015-04-01,7648.394,76571.0,308968.0,2159.821,21623.0,87249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.3,1785.0,7203.0,,,
2015-05-01,8665.055,86749.0,328280.0,2205.223,22077.0,83546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.109,1923.0,7278.0,,,
2015-06-01,9772.041,97832.0,418816.0,1032.097,10333.0,44234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.441,2287.0,9791.0,,,
2015-07-01,10727.433,107396.0,407264.0,1752.766,17548.0,66543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.239,4447.0,16865.0,,,
2015-08-01,11195.925,112087.0,347936.0,2407.166,24099.0,74808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.657,4462.0,13850.0,,,
2015-09-01,7013.787,70218.0,270480.0,3428.802,34327.0,132228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.486,4750.0,18298.0,,,
2015-10-01,7990.481,79996.0,341896.0,1870.237,18724.0,80024.0,6.562,66.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.671,2359.0,10084.0,,,
2015-11-01,7295.538,73038.0,319200.0,823.15,8241.0,36015.0,55.135,552.0,2412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.693,1268.0,5543.0,,,
2015-12-01,4436.26,44413.0,280232.0,1322.589,13241.0,83546.0,11.702,117.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.349,774.0,4886.0,,,
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-02-01,82.722,1263.0,3792.0,425.631,6496.0,19509.0,9.174,140.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.545,802.0,2408.0,,,
2016-03-01,6046.48,92283.0,406029.0,247.484,3777.0,16619.0,0.086,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.757,3171.0,13951.0,,,
2016-04-01,6107.443,93213.0,309891.0,649.722,9916.0,32967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.991,2671.0,8879.0,,,
2016-05-01,8359.792,127589.0,370724.0,336.057,5129.0,14903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.669,4757.0,13821.0,,,
2016-06-01,6717.701,102527.0,376466.0,268.345,4096.0,15038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.971,1282.0,4706.0,,,
2016-07-01,6271.694,95720.0,358403.0,619.954,9462.0,35428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.231,2751.0,10300.0,,,
2016-08-01,8112.222,123811.0,348284.0,327.13,4993.0,14045.0,22.807,348.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.431,5196.0,14616.0,,,
2016-09-01,6882.376,105041.0,353691.0,174.872,2669.0,8987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.082,2413.0,8124.0,,,
2016-10-01,6886.746,105107.0,353490.0,288.579,4404.0,14812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.729,1705.0,5735.0,,,
2016-11-01,7957.778,121454.0,346468.0,644.131,9831.0,28044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.886,3020.0,8616.0,,,
2016-12-01,2358.888,36002.0,108676.0,1543.859,23563.0,71127.0,92.518,1412.0,4262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.185,2430.0,7334.0,,,
