measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2009-10-01,1050.0,16284.0,16284.0,74619.0,798644.0,798644.0,,,,0.0,0.0,0.0
2009-11-01,790.0,11867.0,11867.0,34656.0,398524.0,398524.0,,,,0.0,0.0,0.0
2009-12-01,3.0,844.0,844.0,60135.0,655052.0,655052.0,,,,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,45949.0,516898.0,516898.0,,,,0.0,0.0,0.0
2010-02-01,76.0,2371.0,2371.0,35132.0,403542.0,403542.0,,,,0.0,0.0,0.0
2010-03-01,5.0,2365.0,2365.0,32374.0,369584.0,369584.0,,,,0.0,0.0,0.0
2010-04-01,-174.0,0.0,0.0,50989.0,565452.0,565452.0,,,,0.0,0.0,0.0
2010-05-01,-81.0,1355.0,1355.0,21784.0,249116.0,249116.0,,,,0.0,0.0,0.0
2010-06-01,-178.0,0.0,0.0,12212.0,145997.0,145997.0,,,,0.0,0.0,0.0
2010-07-01,-184.0,0.0,0.0,66825.0,697595.0,697595.0,,,,0.0,0.0,0.0
2010-08-01,-185.0,0.0,0.0,66926.0,695217.0,695217.0,,,,0.0,0.0,0.0
2010-09-01,133.0,4151.0,4151.0,46067.0,482539.0,482539.0,,,,0.0,0.0,0.0
2010-10-01,-185.0,0.0,0.0,8038.0,85419.0,85419.0,,,,0.0,0.0,0.0
2010-11-01,-83.0,1263.0,1263.0,45715.0,490714.0,490714.0,,,,0.0,0.0,0.0
2010-12-01,-186.0,0.0,0.0,-198.0,0.0,0.0,0.0,0.0,0.0,,,
2011-01-01,-184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-02-01,-166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
