measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2019-02-01,,,,112.14,1245.0,1245.0,,,,,,,,,,,,
2019-03-01,,,,111.132,1234.0,1234.0,,,,,,,,,,,,
2019-04-01,,,,102.129,1133.0,1133.0,,,,,,,,,,,,
2019-05-01,,,,111.15,1234.0,1234.0,,,,,,,,,,,,
2019-06-01,,,,95.506,1060.0,1060.0,,,,,,,,,,,,
2019-07-01,,,,108.784,1206.0,1206.0,,,,,,,,,,,,
2019-08-01,,,,120.445,1335.0,1335.0,,,,,,,,,,,,
2019-09-01,,,,143.02,1588.0,1588.0,,,,,,,,,,,,
2019-10-01,,,,150.312,1666.0,1666.0,,,,,,,,,,,,
2019-11-01,,,,114.177,1268.0,1268.0,,,,,,,,,,,,
2019-12-01,,,,152.315,1689.0,1689.0,,,,,,,,,,,,
2020-01-01,,,,178.178,1722.0,1722.0,,,,,,,,,,,,
2020-02-01,,,,115.511,1116.0,1116.0,,,,,,,,,,,,
2020-03-01,,,,116.62,1122.0,1122.0,,,,,,,,,,,,
2020-04-01,,,,111.909,1077.0,1077.0,,,,,,,,,,,,
2020-05-01,,,,94.758,914.0,914.0,,,,,,,,,,,,
2020-06-01,,,,119.304,1150.0,1150.0,,,,,,,,,,,,
2020-07-01,,,,155.515,1498.0,1498.0,,,,,,,,,,,,
2020-08-01,,,,159.342,1537.0,1537.0,,,,,,,,,,,,
2020-09-01,,,,101.322,976.0,976.0,,,,,,,,,,,,
2020-10-01,,,,121.272,1167.0,1167.0,,,,,,,,,,,,
2020-11-01,,,,94.045,909.0,909.0,,,,,,,,,,,,
2020-12-01,,,,93.224,898.0,898.0,,,,,,,,,,,,
2021-01-01,,,,117.623,1116.0,1116.0,,,,,,,,,,,,
2021-02-01,,,,130.242,1229.0,1229.0,,,,,,,,,,,,
2021-03-01,,,,140.858,1330.0,1330.0,,,,,,,,,,,,
2021-04-01,,,,135.401,1279.0,1279.0,,,,,,,,,,,,
2021-05-01,,,,70.122,662.0,662.0,,,,,,,,,,,,
2021-06-01,,,,94.129,886.0,886.0,,,,,,,,,,,,
2021-07-01,,,,91.988,870.0,870.0,,,,,,,,,,,,
2021-08-01,,,,132.658,1251.0,1251.0,,,,,,,,,,,,
2021-09-01,,,,171.819,1621.0,1621.0,,,,,,,,,,,,
2021-10-01,,,,170.706,1610.0,1610.0,,,,,,,,,,,,
2021-11-01,,,,133.286,1257.0,1257.0,,,,,,,,,,,,
2021-12-01,,,,148.168,1397.0,1397.0,,,,,,,,,,,,
2022-01-01,,,,151.286,1431.0,1431.0,,,,,,,,,,,,
2022-02-01,,,,124.763,1172.0,1172.0,,,,,,,,,,,,
2022-03-01,,,,144.48,1358.0,1358.0,,,,,,,,,,,,
2022-04-01,,,,128.445,1206.0,1206.0,,,,,,,,,,,,
2022-05-01,,,,120.371,1128.0,1128.0,,,,,,,,,,,,
2022-06-01,,,,146.596,1374.0,1374.0,,,,,,,,,,,,
2022-07-01,,,,133.52,1251.0,1251.0,,,,,,,,,,,,
2022-08-01,,,,89.799,842.0,842.0,,,,,,,,,,,,
2022-09-01,,,,105.194,987.0,987.0,,,,,,,,,,,,
2022-10-01,,,,118.029,1105.0,1105.0,,,,,,,,,,,,
2022-11-01,,,,112.057,1049.0,1049.0,,,,,,,,,,,,
2022-12-01,,,,152.46,1431.0,1431.0,,,,,,,,,,,,
2023-01-01,,,,164.855,1560.0,1560.0,,,,,,,,,,,,
2023-02-01,,,,127.982,1223.0,1223.0,,,,,,,,,,,,
2023-03-01,,,,120.779,1150.0,1150.0,,,,,,,,,,,,
2023-04-01,,,,142.774,1363.0,1363.0,,,,,,,,,,,,
2023-05-01,,,,141.079,1346.0,1346.0,,,,,,,,,,,,
2023-06-01,,,,121.473,1161.0,1161.0,,,,,,,,,,,,
2023-07-01,,,,115.024,1100.0,1100.0,,,,,,,,,,,,
2023-08-01,,,,119.725,1144.0,1144.0,,,,,,,,,,,,
2023-09-01,,,,103.838,993.0,993.0,,,,,,,,,,,,
2023-10-01,,,,117.788,1122.0,1122.0,,,,,,,,,,,,
2023-11-01,,,,148.545,1419.0,1419.0,,,,,,,,,,,,
2023-12-01,,,,163.138,1554.0,1554.0,,,,,,,,,,,,
2024-01-01,,,,151.721,1436.0,1436.0,,,,,,,,,,,,
2024-02-01,,,,136.624,1285.0,1285.0,,,,,,,,,,,,
2024-03-01,,,,164.667,1548.0,1548.0,,,,,,,,,,,,
2024-04-01,,,,173.486,1633.0,1633.0,,,,,,,,,,,,
2024-05-01,,,,101.7,959.0,959.0,,,,,,,,,,,,
2024-06-01,,,,181.571,1711.0,1711.0,,,,,,,,,,,,
2024-07-01,,,,106.51,1004.0,1004.0,,,,,,,,,,,,
2024-08-01,,,,153.808,1447.0,1447.0,,,,,,,,,,,,
2024-09-01,,,,102.148,959.0,959.0,,,,,,,,,,,,
2024-10-01,,,,162.184,1526.0,1526.0,,,,,,,,,,,,
2024-11-01,,,,158.657,1492.0,1492.0,,,,,,,,,,,,
2024-12-01,,,,134.924,1273.0,1273.0,,,,,,,,,,,,
