measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2017-07-01,0.0,0.0,0.0,,,,57.0,1226.0,1226.0,13140.487,167406.0,167406.0,0.0,0.0,0.0,137265.51,1748726.0,1748726.0
2017-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,8943.51,118360.0,118360.0,0.0,0.0,0.0,80619.49,1066933.0,1066933.0
2017-10-01,0.0,0.0,0.0,,,,232.0,3366.0,3366.0,719.075,8315.0,8315.0,0.0,0.0,0.0,157621.93,1822665.0,1822665.0
2017-11-01,0.0,0.0,0.0,,,,129.0,1857.0,1857.0,1019.626,12858.0,12858.0,0.0,0.0,0.0,94310.374,1189336.0,1189336.0
2017-12-01,0.0,0.0,0.0,,,,119.0,1603.0,1603.0,1024.965,21202.0,21202.0,0.0,0.0,0.0,19883.035,411302.0,411302.0
2018-01-01,0.0,0.0,0.0,,,,1060.0,13581.0,13581.0,4508.186,53031.0,53031.0,0.0,0.0,0.0,174073.81,2047662.0,2047662.0
2018-02-01,0.0,0.0,0.0,,,,71.0,957.0,957.0,-6704.0,12122.0,12122.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-112.72,12287.0,12287.0,0.0,0.0,0.0,-1135.28,123747.0,123747.0
2018-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2230.417,31282.0,31282.0,0.0,0.0,0.0,85271.583,1195965.0,1195965.0
2018-05-01,0.0,0.0,0.0,,,,617.0,8783.0,8783.0,7301.62,94679.0,94679.0,0.0,0.0,0.0,203423.38,2637761.0,2637761.0
2018-06-01,0.0,0.0,0.0,,,,204.0,2953.0,2953.0,4188.141,53994.0,53994.0,0.0,0.0,0.0,220829.86,2846951.0,2846951.0
2018-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,9135.81,110478.0,110478.0,0.0,0.0,0.0,196982.19,2382081.0,2382081.0
2018-08-01,0.0,0.0,0.0,,,,13.0,229.0,229.0,19073.581,222939.0,222939.0,0.0,0.0,0.0,203822.42,2382347.0,2382347.0
2018-09-01,0.0,0.0,0.0,,,,423.0,6005.0,6005.0,9735.193,108497.0,108497.0,0.0,0.0,0.0,82238.807,916541.0,916541.0
2018-10-01,0.0,0.0,0.0,,,,624.0,9278.0,9278.0,23441.594,292937.0,292937.0,0.0,0.0,0.0,34864.406,435681.0,435681.0
2018-11-01,0.0,0.0,0.0,,,,3.0,57.0,57.0,582.272,6640.0,6640.0,0.0,0.0,0.0,73980.728,843599.0,843599.0
2018-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-171.191,0.0,0.0,0.0,0.0,0.0,-4491.809,0.0,0.0
2019-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,4599.241,79744.0,79744.0,0.0,0.0,0.0,16131.759,279701.0,279701.0
2019-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45707.0,481671.0,481671.0
2019-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84382.0,824781.0,824781.0
2019-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,670.951,7252.0,7252.0,0.0,0.0,0.0,27479.049,297017.0,297017.0
2019-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,463.036,6201.0,6201.0,0.0,0.0,0.0,61977.964,829960.0,829960.0
2019-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54115.0,734277.0,734277.0
2019-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,7256.711,82727.0,82727.0,0.0,0.0,0.0,114688.29,1307453.0,1307453.0
2019-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,3294.724,43688.0,43688.0,0.0,0.0,0.0,43873.276,581762.0,581762.0
2019-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13791.0,204462.0,204462.0
2019-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2447.227,44070.0,44070.0,0.0,0.0,0.0,4943.773,89028.0,89028.0
2019-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,718.504,9998.0,9998.0,0.0,0.0,0.0,13842.496,192611.0,192611.0
2019-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-3436.0,9094.0,9094.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-3276.0,6388.0,6388.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-3015.0,5939.0,5939.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-92.42,0.0,0.0,0.0,0.0,0.0,-2138.58,0.0,0.0
2020-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-86.165,0.0,0.0,0.0,0.0,0.0,-1993.835,0.0,0.0
2020-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,72.911,8582.0,8582.0,0.0,0.0,0.0,208.457,24537.0,24537.0
2020-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,16772.59,262600.0,262600.0,0.0,0.0,0.0,25625.41,401204.0,401204.0
2020-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,12544.989,186217.0,186217.0,0.0,0.0,0.0,51708.011,767552.0,767552.0
2020-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760.0,31576.0,31576.0
2020-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8922.0,117888.0,117888.0
2021-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117337.0,1371210.0,1371210.0
2021-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.0,45235.0,45235.0
2021-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5935.0,75575.0,75575.0
2021-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,4463.03,125174.0,125174.0,0.0,0.0,0.0,4764.176,133621.0,133621.0
2021-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,18432.623,261423.0,261423.0,0.0,0.0,0.0,83010.377,1177305.0,1177305.0
2021-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,25247.427,324383.0,324383.0,0.0,0.0,0.0,109906.57,1412099.0,1412099.0
2021-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,3420.554,49162.0,49162.0,0.0,0.0,0.0,74986.446,1077744.0,1077744.0
2021-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,5884.455,77774.0,77774.0,0.0,0.0,0.0,55374.545,731877.0,731877.0
2021-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2562.936,34657.0,34657.0,0.0,0.0,0.0,17762.064,240182.0,240182.0
2021-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,357.751,6636.0,6636.0,0.0,0.0,0.0,4710.249,87373.0,87373.0
2022-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2938.409,46696.0,46696.0,0.0,0.0,0.0,17326.591,275345.0,275345.0
2022-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2106.89,33016.0,33016.0,0.0,0.0,0.0,9956.11,156019.0,156019.0
2022-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.0,41888.0,41888.0
2022-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,12325.0,194190.0,194190.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,29815.111,469527.0,469527.0,0.0,0.0,0.0,8983.889,141478.0,141478.0
2022-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,51826.334,714068.0,714068.0,0.0,0.0,0.0,25621.666,353018.0,353018.0
2022-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,15776.661,258750.0,258750.0,0.0,0.0,0.0,5305.339,87012.0,87012.0
2022-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,6725.0,111648.0,111648.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,2383.362,29233.0,29233.0,0.0,0.0,0.0,8947.638,109746.0,109746.0
2022-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,4556.911,51566.0,51566.0,0.0,0.0,0.0,6932.089,78444.0,78444.0
2023-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-398.385,0.0,0.0,0.0,0.0,0.0,-273.615,0.0,0.0
2023-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-470.711,0.0,0.0,0.0,0.0,0.0,-323.289,0.0,0.0
2023-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-258.476,0.0,0.0,0.0,0.0,0.0,-177.524,0.0,0.0
2023-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
