measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-04-01,4346.593,75466.0,75466.0,44.407,771.0,771.0
2011-05-01,2319.72,39060.0,39060.0,23.28,392.0,392.0
2011-06-01,6964.683,115184.0,115184.0,33.317,551.0,551.0
2011-07-01,6923.7,114998.0,114998.0,23.3,387.0,387.0
2011-08-01,6747.261,112369.0,112369.0,24.739,412.0,412.0
2011-09-01,7247.184,119350.0,119350.0,14.816,244.0,244.0
2011-10-01,6976.052,115605.0,115605.0,18.948,314.0,314.0
2011-11-01,6795.0,111885.0,111885.0,0.0,0.0,0.0
2011-12-01,6086.581,101308.0,101308.0,14.419,240.0,240.0
2012-01-01,-26.897,0.0,0.0,-0.103,0.0,0.0
2012-02-01,-31.878,0.0,0.0,-0.122,0.0,0.0
2012-03-01,2223.85,39903.0,39903.0,118.15,2120.0,2120.0
2012-04-01,7239.0,117701.0,117701.0,0.0,0.0,0.0
2012-05-01,7719.909,126282.0,126282.0,7.091,116.0,116.0
2012-06-01,5932.507,98964.0,98964.0,29.493,492.0,492.0
2012-07-01,4721.439,80550.0,80550.0,73.561,1255.0,1255.0
2012-08-01,7354.147,121024.0,121024.0,70.853,1166.0,1166.0
2012-09-01,7299.166,119238.0,119238.0,16.834,275.0,275.0
2012-10-01,7358.79,119871.0,119871.0,2.21,36.0,36.0
2012-11-01,7328.454,118941.0,118941.0,18.546,301.0,301.0
2012-12-01,2567.613,42210.0,42210.0,6.387,105.0,105.0
2013-01-01,877.4,15562.0,15562.0,10.6,188.0,188.0
2013-02-01,7211.165,117354.0,117354.0,38.835,632.0,632.0
2013-03-01,7903.58,127993.0,127993.0,1.42,23.0,23.0
