measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2015-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1550.0,23294.0,23294.0,8455.0,105282.0,105282.0,,,,,,
2015-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4258.0,62019.0,62019.0,2503.0,36667.0,36667.0,,,,,,
2015-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2385.0,33868.0,33868.0,67186.0,771955.0,771955.0,,,,,,
2015-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,5524.0,65830.0,65830.0,120385.0,1322026.0,1322026.0,,,,,,
2015-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,11420.0,113713.0,113713.0,157078.0,1778889.0,1778889.0,,,,,,
2015-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4500.0,45126.0,45126.0,104932.0,1195941.0,1195941.0,,,,,,
2015-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,334.0,5172.0,5172.0,45945.0,578847.0,578847.0,,,,,,
2015-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3131.0,44120.0,44120.0,28386.0,377243.0,377243.0,,,,,,
2015-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1601.0,21587.0,21587.0,11071.0,144319.0,144319.0,,,,,,
2016-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,671.0,11336.0,11336.0,1341.0,24231.0,24231.0,,,,,,
2016-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,246.0,4208.0,4208.0,2098.0,28880.0,28880.0,,,,,,
2016-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2432.0,33755.0,33755.0,25442.0,298160.0,298160.0,,,,,,
2016-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7005.0,98429.0,98429.0,29410.0,326392.0,326392.0,,,,,,
2016-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1049.0,15314.0,15314.0,40977.0,488872.0,488872.0,,,,,,
2016-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4170.0,59870.0,59870.0,65295.0,753119.0,753119.0,,,,,,
2016-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,5924.0,85466.0,85466.0,73331.0,822850.0,822850.0,,,,,,
2016-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,8955.0,111646.0,111646.0,85756.0,961177.0,961177.0,,,,,,
2016-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4308.0,63192.0,63192.0,57255.0,678457.0,678457.0,,,,,,
2016-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2287.0,32017.0,32017.0,81366.0,947905.0,947905.0,,,,,,
2016-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1952.0,19654.0,19654.0,18924.0,239850.0,239850.0,,,,,,
2016-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,247.0,3599.0,3599.0,1904.0,23778.0,23778.0,,,,,,
2017-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1695.636,21831.0,21831.0,2972.0,41923.0,41923.0,,,,,,
2017-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1502.713,19348.0,19348.0,940.0,12298.0,12298.0,,,,,,
2017-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1770.541,22796.0,22796.0,1044.0,17377.0,17377.0,,,,,,
2017-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1750.179,22535.0,22535.0,14916.0,183647.0,183647.0,,,,,,
2017-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1997.348,25716.0,25716.0,17205.0,192230.0,192230.0,,,,,,
2017-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2558.478,32941.0,32941.0,79458.0,887647.0,887647.0,,,,,,
2017-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3138.608,40411.0,40411.0,124114.0,1364835.0,1364835.0,,,,,,
2017-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2996.227,38577.0,38577.0,95253.0,1052326.0,1052326.0,,,,,,
2017-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2209.676,28450.0,28450.0,31443.0,375463.0,375463.0,,,,,,
2017-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1952.727,25142.0,25142.0,6325.0,78086.0,78086.0,,,,,,
2017-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1624.004,20910.0,20910.0,2740.0,43739.0,43739.0,,,,,,
2017-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2123.863,27345.0,27345.0,691.0,32127.0,32127.0,,,,,,
2018-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,5436.625,47243.0,47243.0,30095.0,305741.0,305741.0,,,,,,
2018-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4890.024,42493.0,42493.0,3182.0,50886.0,50886.0,,,,,,
2018-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4943.902,42961.0,42961.0,18737.0,212825.0,212825.0,,,,,,
2018-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4589.679,39883.0,39883.0,41825.0,462631.0,462631.0,,,,,,
2018-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6210.362,53966.0,53966.0,166491.0,1784048.0,1784048.0,,,,,,
2018-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6773.335,58859.0,58859.0,120036.0,1427418.0,1427418.0,,,,,,
2018-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,8422.92,73193.0,73193.0,165583.0,1983218.0,1983218.0,,,,,,
2018-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7841.838,68144.0,68144.0,182398.0,2200156.0,2200156.0,,,,,,
2018-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6652.88,57812.0,57812.0,51357.0,666147.0,666147.0,,,,,,
2018-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,5589.444,48571.0,48571.0,47161.0,576352.0,576352.0,,,,,,
2018-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4825.2,41930.0,41930.0,0.0,0.0,0.0,,,,,,
2018-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,5220.791,45368.0,45368.0,4011.0,43217.0,43217.0,,,,,,
2019-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2974.908,38957.0,38957.0,5152.0,65414.0,65414.0,,,,,,
2019-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2391.614,31318.0,31318.0,94.0,1199.0,1199.0,,,,,,
2019-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2569.824,33652.0,33652.0,16078.0,228165.0,228165.0,,,,,,
2019-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2315.533,30322.0,30322.0,21673.0,242862.0,242862.0,,,,,,
2019-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3149.75,41246.0,41246.0,17003.0,220029.0,220029.0,,,,,,
2019-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3633.651,47582.0,47582.0,97102.0,1197863.0,1197863.0,,,,,,
2019-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4181.197,54753.0,54753.0,145593.0,1726391.0,1726391.0,,,,,,
2019-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4501.518,58947.0,58947.0,151754.0,1738827.0,1738827.0,,,,,,
2019-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3890.531,50946.0,50946.0,104383.0,1202692.0,1202692.0,,,,,,
2019-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3016.744,39504.0,39504.0,74714.0,903561.0,903561.0,,,,,,
2019-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2736.36,35833.0,35833.0,13905.0,168332.0,168332.0,,,,,,
2019-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3042.37,39839.0,39839.0,5957.0,81996.0,81996.0,,,,,,
2020-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2072.159,29818.0,29818.0,0.0,0.0,0.0,,,,,,
2020-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1971.485,28367.0,28367.0,1818.0,29739.0,29739.0,,,,,,
2020-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1921.136,27643.0,27643.0,25431.0,307067.0,307067.0,,,,,,
2020-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1710.584,24614.0,24614.0,27054.0,419175.0,419175.0,,,,,,
2020-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2047.882,29466.0,29466.0,32704.0,400885.0,400885.0,,,,,,
2020-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2422.18,34852.0,34852.0,125978.0,1547342.0,1547342.0,,,,,,
2020-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2946.961,42404.0,42404.0,143877.0,1716907.0,1716907.0,,,,,,
2020-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2852.272,41042.0,41042.0,164798.0,1899854.0,1899854.0,,,,,,
2020-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2353.64,33867.0,33867.0,43412.0,545870.0,545870.0,,,,,,
2020-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2035.347,29286.0,29286.0,42890.0,516630.0,516630.0,,,,,,
2020-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1594.239,22939.0,22939.0,0.0,0.0,0.0,,,,,,
2020-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1752.115,25211.0,25211.0,49211.0,691693.0,691693.0,,,,,,
2021-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3236.822,43480.0,43480.0,28545.0,373975.0,373975.0,,,,,,
2021-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3147.668,42284.0,42284.0,87973.0,962071.0,962071.0,,,,,,
2021-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2453.153,32955.0,32955.0,21902.0,308619.0,308619.0,,,,,,
2021-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2794.51,37540.0,37540.0,56775.0,719406.0,719406.0,,,,,,
2021-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3198.613,42968.0,42968.0,29296.0,403667.0,403667.0,,,,,,
2021-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4353.934,58488.0,58488.0,51958.0,664880.0,664880.0,,,,,,
2021-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4796.499,64434.0,64434.0,69994.0,886078.0,886078.0,,,,,,
2021-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4891.405,65709.0,65709.0,76523.0,988062.0,988062.0,,,,,,
2021-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4133.321,55525.0,55525.0,58064.0,706388.0,706388.0,,,,,,
2021-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3497.511,46984.0,46984.0,90041.0,1097203.0,1097203.0,,,,,,
2021-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2876.774,38645.0,38645.0,58991.0,682386.0,682386.0,,,,,,
2021-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3018.79,40553.0,40553.0,0.0,4844.0,4844.0,,,,,,
2022-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2953.357,41125.0,41125.0,31853.0,429132.0,429132.0,,,,,,
2022-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2629.369,36613.0,36613.0,26665.0,346899.0,346899.0,,,,,,
2022-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2093.795,29156.0,29156.0,14690.0,185401.0,185401.0,,,,,,
2022-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2182.647,30393.0,30393.0,0.0,0.0,0.0,,,,,,
2022-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3224.354,44899.0,44899.0,0.0,0.0,0.0,,,,,,
2022-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3924.949,54655.0,54655.0,0.0,0.0,0.0,,,,,,
2022-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4625.127,64404.0,64404.0,0.0,0.0,0.0,,,,,,
2022-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4649.202,64740.0,64740.0,0.0,0.0,0.0,,,,,,
2022-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3918.998,54572.0,54572.0,0.0,0.0,0.0,,,,,,
2022-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3028.865,42177.0,42177.0,0.0,0.0,0.0,,,,,,
2022-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2838.881,39531.0,39531.0,0.0,0.0,0.0,,,,,,
2022-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3150.456,43869.0,43869.0,0.0,0.0,0.0,,,,,,
2023-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2023-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2024-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
