measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2019-02-01,3140.685,33299.0,33299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218884.32,2320690.0,2320690.0
2019-03-01,656.567,7262.0,7262.0,493.066,5454.0,5454.0,0.0,0.0,0.0,0.0,0.0,0.0,153641.37,1699453.0,1699453.0
2019-04-01,0.0,0.0,0.0,250.589,4183.0,4183.0,0.0,0.0,0.0,0.0,0.0,0.0,8442.411,140934.0,140934.0
2019-05-01,5.822,70.0,70.0,381.58,4560.0,4560.0,0.0,0.0,0.0,0.0,0.0,0.0,61135.598,730649.0,730649.0
2019-06-01,8543.029,101556.0,101556.0,461.23,5483.0,5483.0,0.0,0.0,0.0,0.0,0.0,0.0,144641.74,1719433.0,1719433.0
2019-07-01,4370.665,52806.0,52806.0,470.62,5686.0,5686.0,0.0,0.0,0.0,0.0,0.0,0.0,114310.72,1381086.0,1381086.0
2019-08-01,21.418,253.0,253.0,613.664,7247.0,7247.0,0.0,0.0,0.0,0.0,0.0,0.0,102402.92,1209266.0,1209266.0
2019-09-01,1548.242,21803.0,21803.0,534.357,7525.0,7525.0,0.0,0.0,0.0,0.0,0.0,0.0,72383.401,1019355.0,1019355.0
2019-10-01,0.0,0.0,0.0,35.374,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,22297.626,260649.0,260649.0
2019-11-01,0.0,0.0,0.0,708.773,8579.0,8579.0,0.0,0.0,0.0,0.0,0.0,0.0,157653.23,1908181.0,1908181.0
2019-12-01,0.0,0.0,0.0,271.496,3244.0,3244.0,0.0,0.0,0.0,0.0,0.0,0.0,131350.5,1569440.0,1569440.0
2020-01-01,0.0,0.0,0.0,-2904.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,-36.117,0.0,0.0,-8.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2221.858,0.0,0.0
2020-03-01,-38.285,0.0,0.0,-8.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2355.208,0.0,0.0
2020-04-01,-34.699,0.0,0.0,-7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2134.591,0.0,0.0
2020-05-01,-28.674,0.0,0.0,-6.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1763.955,0.0,0.0
2020-06-01,1.392,19.0,19.0,547.219,7644.0,7644.0,0.0,0.0,0.0,0.0,0.0,0.0,41592.389,581030.0,581030.0
2020-07-01,5696.168,79625.0,79625.0,531.844,7435.0,7435.0,0.0,0.0,0.0,0.0,0.0,0.0,62367.988,871828.0,871828.0
2020-08-01,3204.189,44963.0,44963.0,1293.977,18158.0,18158.0,0.0,0.0,0.0,0.0,0.0,0.0,23135.834,324654.0,324654.0
2020-09-01,0.0,0.0,0.0,-2054.031,746.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,-190.969,69.0,69.0
2020-10-01,0.0,0.0,0.0,-1766.749,5055.0,5055.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.251,69.0,69.0
2020-11-01,0.0,0.0,0.0,238.715,3609.0,3609.0,0.0,0.0,0.0,0.0,0.0,0.0,12535.285,189534.0,189534.0
2020-12-01,0.0,0.0,0.0,947.145,10898.0,10898.0,0.0,0.0,0.0,0.0,0.0,0.0,121268.86,1395357.0,1395357.0
2021-01-01,0.0,0.0,0.0,1072.904,11295.0,11295.0,0.0,0.0,0.0,0.0,0.0,0.0,150449.1,1583804.0,1583804.0
2021-02-01,-79.9,0.0,0.0,-31.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2279.127,0.0,0.0
2021-03-01,3037.718,38233.0,38233.0,828.823,10432.0,10432.0,0.0,0.0,0.0,0.0,0.0,0.0,92229.459,1160810.0,1160810.0
2021-04-01,-69.273,0.0,0.0,-27.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1976.006,0.0,0.0
2021-05-01,0.0,0.0,0.0,442.534,5504.0,5504.0,0.0,0.0,0.0,0.0,0.0,0.0,42979.466,534600.0,534600.0
2021-06-01,1288.19,13632.0,13632.0,834.227,8828.0,8828.0,0.0,0.0,0.0,0.0,0.0,0.0,20559.583,217570.0,217570.0
2021-07-01,2392.431,28276.0,28276.0,1061.213,12542.0,12542.0,0.0,0.0,0.0,0.0,0.0,0.0,103476.36,1222988.0,1222988.0
2021-08-01,0.0,0.0,0.0,236.815,2676.0,2676.0,0.0,0.0,0.0,0.0,0.0,0.0,199812.19,2258229.0,2258229.0
2021-09-01,3980.128,44822.0,44822.0,682.957,7691.0,7691.0,0.0,0.0,0.0,0.0,0.0,0.0,203786.92,2294936.0,2294936.0
2021-10-01,7609.017,87968.0,87968.0,815.054,9423.0,9423.0,,,,0.0,0.0,0.0,201847.93,2333578.0,2333578.0
2021-11-01,0.0,0.0,0.0,-2802.0,9061.0,9061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,2840.082,32613.0,32613.0,1070.428,12292.0,12292.0,0.0,0.0,0.0,0.0,0.0,0.0,65987.49,757735.0,757735.0
2022-01-01,73.826,963.0,963.0,724.831,9452.0,9452.0,0.0,0.0,0.0,0.0,0.0,0.0,29106.343,379557.0,379557.0
2022-02-01,2080.453,26799.0,26799.0,895.395,11534.0,11534.0,0.0,0.0,0.0,0.0,0.0,0.0,16831.152,216805.0,216805.0
2022-03-01,13968.918,157062.0,157062.0,391.544,4402.0,4402.0,0.0,0.0,0.0,0.0,0.0,0.0,110919.54,1247145.0,1247145.0
2022-04-01,0.0,0.0,0.0,650.998,6554.0,6554.0,0.0,0.0,0.0,0.0,0.0,0.0,84852.002,854264.0,854264.0
2022-05-01,23011.326,229767.0,229767.0,84.677,845.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,187988.0,1877050.0,1877050.0
2022-06-01,15120.925,164066.0,164066.0,995.814,10805.0,10805.0,,,,0.0,0.0,0.0,91380.261,991499.0,991499.0
2022-07-01,-21.228,0.0,0.0,-7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1078.382,0.0,0.0
2022-08-01,-17.393,0.0,0.0,-6.055,0.0,0.0,,,,0.0,0.0,0.0,-883.552,0.0,0.0
2022-09-01,-17.258,0.0,0.0,-6.008,0.0,0.0,,,,0.0,0.0,0.0,-876.734,0.0,0.0
2022-10-01,-7.479,0.0,0.0,-2.603,0.0,0.0,,,,0.0,0.0,0.0,-379.918,0.0,0.0
2022-11-01,-9.415,0.0,0.0,-3.278,0.0,0.0,,,,0.0,0.0,0.0,-478.307,0.0,0.0
2022-12-01,-8.284,0.0,0.0,-2.884,0.0,0.0,,,,0.0,0.0,0.0,-420.832,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
