measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2018-12-01,9.593,267.0,267.0,1.753,17.0,17.0,339.981,9487.0,9487.0,,,,,,
2019-01-01,22.749,450.0,450.0,1.761,24.0,24.0,460.695,9062.0,9062.0,,,,,,
2019-02-01,21.181,414.0,414.0,1.639,24.0,24.0,409.162,8048.0,8048.0,,,,,,
2019-03-01,30.613,600.0,600.0,2.369,30.0,30.0,352.144,6927.0,6927.0,,,,,,
2019-04-01,17.812,348.0,348.0,1.378,18.0,18.0,300.617,5913.0,5913.0,,,,,,
2019-05-01,31.384,618.0,618.0,2.429,30.0,30.0,815.804,16047.0,16047.0,,,,,,
2019-06-01,26.873,528.0,528.0,2.08,24.0,24.0,794.07,15619.0,15619.0,,,,,,
2019-07-01,16.043,318.0,318.0,1.241,18.0,18.0,875.086,17213.0,17213.0,,,,,,
2019-08-01,21.151,414.0,414.0,1.637,18.0,18.0,950.382,18694.0,18694.0,,,,,,
2019-09-01,24.282,480.0,480.0,1.879,24.0,24.0,706.863,13904.0,13904.0,,,,,,
2019-10-01,25.705,504.0,504.0,1.989,24.0,24.0,765.071,15049.0,15049.0,,,,,,
2019-11-01,22.491,444.0,444.0,1.74,24.0,24.0,420.701,8275.0,8275.0,,,,,,
2019-12-01,24.006,474.0,474.0,1.858,24.0,24.0,496.115,9759.0,9759.0,,,,,,
2020-01-01,10.676,210.0,210.0,0.616,18.0,18.0,498.391,10068.0,10068.0,,,,,,
2020-02-01,11.1,222.0,222.0,0.638,23.0,23.0,420.447,8492.0,8492.0,,,,,,
2020-03-01,9.484,193.0,193.0,0.545,18.0,18.0,361.301,7298.0,7298.0,,,,,,
2020-04-01,10.755,216.0,216.0,0.618,23.0,23.0,310.657,6275.0,6275.0,,,,,,
2020-05-01,12.395,251.0,251.0,0.713,23.0,23.0,287.065,5798.0,5798.0,,,,,,
2020-06-01,14.943,304.0,304.0,0.859,29.0,29.0,443.146,8951.0,8951.0,,,,,,
2020-07-01,7.624,152.0,152.0,0.438,18.0,18.0,646.288,13054.0,13054.0,,,,,,
2020-08-01,12.359,251.0,251.0,0.711,23.0,23.0,452.805,9146.0,9146.0,,,,,,
2020-09-01,9.466,193.0,193.0,0.544,18.0,18.0,305.87,6178.0,6178.0,,,,,,
2020-10-01,11.81,240.0,240.0,0.679,23.0,23.0,339.929,6866.0,6866.0,,,,,,
2020-11-01,15.862,321.0,321.0,0.912,29.0,29.0,263.402,5320.0,5320.0,,,,,,
2020-12-01,12.645,257.0,257.0,0.727,23.0,23.0,405.58,8192.0,8192.0,,,,,,
2021-01-01,1367.059,22394.0,22394.0,0.0,17.0,17.0,1144.966,18749.0,18749.0,,,,,,
2021-02-01,2262.618,37050.0,37050.0,0.0,35.0,35.0,1080.038,17687.0,17687.0,,,,,,
2021-03-01,1749.623,28652.0,28652.0,0.0,29.0,29.0,1598.289,26173.0,26173.0,,,,,,
2021-04-01,1365.119,22353.0,22353.0,0.0,23.0,23.0,1766.585,28929.0,28929.0,,,,,,
2021-05-01,1342.007,21976.0,21976.0,0.0,23.0,23.0,801.61,13127.0,13127.0,,,,,,
2021-06-01,1547.975,25352.0,25352.0,0.0,23.0,23.0,1379.995,22599.0,22599.0,,,,,,
2021-07-01,555.4,9094.0,9094.0,0.0,6.0,6.0,1573.024,25760.0,25760.0,,,,,,
2021-08-01,863.883,14146.0,14146.0,0.0,12.0,12.0,1671.564,27373.0,27373.0,,,,,,
2021-09-01,1200.08,19650.0,19650.0,0.0,17.0,17.0,1221.905,20010.0,20010.0,,,,,,
2021-10-01,1510.721,24737.0,24737.0,0.0,23.0,23.0,1001.734,16404.0,16404.0,,,,,,
2021-11-01,1454.193,23815.0,23815.0,0.0,23.0,23.0,1033.338,16922.0,16922.0,,,,,,
2021-12-01,2182.21,35734.0,35734.0,0.0,35.0,35.0,1285.064,21044.0,21044.0,,,,,,
2022-01-01,477.423,10863.0,10863.0,0.0,41.0,41.0,2203.268,50143.0,50143.0,,,,,,
2022-02-01,511.993,11652.0,11652.0,0.0,35.0,35.0,2271.548,51696.0,51696.0,,,,,,
2022-03-01,424.599,9663.0,9663.0,0.0,29.0,29.0,2216.433,50442.0,50442.0,,,,,,
2022-04-01,283.64,6455.0,6455.0,0.0,17.0,17.0,1273.372,28980.0,28980.0,,,,,,
2022-05-01,556.901,12673.0,12673.0,0.0,35.0,35.0,2200.842,50087.0,50087.0,,,,,,
2022-06-01,384.584,8752.0,8752.0,0.0,23.0,23.0,2451.387,55789.0,55789.0,,,,,,
2022-07-01,277.255,6310.0,6310.0,0.0,17.0,17.0,3344.389,76112.0,76112.0,,,,,,
2022-08-01,296.544,6751.0,6751.0,0.0,17.0,17.0,3446.604,78438.0,78438.0,,,,,,
2022-09-01,350.188,7969.0,7969.0,0.0,23.0,23.0,2268.787,51633.0,51633.0,,,,,,
2022-10-01,416.727,9483.0,9483.0,0.0,29.0,29.0,2901.461,66032.0,66032.0,,,,,,
2022-11-01,483.096,10997.0,10997.0,0.0,35.0,35.0,3053.681,69496.0,69496.0,,,,,,
2022-12-01,559.96,12743.0,12743.0,0.0,35.0,35.0,2467.318,56152.0,56152.0,,,,,,
2023-01-01,220.213,5562.0,5562.0,0.0,0.0,0.0,1150.766,29059.0,29059.0,,,,,,
2023-02-01,136.447,3445.0,3445.0,0.0,0.0,0.0,713.032,18005.0,18005.0,,,,,,
2023-03-01,216.02,5458.0,5458.0,0.0,0.0,0.0,1128.855,28506.0,28506.0,,,,,,
2023-04-01,149.48,3776.0,3776.0,0.0,0.0,0.0,781.137,19725.0,19725.0,,,,,,
2023-05-01,250.943,6339.0,6339.0,0.0,0.0,0.0,1311.356,33114.0,33114.0,,,,,,
2023-06-01,223.299,5638.0,5638.0,0.0,0.0,0.0,1166.892,29466.0,29466.0,,,,,,
2023-07-01,557.044,14065.0,14065.0,0.0,0.0,0.0,2910.945,73507.0,73507.0,,,,,,
2023-08-01,1247.101,31494.0,31494.0,0.0,0.0,0.0,6516.985,164567.0,164567.0,,,,,,
2023-09-01,276.691,6989.0,6989.0,0.0,0.0,0.0,1445.906,36512.0,36512.0,,,,,,
2023-10-01,252.581,6380.0,6380.0,0.0,0.0,0.0,1319.916,33331.0,33331.0,,,,,,
2023-11-01,291.854,7372.0,7372.0,0.0,0.0,0.0,1525.144,38513.0,38513.0,,,,,,
2023-12-01,176.911,4466.0,4466.0,0.0,0.0,0.0,924.484,23345.0,23345.0,,,,,,
2024-01-01,1010.515,21727.0,21727.0,0.0,0.0,0.0,3496.058,75167.0,75167.0,,,,,,
2024-02-01,362.588,7797.0,7797.0,0.0,0.0,0.0,1254.439,26971.0,26971.0,,,,,,
2024-03-01,291.752,6271.0,6271.0,0.0,0.0,0.0,1009.367,21702.0,21702.0,,,,,,
2024-04-01,502.8,10809.0,10809.0,0.0,0.0,0.0,1739.527,37401.0,37401.0,,,,,,
2024-05-01,596.561,12826.0,12826.0,0.0,0.0,0.0,2063.911,44375.0,44375.0,,,,,,
2024-06-01,449.514,9664.0,9664.0,0.0,0.0,0.0,1555.174,33437.0,33437.0,,,,,,
2024-07-01,783.448,16843.0,16843.0,0.0,0.0,0.0,2710.479,58277.0,58277.0,,,,,,
2024-08-01,890.112,19138.0,19138.0,0.0,0.0,0.0,3079.505,66211.0,66211.0,,,,,,
2024-09-01,457.066,9826.0,9826.0,0.0,0.0,0.0,1581.301,33999.0,33999.0,,,,,,
2024-10-01,729.094,15675.0,15675.0,0.0,0.0,0.0,2522.432,54234.0,54234.0,,,,,,
2024-11-01,339.175,7294.0,7294.0,0.0,0.0,0.0,1173.438,25230.0,25230.0,,,,,,
2024-12-01,118.337,2543.0,2543.0,0.0,0.0,0.0,409.409,8803.0,8803.0,,,,,,
