measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2015-12-01,,,,3052.307,41803.0,41803.0,10476.777,143485.0,143485.0,10612.916,145349.0,145349.0
2016-01-01,,,,2811.258,40252.0,40252.0,9573.404,137075.0,137075.0,10635.338,152280.0,152280.0
2016-02-01,,,,2591.326,37027.0,37027.0,10009.449,143022.0,143022.0,10213.225,145933.0,145933.0
2016-03-01,,,,2278.993,31330.0,31330.0,8521.757,117153.0,117153.0,9193.25,126384.0,126384.0
2016-04-01,,,,4028.49,56024.0,56024.0,10397.393,144596.0,144596.0,12761.117,177468.0,177468.0
2016-05-01,,,,2901.865,42867.0,42867.0,10910.447,161171.0,161171.0,11994.688,177188.0,177188.0
2016-06-01,,,,3296.482,46430.0,46430.0,12906.3,181782.0,181782.0,12881.218,181429.0,181429.0
2016-07-01,,,,3014.024,46016.0,46016.0,11350.988,173300.0,173300.0,12731.988,194384.0,194384.0
2016-08-01,,,,3182.055,48796.0,48796.0,12556.257,192546.0,192546.0,14101.688,216245.0,216245.0
2016-09-01,,,,3396.778,47351.0,47351.0,11182.898,155890.0,155890.0,12465.324,173767.0,173767.0
2016-10-01,,,,3842.307,55202.0,55202.0,12925.002,185692.0,185692.0,14646.691,210427.0,210427.0
2016-11-01,,,,3634.607,50706.0,50706.0,12618.002,176032.0,176032.0,13712.391,191300.0,191300.0
2016-12-01,,,,3074.262,42159.0,42159.0,9324.396,127871.0,127871.0,11865.342,162717.0,162717.0
2017-01-01,,,,3509.401,53126.0,53126.0,9886.647,149666.0,149666.0,16226.952,245646.0,245646.0
2017-02-01,,,,3393.641,46922.0,46922.0,9426.224,130331.0,130331.0,14068.135,194513.0,194513.0
2017-03-01,,,,3445.188,47495.0,47495.0,7941.931,109486.0,109486.0,11379.881,156881.0,156881.0
2017-04-01,,,,4534.224,61291.0,61291.0,11438.667,154621.0,154621.0,13720.109,185460.0,185460.0
2017-05-01,,,,3727.501,50899.0,50899.0,11721.388,160055.0,160055.0,13328.111,181994.0,181994.0
2017-06-01,,,,3980.748,54081.0,54081.0,12378.346,168169.0,168169.0,13196.906,179289.0,179289.0
2017-07-01,,,,3524.335,49981.0,49981.0,12249.661,173721.0,173721.0,12570.004,178264.0,178264.0
2017-08-01,,,,3309.629,49648.0,49648.0,11394.221,170927.0,170927.0,13306.15,199608.0,199608.0
2017-09-01,,,,2942.932,40100.0,40100.0,8598.755,117166.0,117166.0,12566.313,171228.0,171228.0
2017-10-01,,,,3848.052,53383.0,53383.0,11653.342,161664.0,161664.0,16358.606,226939.0,226939.0
2017-11-01,,,,3783.767,52353.0,52353.0,9336.313,129180.0,129180.0,14580.92,201746.0,201746.0
2017-12-01,,,,3912.31,51538.0,51538.0,10511.416,138471.0,138471.0,13182.274,173655.0,173655.0
2018-01-01,,,,3453.87,47997.0,47997.0,10769.866,149663.0,149663.0,14063.264,195430.0,195430.0
2018-02-01,,,,2995.397,42535.0,42535.0,10548.142,149786.0,149786.0,12825.461,182125.0,182125.0
2018-03-01,,,,2684.684,38204.0,38204.0,8161.096,116134.0,116134.0,10573.22,150459.0,150459.0
2018-04-01,,,,4585.09,62737.0,62737.0,12305.249,168370.0,168370.0,15681.661,214569.0,214569.0
2018-05-01,,,,3810.136,53435.0,53435.0,10930.322,153290.0,153290.0,13093.542,183628.0,183628.0
2018-06-01,,,,3474.707,43683.0,43683.0,12772.132,160566.0,160566.0,13549.161,170334.0,170334.0
2018-07-01,,,,3581.76,47212.0,47212.0,12986.423,171178.0,171178.0,13873.817,182875.0,182875.0
2018-08-01,,,,3265.998,47587.0,47587.0,11159.149,162592.0,162592.0,14120.853,205745.0,205745.0
2018-09-01,,,,2985.725,48869.0,48869.0,9913.33,162256.0,162256.0,16141.945,264202.0,264202.0
2018-10-01,,,,3280.259,51720.0,51720.0,9451.69,149024.0,149024.0,14212.051,224080.0,224080.0
2018-11-01,,,,3337.408,50932.0,50932.0,9513.029,145177.0,145177.0,13822.563,210944.0,210944.0
